id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,3,0,0,1,0,2,0,0
0_1,1,0,0,0,0,1,0,0
0_2,1,0,0,0,0,1,0,0
0_3,1,0,0,0,0,1,0,0
0_4,1,0,0,0,0,1,0,0
0_5,1,0,0,0,0,1,0,0
0_6,2,0,0,1,0,2,0,1
0_7,1,0,0,0,0,1,0,0
0_9,2,0,0,0,0,2,0,0
0_10,1,0,0,0,0,1,0,0
0_12,1,0,0,0,0,1,0,0
0_13,4,0,0,1,0,3,0,0
0_14,-1,0,0,0,0,1,0,2
0_15,0,0,0,1,0,1,0,2
0_16,-1,0,0,0,0,1,0,2
0_17,1,0,0,0,0,1,0,0
0_18,1,0,0,0,0,1,0,0
0_19,1,0,0,0,0,1,0,0
0_20,0,0,0,0,0,1,0,1
0_22,1,0,0,0,0,1,0,0
0_23,1,0,0,0,0,1,0,0
0_24,2,0,0,1,0,1,0,0
1_0,2,0,0,0,0,2,0,0
1_1,0,0,0,0,0,2,0,2
1_2,2,0,0,1,0,1,0,0
1_3,2,0,0,1,0,1,0,0
1_4,1,0,0,0,0,1,0,0
1_5,1,0,0,0,0,1,0,0
1_6,2,0,0,0,0,2,0,0
1_7,2,0,0,0,0,2,0,0
1_8,1,0,0,1,0,1,0,1
1_9,1,0,0,0,0,1,0,0
1_10,0,0,0,0,0,2,0,2
1_11,2,0,0,0,0,2,0,0
1_12,2,0,0,0,0,2,0,0
1_13,2,0,0,0,0,2,0,0
1_14,2,0,0,0,0,2,0,0
1_15,2,0,0,0,0,2,0,0
1_16,2,0,0,0,0,2,0,0
1_17,3,0,0,1,0,2,0,0
1_18,0,0,0,0,0,2,0,2
1_19,2,0,0,0,0,2,0,0
1_20,2,0,0,0,0,2,0,0
1_21,2,0,0,0,0,2,0,0
1_22,3,0,0,1,0,2,0,0
1_23,2,0,0,0,0,2,0,0
1_24,1,0,0,0,0,1,0,0
3_0,0,0,0,1,0,2,0,3
3_1,1,0,0,0,0,1,0,0
3_2,1,0,0,0,0,1,0,0
3_3,1,0,0,0,0,1,0,0
3_4,-1,0,0,1,0,1,0,3
3_5,2,0,0,0,0,2,0,0
3_6,-1,0,0,0,0,1,0,2
3_7,2,0,0,0,0,2,0,0
3_9,2,0,0,0,0,2,0,0
3_10,1,0,0,0,0,1,0,0
3_11,2,0,0,0,0,2,0,0
3_13,1,0,0,0,0,1,0,0
3_14,2,0,0,1,0,2,0,1
3_16,2,0,0,0,0,2,0,0
3_18,1,0,0,0,0,1,0,0
3_19,2,0,0,0,0,2,0,0
3_20,2,0,0,0,0,2,0,0
3_21,1,0,0,0,0,1,0,0
3_22,0,0,0,0,0,2,0,2
3_23,3,0,0,1,0,2,0,0
3_24,2,0,0,0,0,2,0,0
4_0,1,0,0,0,0,1,0,0
4_1,1,0,0,0,0,1,0,0
4_2,2,0,0,0,0,2,0,0
4_3,2,0,0,0,0,2,0,0
4_4,0,0,0,0,0,2,0,2
4_5,2,0,0,0,0,2,0,0
4_6,2,0,0,0,0,2,0,0
4_7,2,0,0,0,0,2,0,0
4_8,2,0,0,0,0,2,0,0
4_9,0,0,0,0,0,2,0,2
4_10,1,0,0,0,0,1,0,0
4_11,2,0,0,0,0,2,0,0
4_12,-1,0,0,0,0,1,0,2
4_13,2,0,0,0,0,2,0,0
4_14,2,0,0,0,0,2,0,0
4_16,2,0,0,0,0,2,0,0
4_17,2,0,0,0,0,2,0,0
4_18,2,0,0,0,0,2,0,0
4_19,2,0,0,0,0,2,0,0
4_20,2,0,0,0,0,2,0,0
4_21,2,0,0,0,0,2,0,0
4_22,2,0,0,0,0,2,0,0
4_23,2,0,0,0,0,2,0,0
4_24,-1,0,0,0,0,1,0,2
6_0,-1,0,0,0,0,1,0,2
6_1,0,0,0,0,0,2,0,2
6_2,2,0,0,0,0,2,0,0
6_3,2,0,0,0,0,2,0,0
6_4,2,0,0,0,0,2,0,0
6_6,2,0,0,1,0,1,0,0
6_7,2,0,0,0,0,2,0,0
6_8,1,0,0,0,0,1,0,0
6_9,2,0,0,0,0,2,0,0
6_10,2,0,0,0,0,2,0,0
6_11,-1,0,0,0,0,1,0,2
6_12,0,0,0,0,0,2,0,2
6_13,2,0,0,0,0,2,0,0
6_14,2,0,0,0,0,2,0,0
6_15,2,0,0,0,0,2,0,0
6_16,2,0,0,0,0,2,0,0
6_17,3,0,0,1,0,2,0,0
6_18,0,0,0,0,0,2,0,2
6_19,2,0,0,0,0,2,0,0
6_20,2,0,0,1,0,2,0,1
6_21,2,0,0,0,0,2,0,0
6_22,2,0,0,0,0,2,0,0
6_23,0,0,0,0,0,2,0,2
6_24,3,0,0,1,0,2,0,0
