id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,0,0,0,0,0,0,0,0
10_1,0,0,0,0,0,0,0,0
10_2,0,0,0,0,0,0,0,0
10_3,0,0,0,0,0,0,0,0
10_4,0,0,0,0,0,0,0,0
10_5,0,0,0,0,0,0,0,0
10_6,0,0,0,0,0,0,0,0
10_7,0,0,0,0,0,0,0,0
10_8,0,0,0,0,0,0,0,0
10_9,0,0,0,0,0,0,0,0
10_10,0,0,0,0,0,0,0,0
10_11,0,0,0,0,0,0,0,0
10_12,0,0,0,0,0,0,0,0
10_13,0,0,0,0,0,0,0,0
10_14,2,0,0,1,0,1,2,2
10_15,0,0,0,0,0,0,0,0
10_16,0,0,0,0,0,0,0,0
10_17,0,0,0,0,0,0,0,0
10_18,0,0,0,0,0,0,0,0
10_19,0,0,0,0,0,0,0,0
10_20,0,0,0,0,0,0,0,0
10_21,0,0,0,0,0,0,0,0
10_22,0,0,0,0,0,0,0,0
10_23,0,0,0,0,0,0,0,0
10_24,0,0,0,0,0,0,0,0
10_25,0,0,0,0,0,0,0,0
10_26,0,0,0,0,0,0,0,0
10_27,0,0,0,0,0,0,0,0
10_28,0,0,0,0,0,0,0,0
10_29,0,0,0,0,0,0,0,0
10_30,0,0,0,0,0,0,0,0
10_31,0,0,0,0,0,0,0,0
10_33,0,0,0,0,0,0,0,0
10_34,0,0,0,0,0,0,0,0
10_35,0,0,0,0,0,0,0,0
10_36,0,0,0,0,0,0,0,0
10_37,0,0,0,0,0,0,0,0
10_38,0,0,0,0,0,0,0,0
10_39,0,0,0,0,0,0,0,0
10_40,0,0,0,0,0,0,0,0
10_41,0,0,0,0,0,0,0,0
10_42,0,0,0,0,0,0,0,0
10_43,0,0,0,0,0,0,0,0
10_44,0,0,0,0,0,0,0,0
10_45,0,0,0,0,0,0,0,0
10_46,0,0,0,0,0,0,0,0
10_47,0,0,0,0,0,0,0,0
10_48,0,0,0,0,0,0,0,0
10_49,0,0,0,0,0,0,0,0
10_51,0,0,0,0,0,0,0,0
10_52,0,0,0,0,0,0,0,0
10_53,0,0,0,0,0,0,0,0
10_54,0,0,0,0,0,0,0,0
10_55,0,0,0,0,0,0,0,0
10_56,0,0,0,0,0,0,0,0
10_57,0,0,0,0,0,0,0,0
10_58,0,0,0,0,0,0,0,0
10_59,0,0,0,0,0,0,0,0
10_60,0,0,0,0,0,0,0,0
10_61,0,0,0,0,0,0,0,0
10_62,0,0,0,0,0,0,0,0
10_63,0,0,0,0,0,0,0,0
10_64,0,0,0,0,0,0,0,0
10_65,0,0,0,0,0,0,0,0
10_66,0,0,0,0,0,0,0,0
10_67,0,0,0,0,0,0,0,0
10_68,0,0,0,0,0,0,0,0
10_69,0,0,0,0,0,0,0,0
10_70,0,0,0,0,0,0,0,0
10_71,0,0,0,0,0,0,0,0
10_72,0,0,0,0,0,0,0,0
10_73,0,0,0,0,0,0,0,0
10_74,0,0,0,0,0,0,0,0
10_75,0,0,0,0,0,0,0,0
10_76,0,0,0,0,0,0,0,0
10_77,0,0,0,0,0,0,0,0
10_78,0,0,0,0,0,0,0,0
10_79,0,0,0,0,0,0,0,0
10_81,0,0,0,0,0,0,0,0
10_82,0,0,0,0,0,0,0,0
10_83,0,0,0,0,0,0,0,0
10_84,0,0,0,0,0,0,0,0
10_85,0,0,0,0,0,0,0,0
10_87,0,0,0,0,0,0,0,0
10_88,0,0,0,0,0,0,0,0
10_89,0,0,0,0,0,0,0,0
10_90,0,0,0,0,0,0,0,0
10_91,0,0,0,0,0,0,0,0
10_92,0,0,0,0,0,0,0,0
10_93,0,0,0,0,0,0,0,0
10_94,0,0,0,0,0,0,0,0
10_95,0,0,0,0,0,0,0,0
10_96,0,0,0,0,0,0,0,0
10_97,0,0,0,0,0,0,0,0
10_98,0,0,0,0,0,0,0,0
10_99,0,0,0,0,0,0,0,0
1_0,0,0,0,0,0,0,0,0
1_1,0,0,0,0,0,0,0,0
1_2,0,0,0,0,0,0,0,0
1_3,0,0,0,0,0,0,0,0
1_4,0,0,0,0,0,0,0,0
1_5,0,0,0,0,0,0,0,0
1_6,0,0,0,0,0,0,0,0
1_7,0,0,0,0,0,0,0,0
1_8,0,0,0,0,0,0,0,0
1_9,0,0,0,0,0,0,0,0
1_10,0,0,0,0,0,0,0,0
1_11,0,0,0,0,0,0,0,0
1_13,0,0,0,0,0,0,0,0
1_14,0,0,0,0,0,0,0,0
1_15,0,0,0,0,0,0,0,0
1_16,0,0,0,0,0,0,0,0
1_17,0,0,0,0,0,0,0,0
1_18,0,0,0,0,0,0,0,0
1_19,0,0,0,0,0,0,0,0
1_20,0,0,0,0,0,0,0,0
1_21,0,0,0,0,0,0,0,0
1_22,0,0,0,0,0,0,0,0
1_23,0,0,0,0,0,0,0,0
1_24,0,0,0,0,0,0,0,0
1_26,0,0,0,0,0,0,0,0
1_27,0,0,0,0,0,0,0,0
1_28,0,0,0,0,0,0,0,0
1_29,0,0,0,0,0,0,0,0
1_30,0,0,0,0,0,0,0,0
1_31,0,0,0,0,0,0,0,0
1_32,0,0,0,0,0,0,0,0
1_33,0,0,0,0,0,0,0,0
1_34,0,0,0,0,0,0,0,0
1_35,0,0,0,0,0,0,0,0
1_36,2,0,0,0,0,0,2,0
1_37,0,0,0,0,0,0,0,0
