id,heuristic,mutation,indexing,hof,for_hof,helpers
0_0,4,0,2,2,0,4
0_1,0,0,2,1,0,1
0_2,3,0,2,2,0,3
0_3,2,0,2,2,0,2
0_4,-1,0,3,0,0,2
0_7,1,0,2,1,0,2
0_8,3,0,2,1,1,3
0_11,3,0,2,2,0,3
0_12,1,0,2,1,0,2
0_15,2,0,2,1,0,3
0_16,0,0,2,1,0,1
0_18,2,0,2,2,0,2
0_19,5,0,2,3,0,4
0_20,3,0,2,2,0,3
0_22,1,0,2,1,0,2
0_24,2,0,2,2,0,2
1_0,4,0,2,2,1,3
1_3,2,0,2,2,0,2
1_4,1,0,2,1,0,2
1_7,4,0,1,2,1,2
1_8,2,0,2,2,0,2
1_9,3,0,2,1,0,4
1_13,-6,5,2,0,0,1
1_15,2,0,2,1,1,2
1_18,0,0,3,1,0,2
1_19,2,0,2,2,0,2
1_21,2,0,2,1,0,3
1_23,2,0,2,2,0,2
