id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,1,0,1,0,1,2,0,1
10_1,-2,0,1,0,1,1,0,3
10_2,-3,0,1,0,1,0,0,3
10_3,1,0,1,0,1,2,0,1
10_4,1,0,1,0,1,2,0,1
10_5,1,0,1,0,1,2,0,1
10_6,1,0,1,0,1,2,0,1
10_7,1,0,1,0,1,2,0,1
10_8,1,0,1,0,1,2,0,1
10_9,0,0,1,0,1,1,0,1
10_10,1,0,1,0,1,2,0,1
10_11,3,0,1,1,1,3,0,1
10_12,2,0,1,1,1,2,0,1
10_13,1,0,1,0,1,2,0,1
10_14,1,0,1,0,1,2,0,1
10_15,1,0,1,0,1,2,0,1
10_16,1,0,1,0,1,2,0,1
10_17,1,0,1,0,1,2,0,1
10_19,1,0,1,0,1,2,0,1
10_20,-2,0,1,0,1,1,0,3
10_21,3,0,1,2,0,3,0,1
10_22,-3,0,1,0,1,0,0,3
10_23,1,0,1,0,1,2,0,1
10_24,1,0,1,0,1,2,0,1
10_25,1,0,1,0,1,2,0,1
10_26,1,0,1,0,1,2,0,1
10_27,1,0,1,0,1,2,0,1
10_28,-1,0,1,0,1,0,0,1
10_29,1,0,1,0,1,2,0,1
10_30,1,0,1,0,1,2,0,1
10_32,1,0,1,0,1,2,0,1
10_33,0,0,1,0,1,1,0,1
10_34,1,0,1,0,1,2,0,1
10_35,-2,0,1,0,1,1,0,3
10_36,1,0,1,0,1,2,0,1
10_38,1,0,0,0,1,1,0,1
10_39,0,0,1,0,1,1,0,1
10_41,1,0,1,0,1,2,0,1
10_43,1,0,1,0,1,2,0,1
10_44,1,0,1,0,1,2,0,1
10_45,4,0,0,1,1,3,0,1
10_46,1,0,1,2,1,0,0,1
10_47,1,0,2,3,0,1,0,1
10_48,1,0,1,0,1,2,0,1
10_49,4,0,1,4,0,2,0,1
10_50,1,0,1,0,1,2,0,1
10_51,1,0,1,0,1,2,0,1
10_52,1,0,1,0,1,2,0,1
10_53,1,0,1,0,1,2,0,1
10_54,1,0,1,0,1,2,0,1
10_55,1,0,0,0,1,1,0,1
10_56,1,0,1,0,1,2,0,1
10_58,1,0,1,0,1,2,0,1
10_59,-3,0,1,0,1,0,0,3
10_60,-2,0,1,0,1,1,0,3
10_61,1,0,0,0,1,1,0,1
10_62,0,0,1,0,1,1,0,1
10_63,4,0,1,2,1,3,0,1
10_64,1,0,1,0,1,2,0,1
10_65,3,0,1,2,1,2,0,1
10_66,1,0,1,0,1,2,0,1
10_67,1,0,1,0,1,2,0,1
10_68,1,0,1,0,1,2,0,1
10_69,1,0,1,0,1,2,0,1
10_70,0,0,1,0,1,1,0,1
10_71,4,0,1,3,1,2,0,1
10_72,1,0,1,0,1,2,0,1
10_74,1,0,1,0,1,2,0,1
10_75,1,0,1,0,1,2,0,1
10_77,0,0,1,0,1,1,0,1
10_78,1,0,1,0,1,2,0,1
10_79,1,0,0,0,1,1,0,1
10_80,1,0,1,0,1,2,0,1
10_81,1,0,1,0,1,2,0,1
10_82,-2,0,1,0,1,1,0,3
10_83,1,0,1,0,1,2,0,1
10_84,-3,0,1,0,1,0,0,3
10_85,1,0,1,0,1,2,0,1
10_86,2,0,1,0,1,3,0,1
10_87,1,0,1,0,1,2,0,1
10_88,-3,0,1,0,1,0,0,3
10_91,1,0,1,0,1,2,0,1
10_92,1,0,1,0,1,2,0,1
10_93,1,0,0,0,1,1,0,1
10_94,1,0,1,0,1,2,0,1
10_95,0,0,1,0,1,1,0,1
10_96,1,0,1,0,1,2,0,1
10_97,0,0,1,0,1,1,0,1
10_98,0,0,1,0,1,1,0,1
17_0,-1,0,1,0,1,0,0,1
17_1,1,0,1,0,1,2,0,1
17_2,-1,0,1,0,1,0,0,1
17_3,-2,0,1,0,1,1,0,3
17_4,1,0,1,0,1,2,0,1
17_5,-1,0,1,0,1,0,0,1
17_6,1,0,1,0,1,2,0,1
17_7,-1,0,1,0,1,0,0,1
17_8,1,0,1,0,1,2,0,1
17_9,-1,0,1,0,1,0,0,1
17_11,1,0,1,0,1,2,0,1
17_12,-3,0,1,0,1,0,0,3
17_13,1,0,1,0,1,2,0,1
17_14,-1,0,1,0,1,0,0,1
17_15,-3,0,1,0,1,0,0,3
17_16,2,0,0,0,1,2,0,1
17_17,0,0,1,0,1,1,0,1
17_18,-1,0,1,0,1,0,0,1
17_19,1,0,1,0,1,2,0,1
17_20,-1,0,1,0,1,0,0,1
17_21,-1,0,1,0,1,0,0,1
17_22,-1,0,1,0,1,0,0,1
17_23,-1,0,1,0,1,0,0,1
17_24,-1,0,1,0,1,0,0,1
17_25,-1,0,1,0,1,0,0,1
17_26,-3,0,1,0,1,0,0,3
17_27,-1,0,1,0,1,0,0,1
17_28,-1,0,1,0,1,0,0,1
17_29,1,0,1,0,1,2,0,1
17_30,1,0,1,0,1,2,0,1
17_32,-1,0,1,0,1,0,0,1
17_33,-1,0,1,0,1,0,0,1
17_34,-1,0,1,0,1,0,0,1
17_35,-3,0,1,0,1,0,0,3
17_36,1,0,1,0,1,2,0,1
17_37,0,0,1,0,1,1,0,1
17_39,-2,0,1,1,1,0,0,3
17_40,-3,0,1,0,1,0,0,3
17_41,-3,0,1,0,1,0,0,3
17_42,-1,0,1,0,1,0,0,1
17_43,-1,0,1,0,1,0,0,1
17_44,-1,0,1,0,1,0,0,1
17_45,1,0,1,0,1,2,0,1
17_46,-1,0,1,0,1,0,0,1
17_47,-1,0,1,0,1,0,0,1
17_48,-1,0,1,0,1,0,0,1
17_49,-1,0,1,0,1,0,0,1
17_51,1,0,1,0,1,2,0,1
17_52,0,0,1,0,1,1,0,1
17_53,1,0,1,0,1,2,0,1
17_54,-1,0,1,0,1,0,0,1
17_56,-1,0,1,0,1,0,0,1
17_57,-1,0,1,0,1,0,0,1
17_59,-2,0,1,0,1,1,0,3
17_60,-1,0,1,0,1,0,0,1
17_61,-1,0,1,0,1,0,0,1
17_62,2,0,1,1,1,2,0,1
17_63,-1,0,1,0,1,0,0,1
17_64,-1,0,1,0,1,0,0,1
17_66,-1,0,1,0,1,0,0,1
17_68,-1,0,1,0,1,0,0,1
17_69,-1,0,0,0,1,1,0,3
17_70,0,0,0,0,1,0,0,1
17_71,-3,0,1,0,1,0,0,3
17_72,-3,0,1,0,1,0,0,3
17_73,-1,0,1,0,1,0,0,1
17_74,-1,0,1,0,1,0,0,1
17_75,1,0,1,0,1,2,0,1
17_76,-1,0,1,0,1,0,0,1
17_78,0,0,1,0,1,1,0,1
17_79,-3,0,1,0,1,0,0,3
17_80,-3,0,1,0,1,0,0,3
17_81,-1,0,1,0,1,0,0,1
17_82,1,0,1,0,1,2,0,1
17_83,-1,0,1,0,1,0,0,1
17_84,-1,0,1,0,1,0,0,1
17_85,-3,0,1,0,1,0,0,3
17_86,-1,0,1,0,1,0,0,1
17_87,-1,0,1,0,1,0,0,1
17_88,1,0,0,0,1,1,0,1
17_89,-1,0,1,0,1,0,0,1
17_90,1,0,1,0,1,2,0,1
17_91,0,0,1,0,1,1,0,1
17_92,0,0,1,0,1,1,0,1
17_93,1,0,1,0,1,2,0,1
17_94,-1,0,1,0,1,0,0,1
17_95,-1,0,1,0,1,0,0,1
17_96,1,0,1,0,1,2,0,1
17_97,0,0,1,0,1,1,0,1
17_98,-3,0,1,0,1,0,0,3
17_99,-1,0,1,0,1,0,0,1
18_0,0,0,1,0,1,1,0,1
18_1,-1,0,0,0,1,1,0,3
18_2,1,0,1,0,1,2,0,1
18_4,0,0,1,0,1,1,0,1
18_5,0,0,1,0,1,1,0,1
18_6,-2,0,1,0,1,1,0,3
18_7,0,0,1,0,1,1,0,1
18_8,1,0,1,0,1,2,0,1
18_10,0,0,1,0,1,1,0,1
18_11,1,0,1,0,1,2,0,1
18_12,1,0,1,0,1,2,0,1
18_13,2,0,1,0,1,3,0,1
18_15,1,0,1,0,1,2,0,1
18_16,3,0,1,1,1,3,0,1
18_17,1,0,1,1,1,1,0,1
18_18,1,0,1,0,1,2,0,1
18_19,0,0,1,0,1,1,0,1
18_20,-2,0,1,0,1,1,0,3
18_21,1,0,1,1,1,1,0,1
18_22,1,0,1,1,1,1,0,1
18_23,4,0,1,3,0,3,0,1
18_24,0,0,1,0,1,1,0,1
18_25,-2,0,1,0,1,1,0,3
18_26,0,0,1,0,1,1,0,1
18_27,1,0,1,0,1,2,0,1
18_28,0,0,1,0,1,1,0,1
18_29,1,0,1,0,1,2,0,1
18_30,1,0,1,0,1,2,0,1
18_31,0,0,1,0,1,1,0,1
18_32,-2,0,1,0,1,1,0,3
18_33,1,0,1,1,1,1,0,1
18_34,1,0,1,0,1,2,0,1
18_35,1,0,1,0,1,2,0,1
18_36,1,0,1,0,1,2,0,1
18_37,1,0,1,0,1,2,0,1
18_38,1,0,1,1,1,1,0,1
18_39,0,0,1,0,1,1,0,1
18_40,-2,0,1,0,1,1,0,3
18_41,0,0,1,0,1,1,0,1
18_42,1,0,1,0,1,2,0,1
18_43,0,0,1,0,1,1,0,1
18_44,0,0,1,0,1,1,0,1
18_45,0,0,1,0,1,1,0,1
18_47,2,0,1,0,1,3,0,1
18_48,0,0,1,0,1,1,0,1
18_49,0,0,1,0,1,1,0,1
18_50,-2,0,1,0,1,1,0,3
18_51,0,0,1,0,1,1,0,1
18_52,1,0,1,0,1,2,0,1
18_53,-2,0,1,0,1,1,0,3
18_54,0,0,1,0,1,1,0,1
18_56,0,0,1,0,1,1,0,1
18_58,-3,0,1,0,1,0,0,3
18_59,-2,0,1,0,1,1,0,3
18_60,0,0,1,0,1,1,0,1
18_61,0,0,1,0,1,1,0,1
18_62,-2,0,1,0,1,1,0,3
18_63,1,0,1,0,1,2,0,1
18_64,-2,0,1,0,1,1,0,3
18_65,0,0,1,0,1,1,0,1
18_66,0,0,1,0,1,1,0,1
18_67,-2,0,1,0,1,1,0,3
18_68,-2,0,1,0,1,1,0,3
18_69,1,0,0,0,1,1,0,1
18_70,1,0,1,0,1,2,0,1
18_71,3,0,1,2,1,2,0,1
18_72,1,0,1,0,1,2,0,1
18_73,2,0,1,0,2,2,0,1
18_74,-2,0,1,0,1,1,0,3
18_75,0,0,1,0,1,1,0,1
18_76,0,0,1,0,1,1,0,1
18_79,1,0,1,0,1,2,0,1
18_80,0,0,1,0,1,1,0,1
18_81,1,0,1,0,1,2,0,1
18_82,-2,0,1,0,1,1,0,3
18_83,1,0,1,0,1,2,0,1
18_84,0,0,1,0,1,1,0,1
18_85,-2,0,1,0,2,0,0,3
18_86,1,0,1,0,1,2,0,1
18_87,0,0,2,0,1,2,0,1
18_88,0,0,1,0,1,1,0,1
18_89,-2,0,1,0,1,1,0,3
18_90,-1,0,0,0,1,1,0,3
18_92,0,0,1,0,1,1,0,1
18_93,1,0,1,0,1,2,0,1
18_96,1,0,1,1,1,1,0,1
18_97,0,0,1,0,1,1,0,1
18_98,0,0,1,0,1,1,0,1
18_99,1,0,1,0,1,2,0,1
8_0,-1,0,1,0,1,0,0,1
8_1,-1,0,1,0,1,0,0,1
8_2,0,0,1,0,1,1,0,1
8_3,1,0,1,1,0,2,0,1
8_4,-3,0,1,0,1,0,0,3
8_5,0,0,1,0,1,1,0,1
8_6,-1,0,1,0,1,0,0,1
8_7,-1,0,1,0,1,0,0,1
8_8,-3,0,1,0,1,0,0,3
8_9,0,0,1,0,1,1,0,1
8_10,-1,0,1,0,1,0,0,1
8_12,-1,0,1,0,1,0,0,1
8_13,1,0,1,0,1,2,0,1
8_14,-1,0,1,0,1,0,0,1
8_15,-1,0,1,0,1,0,0,1
8_16,1,0,1,0,1,2,0,1
8_17,-1,0,1,0,1,0,0,1
8_18,-1,0,1,0,1,0,0,1
8_19,1,0,1,0,1,2,0,1
8_20,-1,0,1,0,1,0,0,1
8_24,1,0,1,0,1,2,0,1
8_25,-1,0,1,0,1,2,0,3
8_26,-1,0,1,0,1,0,0,1
8_27,-1,0,1,0,1,0,0,1
8_28,2,0,1,0,1,3,0,1
8_29,-1,0,1,0,1,0,0,1
8_30,1,0,1,0,1,2,0,1
8_31,1,0,1,0,1,2,0,1
8_32,-1,0,1,0,1,0,0,1
8_33,1,0,1,0,1,2,0,1
8_34,-1,0,1,0,1,0,0,1
8_35,0,0,1,0,1,1,0,1
8_36,1,0,1,0,1,2,0,1
8_38,1,0,1,0,1,2,0,1
8_39,0,0,1,0,1,1,0,1
8_40,-1,0,1,0,1,0,0,1
8_41,-3,0,1,0,1,0,0,3
8_42,-1,0,1,0,1,0,0,1
8_43,0,0,1,0,1,1,0,1
