id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,-3,0,3,0,1,2,0,3
0_2,-5,0,5,0,2,1,0,3
0_3,-5,0,3,0,0,1,0,3
0_4,-2,0,5,0,2,2,0,1
0_6,-3,0,5,0,2,1,0,1
0_7,-1,0,3,1,1,2,0,2
0_8,-2,0,5,0,2,2,0,1
0_9,0,0,2,0,2,1,0,1
0_11,-4,0,2,0,0,3,0,5
0_14,-5,0,2,0,1,1,0,5
0_15,-6,0,6,0,2,1,0,3
0_16,-6,0,4,0,2,1,0,5
0_19,-5,0,3,0,0,3,0,5
0_20,-5,0,5,0,2,1,0,3
0_22,-4,0,4,4,0,1,0,5
0_23,-6,0,3,0,1,1,0,5
1_0,-3,1,3,0,0,2,0,1
1_1,-5,1,3,0,0,1,0,2
1_3,-2,0,3,0,1,1,0,1
1_5,-6,0,3,0,1,2,0,6
1_7,-9,0,3,0,0,1,0,7
1_8,-6,0,3,0,0,1,0,4
1_9,-8,0,3,0,0,2,0,7
1_10,-7,0,3,0,0,1,0,5
1_12,-4,1,3,0,0,1,0,1
1_13,-5,0,3,0,1,1,0,4
1_14,-14,0,6,0,1,2,0,11
1_16,-11,0,6,0,0,2,0,7
1_18,-3,0,2,0,1,1,0,3
1_21,-3,0,2,0,0,2,0,3
1_23,-6,1,3,0,0,1,0,3
3_0,-2,0,5,0,2,2,0,1
3_1,-3,0,5,1,1,1,0,1
3_2,-5,0,3,0,1,2,0,5
3_3,-2,0,5,0,2,2,0,1
3_5,-4,0,5,0,1,1,0,1
3_6,-5,0,5,1,1,1,0,3
3_7,-5,0,5,0,2,1,0,3
3_9,-9,0,2,0,1,1,0,9
3_10,-2,0,5,0,2,2,0,1
3_11,-3,0,3,0,1,2,0,3
3_12,-5,0,5,0,2,1,0,3
3_14,-5,0,4,0,0,2,0,3
3_15,-2,0,5,0,2,2,0,1
3_16,-5,0,5,1,1,1,0,3
3_18,-5,0,5,0,2,1,0,3
3_19,-3,0,5,1,1,1,0,1
3_20,-5,0,5,0,2,1,0,3
3_24,-3,0,5,0,2,1,0,1
4_0,-4,1,3,1,0,2,0,3
4_1,-2,0,3,1,1,2,1,4
4_3,-16,0,6,0,1,2,0,13
4_4,-9,0,4,0,0,2,0,7
4_6,0,0,3,0,1,3,0,1
4_8,-6,0,2,1,0,2,0,7
4_9,-6,0,2,0,0,2,0,6
4_10,-5,0,4,0,1,2,0,4
4_12,-10,0,3,1,0,2,0,10
4_13,-5,0,3,0,1,2,0,5
4_15,-1,0,3,0,1,2,0,1
4_17,-3,0,3,0,1,2,0,3
4_18,-11,0,4,0,0,2,0,9
4_19,-3,0,2,3,1,2,0,7
4_20,0,0,2,1,1,1,0,1
4_21,-6,1,3,0,0,1,0,3
4_22,-9,0,6,0,0,0,0,3
4_23,-3,1,3,0,0,2,0,1
4_24,-9,0,5,0,0,1,0,5
8_0,-3,0,5,4,0,1,0,3
8_1,-11,0,5,0,0,1,0,7
8_2,-7,0,5,0,0,1,0,3
8_3,-8,0,6,0,2,1,0,5
8_4,-3,0,6,2,1,1,0,1
8_5,-3,0,5,0,2,1,0,1
8_7,-3,0,6,0,2,2,0,1
8_8,-7,0,6,1,0,1,0,3
8_11,-4,0,6,0,2,1,0,1
8_14,-3,0,5,0,2,1,0,1
8_15,-4,0,6,0,2,1,0,1
8_16,-2,0,5,0,2,2,0,1
8_18,-7,0,5,0,0,1,0,3
8_19,-4,0,6,0,2,1,0,1
8_20,-3,0,6,2,1,1,0,1
8_22,-7,0,5,0,0,1,0,3
8_23,-4,0,6,0,2,1,0,1
8_24,-6,0,6,0,2,1,0,3
