id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,-1,0,1,0,1,2,0,3
0_2,4,0,0,0,2,2,0,0
0_3,6,0,0,0,0,4,2,0
0_10,-5,0,6,0,0,5,0,4
0_11,6,0,0,0,0,4,2,0
0_14,-9,0,5,0,1,2,0,7
0_15,-8,0,5,0,1,2,0,6
0_16,-3,0,5,0,1,3,0,2
0_21,4,0,0,0,0,4,2,2
0_22,2,0,0,0,0,3,1,2
0_23,-6,0,6,0,1,2,0,3
0_24,-6,0,6,0,1,2,0,3
1_1,-8,0,7,0,1,2,0,4
1_2,-5,0,5,0,1,3,0,4
1_7,-1,0,4,0,1,4,0,2
1_8,-4,0,5,0,1,3,0,3
1_10,-6,0,5,0,1,2,0,4
1_11,-3,0,3,0,1,3,0,4
1_12,-11,0,10,0,1,2,0,4
1_15,0,0,5,2,0,5,0,2
1_22,-4,0,7,0,1,4,0,2
1_23,3,0,0,1,0,3,1,2
2_1,1,0,1,0,1,4,0,3
2_2,-8,0,6,0,1,3,0,6
2_5,3,0,0,2,0,3,0,2
2_9,-6,0,6,0,1,2,0,3
2_10,-8,0,6,0,1,3,0,6
2_14,-6,0,6,0,1,3,0,4
2_15,-6,0,5,0,1,2,0,4
2_16,-1,0,1,0,0,3,0,3
2_17,-9,0,6,0,0,3,0,6
2_19,-7,0,6,0,0,2,0,3
2_21,2,0,0,0,0,4,0,2
2_22,-6,0,6,0,0,4,0,4
