id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_5,0,0,4,1,1,3,0,1
0_11,-12,2,9,1,0,1,0,3
0_13,-3,0,4,0,1,1,0,1
0_20,-12,1,10,0,0,2,0,3
0_22,-2,0,4,0,1,2,0,1
0_24,-23,5,19,0,1,2,0,2
0_29,1,0,0,0,1,1,0,1
0_42,2,0,0,0,1,1,0,0
0_43,-15,2,14,0,1,1,0,1
0_48,-12,2,16,2,1,2,2,1
0_52,-5,0,6,0,1,1,0,1
0_60,0,0,4,2,1,2,0,1
0_62,-13,3,10,0,0,1,0,1
0_65,-13,2,12,0,1,1,0,1
0_66,-7,3,4,0,0,1,0,1
0_67,-2,0,4,0,1,2,0,1
0_68,-19,2,18,1,0,1,0,1
0_69,-3,0,4,0,1,1,0,1
0_70,-10,2,10,1,0,2,0,1
0_71,-9,2,8,1,0,1,0,1
0_89,-8,2,7,1,0,1,0,1
0_92,-5,2,5,1,0,2,0,1
0_94,-13,2,8,0,0,2,0,5
1_3,-12,2,12,1,1,1,0,1
1_4,-7,2,6,0,1,1,0,1
1_5,-6,0,4,0,0,1,0,3
1_6,-17,2,14,0,1,1,0,3
1_13,-8,1,9,1,0,2,0,1
1_17,-7,2,3,0,0,2,0,4
1_25,-15,2,14,0,1,1,0,1
1_28,-7,3,4,0,0,1,0,1
1_30,-7,0,8,0,1,1,0,1
1_32,-9,2,8,1,0,1,0,1
1_36,-4,0,4,0,1,2,0,3
1_44,-9,0,8,0,0,2,0,3
1_46,-18,2,14,0,1,2,0,5
1_54,-2,0,4,2,1,2,0,3
1_60,-11,4,8,0,1,1,0,1
1_62,-10,1,7,1,1,1,0,5
1_66,-5,0,8,0,1,3,0,1
1_70,-20,2,18,0,1,0,0,1
1_72,-23,3,20,0,0,1,0,1
1_74,-3,0,4,0,1,1,0,1
1_77,-3,0,4,0,1,1,0,1
1_83,-4,2,3,1,0,1,0,1
1_87,-3,0,4,0,1,1,0,1
1_90,-9,3,6,0,0,1,0,1
1_99,-5,0,4,1,0,1,0,3
3_0,-1,0,4,0,1,1,2,1
3_1,-16,4,12,0,1,2,0,3
3_4,-10,2,10,1,1,1,0,1
3_6,-10,2,12,0,3,2,0,1
3_7,-7,0,8,0,1,1,0,1
3_10,-11,2,8,0,0,2,0,3
3_13,-15,2,10,0,0,2,0,5
3_19,-13,2,12,3,0,1,0,3
3_24,-15,6,10,0,1,1,0,1
3_27,-13,2,8,0,0,2,0,5
3_32,-5,0,4,0,0,2,0,3
3_36,-3,2,10,2,1,3,4,1
3_38,-14,7,8,0,0,2,0,1
3_42,-9,2,8,0,1,1,0,1
3_49,-13,2,10,1,0,1,0,3
3_53,-11,4,9,0,1,2,0,1
3_57,-17,4,14,0,1,1,0,1
3_60,1,0,0,0,1,1,0,1
3_65,-14,1,15,0,1,2,0,1
3_66,-16,4,12,1,0,0,0,1
3_73,-15,2,13,0,0,3,0,3
3_78,-14,2,10,0,0,1,0,3
3_81,-17,2,12,0,0,2,0,5
3_83,-5,0,4,0,1,1,0,3
3_84,-11,4,8,0,1,1,0,1
3_88,-11,3,8,0,0,1,0,1
3_90,-8,1,9,1,0,2,0,1
3_91,-6,2,5,1,0,1,0,1
3_93,-8,0,4,0,0,1,0,5
3_96,-2,0,4,1,1,1,0,1
3_97,-9,0,8,0,0,2,0,3
3_98,-11,2,10,0,1,1,0,1
3_99,-18,5,14,0,0,2,0,1
4_0,-11,2,10,0,1,1,0,1
4_6,0,0,2,0,1,1,0,0
4_9,-7,3,6,1,1,1,0,1
4_10,-15,2,10,0,0,2,0,5
4_19,-17,6,12,0,0,2,0,1
4_28,-14,4,12,1,0,2,0,1
4_31,-10,3,7,0,0,1,0,1
4_34,-16,3,13,0,0,1,0,1
4_46,-14,2,10,0,0,2,0,4
4_47,-15,1,15,2,0,2,0,3
4_49,-13,6,10,1,0,1,2,1
4_50,-9,3,7,0,0,2,0,1
4_51,-18,2,12,0,0,2,0,6
4_52,-11,3,8,0,0,1,0,1
4_55,-5,0,4,0,0,2,0,3
4_56,-7,0,8,0,1,1,0,1
4_59,-12,1,11,0,2,1,0,3
4_61,-1,0,4,0,1,3,0,1
4_66,-11,2,10,1,0,1,0,1
4_74,-4,1,4,0,1,1,0,1
4_75,-5,1,6,0,2,1,0,1
4_79,-15,2,12,0,0,2,0,3
4_85,-15,3,12,0,0,1,0,1
4_91,-9,2,8,0,1,1,0,1
6_4,-2,0,4,0,1,2,0,1
6_9,-13,2,8,0,0,2,0,5
6_10,-3,0,4,0,1,1,0,1
6_21,-14,2,12,0,1,2,0,3
6_30,-12,2,11,0,1,3,0,3
6_36,-6,0,4,0,0,1,0,3
6_39,-9,2,8,0,1,1,0,1
6_50,-6,2,5,0,1,1,0,1
6_56,-12,2,10,0,1,1,0,2
6_59,-12,0,8,0,0,1,0,5
6_61,-9,2,8,0,1,1,0,1
6_69,-23,3,20,0,0,1,0,1
6_70,-14,2,12,0,1,1,0,2
6_77,-12,2,12,0,1,2,0,1
6_94,-8,0,6,0,0,1,0,3
