id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,5,0,0,3,0,1,1,0
0_2,2,0,0,2,0,1,1,2
0_3,5,0,0,3,0,1,1,0
0_4,3,0,0,3,0,0,0,0
0_5,4,0,0,3,0,1,0,0
0_6,5,0,0,3,0,1,1,0
0_7,5,0,0,3,0,1,1,0
0_8,1,0,0,1,1,1,0,2
0_10,3,0,0,1,1,1,0,0
0_11,5,0,0,3,0,1,1,0
0_13,5,0,0,3,0,1,1,0
0_14,4,0,0,3,0,1,0,0
0_16,4,0,0,1,1,1,1,0
0_17,3,0,0,1,1,1,0,0
0_18,-1,0,0,1,0,1,1,4
0_19,5,0,0,3,0,1,1,0
0_20,5,0,0,3,0,1,1,0
0_21,5,0,0,3,0,1,1,0
0_22,4,0,0,3,0,1,0,0
0_23,5,0,0,3,0,1,1,0
0_24,5,0,0,3,0,1,1,0
1_0,5,0,0,3,0,1,1,0
1_1,4,0,0,3,0,1,0,0
1_3,4,0,0,3,0,1,0,0
1_4,5,0,0,3,0,1,1,0
1_5,5,0,0,3,0,1,1,0
1_6,4,0,0,3,0,1,0,0
1_7,5,0,0,3,0,1,1,0
1_8,0,0,0,0,1,1,0,2
1_9,5,0,0,3,0,1,1,0
1_10,1,0,0,0,1,0,0,0
1_12,5,0,0,3,0,1,1,0
1_13,5,0,0,3,0,1,1,0
1_14,5,0,0,3,0,1,1,0
1_15,3,0,0,1,1,1,0,0
1_16,5,0,0,3,0,1,1,0
1_17,3,0,0,1,1,1,0,0
1_18,5,0,0,3,0,1,1,0
1_20,5,0,0,3,0,1,1,0
1_22,5,0,0,3,0,1,1,0
1_23,5,0,0,3,0,1,1,0
1_24,5,0,0,3,0,1,1,0
2_0,1,0,0,0,1,0,0,0
2_1,7,0,0,5,0,1,1,0
2_2,7,0,0,5,0,1,1,0
2_3,4,0,0,3,0,0,1,0
2_4,7,0,0,5,0,1,1,0
2_6,5,0,0,3,1,1,0,0
2_7,5,0,0,3,1,1,0,0
2_8,5,0,0,3,0,1,1,0
2_9,7,0,0,5,0,1,1,0
2_10,7,0,0,5,0,1,1,0
2_11,5,0,0,3,1,1,0,0
2_12,7,0,0,5,0,1,1,0
2_13,5,0,0,3,1,1,0,0
2_14,5,0,0,3,0,1,1,0
2_15,5,0,0,3,0,1,1,0
2_16,7,0,0,5,0,1,1,0
2_17,2,0,0,1,1,0,0,0
2_18,7,0,0,5,0,1,1,0
2_19,6,0,0,5,0,1,0,0
2_21,4,0,0,3,0,1,0,0
2_22,7,0,0,5,0,1,1,0
2_23,3,0,0,1,1,1,0,0
2_24,1,0,0,0,1,0,0,0
3_0,5,0,0,3,0,1,1,0
3_1,5,0,0,3,0,1,1,0
3_2,3,0,0,2,0,1,0,0
3_3,3,0,0,1,1,1,0,0
3_4,5,0,0,3,0,1,1,0
3_5,3,0,0,1,1,1,0,0
3_6,4,0,0,3,0,1,0,0
3_7,5,0,0,3,0,1,1,0
3_8,1,0,0,1,0,1,1,2
3_9,5,0,0,3,0,1,1,0
3_10,5,0,0,3,0,1,1,0
3_12,4,0,0,3,0,1,0,0
3_13,2,0,0,3,0,1,0,2
3_14,5,0,0,3,0,1,1,0
3_15,3,0,0,1,0,1,1,0
3_16,4,0,0,1,1,1,1,0
3_17,5,0,0,3,0,1,1,0
3_18,5,0,0,3,0,1,1,0
3_20,4,0,0,3,0,1,0,0
3_21,4,0,0,5,0,1,0,2
3_23,4,0,0,3,0,1,0,0
3_24,5,0,0,3,0,1,1,0
4_0,5,0,0,4,0,1,0,0
4_1,4,0,0,3,0,1,0,0
4_2,2,0,0,0,0,1,1,0
4_3,3,0,0,2,0,1,0,0
4_4,1,0,0,0,1,0,0,0
4_5,2,0,0,2,0,1,1,2
4_6,3,0,0,2,0,1,0,0
4_7,3,0,0,2,0,1,0,0
4_8,-1,0,0,0,1,0,0,2
4_9,3,0,0,2,0,1,0,0
4_10,2,0,0,1,0,1,0,0
4_11,4,0,0,3,0,1,0,0
4_12,-1,0,0,0,1,0,0,2
4_13,0,0,0,0,0,1,1,2
4_14,-1,0,0,0,0,0,1,2
4_15,2,0,0,0,1,1,0,0
4_16,2,0,0,0,1,1,0,0
4_17,2,0,0,0,1,1,0,0
4_19,3,0,0,2,0,1,0,0
4_20,-1,0,0,0,0,1,0,2
4_21,3,0,0,2,0,1,0,0
4_22,-1,0,0,0,0,1,0,2
4_23,2,0,0,0,1,1,0,0
4_24,3,0,0,2,0,1,0,0
