id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_12,1,0,0,1,0,2,0,2
0_17,0,0,0,1,0,1,0,2
0_18,3,0,0,0,1,2,0,0
0_22,1,0,0,0,1,2,0,2
0_24,3,0,0,1,0,2,0,0
0_27,0,0,0,0,1,1,0,2
0_29,3,0,0,1,0,2,0,0
0_32,0,0,0,1,0,1,0,2
0_33,3,0,0,0,1,2,0,0
0_48,4,0,0,1,0,3,0,0
0_49,4,0,0,0,1,3,0,0
0_54,3,0,0,1,0,2,0,0
0_64,0,0,0,0,1,1,0,2
0_67,4,0,0,0,1,3,0,0
0_68,3,0,0,0,1,2,0,0
0_76,0,0,0,1,0,1,0,2
0_79,0,0,0,1,0,1,0,2
0_80,5,0,0,1,0,4,0,0
0_84,0,0,0,1,0,1,0,2
0_85,0,0,0,1,0,1,0,2
0_96,3,0,0,1,0,2,0,0
1_2,0,0,0,1,0,1,0,2
1_5,0,0,0,1,0,1,0,2
1_7,4,0,0,0,1,3,0,0
1_12,3,0,0,0,1,2,0,0
1_13,1,0,0,0,1,2,0,2
1_14,4,0,0,1,0,3,0,0
1_19,2,0,0,1,0,3,0,2
1_20,3,0,0,1,0,2,0,0
1_23,2,0,0,1,0,3,0,2
1_25,3,0,0,1,0,2,0,0
1_26,0,0,0,1,0,1,0,2
1_30,0,0,0,0,1,1,0,2
1_33,4,0,0,1,0,3,0,0
1_38,3,0,0,1,0,2,0,0
1_40,1,0,0,1,0,2,0,2
1_41,1,0,0,0,1,2,0,2
1_46,0,0,0,1,0,1,0,2
1_49,2,1,2,0,1,4,0,0
1_50,4,0,0,1,0,3,0,0
1_53,5,0,0,1,0,4,0,0
1_62,3,0,0,1,0,2,0,0
1_64,0,0,0,0,1,1,0,2
1_69,0,0,0,1,0,1,0,2
1_70,2,0,0,1,0,3,0,2
1_72,3,0,0,1,0,2,0,0
1_78,4,0,0,1,0,3,0,0
1_79,2,0,0,1,0,3,0,2
1_81,5,0,0,0,1,4,0,0
1_83,3,0,0,1,0,2,0,0
1_87,0,0,0,1,0,1,0,2
1_90,4,0,0,1,0,3,0,0
