id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,0,0,0,0,0,0,0,0
10_1,1,0,0,0,1,0,0,0
10_2,0,0,0,1,0,0,0,1
10_4,0,0,0,0,0,0,0,0
10_5,1,0,0,0,1,0,0,0
10_6,1,0,0,0,0,1,0,0
10_7,1,0,0,0,1,0,0,0
10_8,1,0,0,1,0,1,0,1
10_9,0,0,0,1,0,0,0,1
10_10,1,0,0,0,1,0,0,0
10_11,1,0,0,0,1,0,0,0
10_12,1,0,0,0,1,0,0,0
10_13,1,0,0,0,1,0,0,0
10_14,1,0,0,0,1,0,0,0
10_15,0,0,0,0,0,0,0,0
10_16,1,0,0,0,1,0,0,0
10_17,1,0,0,0,1,0,0,0
10_18,1,0,0,0,1,0,0,0
10_24,1,0,0,0,1,0,0,0
10_25,1,0,0,0,1,0,0,0
10_26,0,0,0,1,0,0,0,1
10_28,1,0,0,0,1,0,0,0
10_29,0,0,0,0,0,0,0,0
10_30,1,0,0,0,1,0,0,0
10_31,1,0,0,0,1,0,0,0
10_32,1,0,0,1,0,1,0,1
10_33,1,0,0,0,1,0,0,0
10_34,1,0,0,1,0,1,0,1
10_35,1,0,0,0,1,0,0,0
10_37,0,0,0,0,0,0,0,0
10_38,1,0,0,1,0,1,0,1
10_40,1,0,0,0,1,0,0,0
10_41,1,0,0,0,1,0,0,0
10_43,1,0,0,0,0,1,0,0
10_44,1,0,0,0,1,0,0,0
10_45,1,0,0,0,1,0,0,0
10_46,1,0,0,1,0,1,0,1
10_47,1,0,0,0,1,0,0,0
10_48,1,0,0,0,1,0,0,0
10_49,1,0,0,0,1,0,0,0
10_50,1,0,0,0,1,0,0,0
10_51,1,0,0,0,1,0,0,0
10_52,1,0,0,0,1,0,0,0
10_53,1,0,0,0,1,0,0,0
10_54,1,0,0,0,1,0,0,0
10_55,1,0,0,1,0,1,0,1
10_56,0,0,0,1,0,0,0,1
10_57,1,0,0,0,1,0,0,0
10_58,1,0,0,1,0,1,0,1
10_59,1,0,0,0,1,0,0,0
10_60,1,0,0,0,1,0,0,0
10_61,1,0,0,0,1,0,0,0
10_62,1,0,0,0,1,0,0,0
10_64,1,0,0,2,0,0,0,1
10_65,0,0,0,0,0,0,0,0
10_66,1,0,0,0,1,0,0,0
10_67,1,0,0,0,1,0,0,0
10_68,1,0,0,0,1,0,0,0
10_69,1,0,0,0,1,0,0,0
10_70,1,0,0,0,1,0,0,0
10_71,1,0,0,0,1,0,0,0
10_72,1,0,0,0,1,0,0,0
10_73,1,0,0,0,0,1,0,0
10_75,1,0,0,0,1,0,0,0
10_76,1,0,0,0,1,0,0,0
10_77,1,0,0,0,1,0,0,0
10_78,1,0,0,0,1,0,0,0
10_79,1,0,0,0,1,0,0,0
10_80,1,0,0,0,1,0,0,0
