id,heuristic,mutation,indexing,hof,for_hof,helpers
0_2,-2,0,3,1,0,0
0_8,-1,0,3,0,0,2
0_9,2,0,0,1,0,1
0_12,1,0,0,0,0,1
0_15,2,0,3,1,2,2
0_20,-2,0,3,0,0,1
0_21,1,0,0,0,0,1
0_22,-2,0,3,0,0,1
0_23,1,0,0,0,0,1
0_24,3,0,3,0,2,4
1_1,3,0,1,1,1,2
1_4,1,0,2,0,2,1
1_5,0,0,3,0,2,1
1_6,1,0,0,0,0,1
1_7,0,0,1,0,0,1
1_8,1,0,0,0,0,1
1_9,1,0,0,0,0,1
1_10,1,0,0,0,0,1
1_13,-1,0,3,0,1,1
1_14,4,0,2,3,2,1
1_15,3,0,1,1,1,2
1_16,2,0,1,1,0,2
1_17,2,0,2,1,2,1
1_18,3,0,0,1,0,2
1_19,1,0,0,0,0,1
1_20,1,0,0,0,0,1
1_23,1,0,0,0,0,1
1_24,2,0,1,1,0,2
2_0,3,0,0,1,0,2
2_1,0,0,1,0,0,1
2_2,1,0,0,0,0,1
2_4,-1,0,3,0,2,0
2_5,1,0,1,1,0,1
2_6,1,0,0,0,0,1
2_7,1,0,0,0,0,1
2_8,-2,0,3,0,0,1
2_10,1,0,0,0,0,1
2_12,3,0,0,1,0,2
2_13,3,0,3,2,1,3
2_14,2,0,0,0,0,2
2_15,-2,0,3,0,0,1
2_16,3,0,0,1,0,2
2_17,1,0,0,0,0,1
2_19,2,0,0,1,0,1
2_20,0,0,1,0,0,1
2_21,-2,0,2,0,0,0
2_22,-2,0,3,0,1,0
2_24,1,0,0,0,0,1
3_2,0,0,3,0,2,1
3_4,-2,0,3,0,1,0
3_5,0,0,3,0,2,1
3_7,0,0,3,1,2,0
3_9,3,0,3,5,0,1
3_10,0,0,3,0,2,1
3_11,-3,0,3,0,0,0
3_20,1,0,3,1,2,1
3_21,-1,0,3,0,2,0
3_24,-2,0,3,0,0,1
