id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,0,3,1,3,0,1,0,0
0_5,-1,3,1,2,0,1,0,0
0_11,-2,3,2,1,1,1,0,0
0_17,0,3,1,3,0,1,0,0
0_30,-1,3,1,2,0,1,0,0
0_32,-1,3,1,2,0,1,0,0
0_33,0,3,1,2,0,2,0,0
0_35,0,3,1,3,0,1,0,0
0_38,0,3,1,3,0,1,0,0
0_41,0,3,1,3,0,1,0,0
0_42,5,3,1,8,0,1,0,0
0_43,-1,3,2,2,1,1,0,0
0_47,-2,3,1,1,0,1,0,0
0_51,0,3,1,3,0,1,0,0
0_57,-2,3,1,1,0,1,0,0
0_60,2,3,1,3,0,3,0,0
0_63,-8,8,1,2,0,1,0,2
0_64,0,3,1,3,0,1,0,0
0_66,0,3,1,3,0,1,0,0
0_70,1,3,1,4,0,1,0,0
0_72,0,3,1,3,0,1,0,0
0_78,0,3,1,3,0,1,0,0
0_86,0,3,1,3,0,1,0,0
0_89,1,3,1,3,0,2,0,0
0_93,-2,3,1,1,0,1,0,0
1_6,-1,3,2,2,1,1,0,0
1_7,-1,3,2,2,1,1,0,0
1_9,0,3,2,1,2,2,0,0
1_14,0,3,1,3,0,1,0,0
1_22,-5,6,2,1,1,1,0,0
1_48,2,3,2,0,3,2,2,0
1_51,-1,3,2,2,1,1,0,0
1_59,-1,3,2,2,1,1,0,0
1_67,-1,3,2,0,3,1,0,0
1_80,-1,3,2,1,1,2,0,0
1_90,-1,3,2,2,1,1,0,0
2_3,1,3,2,2,3,1,0,0
2_5,-3,3,2,0,1,1,0,0
2_7,1,3,2,4,1,1,0,0
2_14,-1,3,2,0,2,2,0,0
2_15,-3,3,2,0,1,1,0,0
2_18,-5,6,2,2,1,0,0,0
2_21,0,3,2,2,1,2,0,0
2_22,0,3,2,3,1,1,0,0
2_25,1,3,2,1,1,2,2,0
2_26,0,2,2,0,2,2,0,0
2_31,-3,3,2,0,1,1,0,0
2_32,1,3,2,1,1,2,2,0
2_36,-3,3,2,0,1,1,0,0
2_41,-2,3,2,1,1,1,0,0
2_43,-3,3,2,0,1,1,0,0
2_44,1,3,2,2,1,3,0,0
2_47,-3,3,2,0,1,1,0,0
2_49,-3,3,2,0,1,1,0,0
2_50,-1,3,2,0,1,1,2,0
2_65,0,3,2,0,1,2,2,0
2_66,-1,3,2,2,1,1,0,0
2_69,0,3,2,2,1,2,0,0
2_70,-1,3,2,2,1,1,0,0
2_72,-1,3,2,2,1,1,0,0
2_73,-2,3,2,0,1,2,0,0
2_77,-5,8,1,2,0,2,0,0
2_81,-1,3,2,2,1,1,0,0
2_86,0,3,1,2,0,2,0,0
2_87,-1,4,2,0,2,3,0,0
2_88,-1,3,2,2,1,1,0,0
2_92,-1,3,2,2,1,1,0,0
2_93,-3,3,2,0,1,1,0,0
2_95,-7,8,2,1,1,1,0,0
2_96,-1,3,2,2,1,1,0,0
3_0,-8,8,2,0,1,1,0,0
3_2,-1,3,2,2,1,1,0,0
3_5,-1,3,2,2,1,1,0,0
3_7,1,3,2,2,1,1,2,0
3_8,-2,3,2,0,1,2,0,0
3_10,-1,3,2,2,1,1,0,0
3_14,-1,3,2,2,1,1,0,0
3_15,-3,3,2,0,1,1,0,0
3_18,1,3,2,2,1,3,0,0
3_19,-2,3,2,0,1,2,0,0
3_23,0,3,2,2,1,2,0,0
3_24,-4,3,2,0,1,0,0,0
3_26,0,3,2,2,1,2,0,0
3_32,-3,3,2,0,1,1,0,0
3_36,-2,3,2,1,1,1,0,0
3_37,-1,3,2,2,1,1,0,0
3_40,2,3,1,4,0,2,0,0
3_44,-3,3,2,0,1,1,0,0
3_47,-2,3,2,2,1,0,0,0
3_48,-1,3,2,2,1,1,0,0
3_49,-6,8,2,0,1,1,2,0
3_53,-3,3,2,0,1,1,0,0
3_54,-3,3,2,0,1,1,0,0
3_57,-1,3,2,2,1,1,0,0
3_59,-3,3,2,0,1,1,0,0
3_64,0,3,2,2,1,2,0,0
3_66,0,3,1,1,1,2,0,0
3_68,-1,3,2,2,1,1,0,0
3_69,-3,3,2,0,1,1,0,0
3_70,-1,3,2,2,1,1,0,0
3_72,-2,3,2,2,1,2,0,2
3_73,-2,3,2,0,1,2,0,0
3_79,-1,3,2,2,1,1,0,0
3_83,-7,3,2,0,1,1,0,4
3_87,-3,3,2,0,1,1,0,0
3_91,-2,3,2,1,1,1,0,0
3_97,1,3,2,3,1,2,0,0
3_98,-2,3,2,0,1,2,0,0
