id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,2,1,0,2,0,1,0,0
10_3,2,1,0,1,1,1,0,0
10_5,1,1,0,1,0,1,0,0
10_6,1,1,0,1,0,1,0,0
10_7,1,1,0,1,1,0,0,0
10_11,1,1,0,1,0,1,0,0
10_12,3,1,0,1,1,2,0,0
10_13,2,1,0,3,0,0,0,0
10_14,2,1,0,3,0,0,0,0
10_15,1,1,0,1,0,1,0,0
10_16,0,1,0,1,0,0,0,0
10_17,2,1,0,1,1,1,0,0
10_19,1,1,0,1,0,1,0,0
10_20,1,1,0,1,0,1,0,0
10_27,2,1,0,1,1,1,0,0
10_29,1,1,0,1,0,1,0,0
10_32,1,1,0,1,0,1,0,0
10_34,1,1,0,1,0,1,0,0
10_36,1,1,0,1,0,1,0,0
10_40,1,1,0,1,0,1,0,0
10_48,1,1,0,1,0,1,0,0
10_53,1,1,0,1,0,1,0,0
10_55,2,1,0,1,1,1,0,0
10_58,0,1,0,1,0,0,0,0
10_62,3,0,0,1,2,0,0,0
10_63,1,1,0,1,0,1,0,0
10_64,4,0,0,1,2,1,0,0
10_66,0,1,0,1,0,0,0,0
10_67,3,0,0,1,2,0,0,0
10_68,0,1,0,1,0,0,0,0
10_70,2,1,0,1,1,1,0,0
10_72,1,1,0,1,0,1,0,0
10_75,3,1,0,2,2,0,0,0
10_76,7,0,0,3,1,3,0,0
10_83,2,1,0,1,1,1,0,0
10_85,3,1,0,3,0,1,0,0
10_86,0,1,0,1,0,0,0,0
10_87,1,1,0,1,0,1,0,0
10_90,2,1,0,1,1,1,0,0
10_91,0,1,0,1,0,0,0,0
10_94,1,1,0,1,0,1,0,0
10_95,1,1,0,1,0,1,0,0
1_0,1,1,0,1,0,1,0,0
1_2,1,1,0,1,1,0,0,0
1_3,2,1,0,1,1,1,0,0
1_4,1,1,0,1,0,1,0,0
1_12,1,1,0,2,0,0,0,0
1_16,0,1,0,1,0,0,0,0
1_17,2,1,0,1,1,1,0,0
1_18,2,1,0,1,1,1,0,0
1_22,0,1,0,1,0,0,0,0
1_23,1,1,0,2,0,0,0,0
1_28,1,1,0,1,1,0,0,0
1_29,2,1,0,2,0,1,0,0
1_32,2,1,0,2,0,1,0,0
1_34,2,1,0,1,2,0,0,0
1_35,2,1,0,1,0,2,0,0
1_38,0,1,0,1,0,0,0,0
1_40,0,1,0,1,0,0,0,0
1_42,0,1,0,1,0,0,0,0
1_43,0,1,0,1,0,0,0,0
1_47,3,0,0,1,2,0,0,0
1_53,2,1,0,2,0,1,0,0
1_63,1,1,0,1,1,0,0,0
1_64,1,1,0,1,0,1,0,0
1_67,1,1,0,2,0,0,0,0
1_68,0,1,0,1,0,0,0,0
1_70,1,1,0,1,0,1,0,0
1_76,2,1,0,2,0,1,0,0
1_78,2,1,0,1,2,0,0,0
1_79,0,1,0,1,0,0,0,0
1_81,0,1,0,1,0,0,0,0
1_83,0,1,0,1,0,0,0,0
1_84,2,1,0,2,0,1,0,0
1_87,2,1,0,1,1,1,0,0
1_95,1,1,0,1,0,1,0,0
1_97,0,1,0,1,0,0,0,0
1_98,2,1,0,1,1,1,0,0
1_99,0,1,0,1,0,0,0,0
3_1,1,1,0,1,0,1,0,0
3_2,1,1,0,1,0,1,0,0
3_8,2,1,0,2,0,1,0,0
3_13,1,1,0,1,0,1,0,0
3_14,3,1,0,1,1,2,0,0
3_16,1,1,0,1,0,1,0,0
3_20,1,1,0,1,0,1,0,0
3_27,3,1,0,3,0,1,0,0
3_29,2,1,0,2,0,1,0,0
3_33,1,1,0,1,0,1,0,0
3_36,1,1,0,1,0,1,0,0
3_38,3,1,0,2,0,2,0,0
3_39,3,1,0,1,1,2,0,0
3_40,1,1,0,2,0,0,0,0
3_47,1,1,0,1,0,1,0,0
3_49,5,1,0,3,1,2,0,0
3_50,1,1,1,0,2,1,0,0
3_51,1,1,0,1,0,1,0,0
3_52,1,1,0,1,0,1,0,0
3_54,1,1,0,1,0,1,0,0
3_59,1,1,0,1,0,1,0,0
3_61,1,1,0,1,0,1,0,0
3_63,1,1,0,1,0,1,0,0
3_64,1,1,0,1,0,1,0,0
3_66,4,0,0,1,2,1,0,0
3_69,6,0,0,4,1,1,0,0
3_70,1,1,0,1,0,1,0,0
3_77,1,1,0,1,0,1,0,0
3_78,1,1,0,1,0,1,0,0
3_79,1,1,0,1,0,1,0,0
3_92,2,1,0,2,0,1,0,0
3_99,4,0,0,1,2,1,0,0
8_0,4,0,0,1,2,1,0,0
8_1,1,1,0,1,0,1,0,0
8_5,1,1,0,1,0,1,0,0
8_8,1,1,0,1,0,1,0,0
8_15,2,0,0,1,1,0,0,0
8_19,2,0,0,1,1,0,0,0
8_20,1,1,0,1,0,1,0,0
8_23,2,1,0,1,1,1,0,0
8_24,5,0,0,1,3,1,0,0
