id,heuristic,mutation,indexing,hof,for_hof,helpers
10_0,-1,0,6,1,1,3
10_3,0,0,3,1,1,1
10_7,6,0,1,5,0,2
10_10,0,0,2,0,0,2
10_11,1,0,4,1,1,3
10_12,-3,1,5,1,0,2
10_13,1,0,4,1,2,2
10_15,-2,0,5,0,1,2
10_16,0,0,5,1,2,2
10_17,2,0,1,1,0,2
10_18,6,0,0,3,1,2
10_19,2,0,0,0,1,1
10_20,1,0,4,1,2,2
10_21,-4,1,5,1,0,1
10_22,0,0,4,1,1,2
10_23,3,0,5,1,2,5
10_24,-2,0,5,1,0,2
1_1,0,0,7,3,2,2
1_3,0,0,3,1,0,2
1_4,-1,0,5,1,1,2
1_5,-3,0,5,1,0,1
1_7,2,0,4,3,0,3
1_9,0,0,4,2,1,1
1_10,0,0,1,0,0,1
1_13,-3,0,6,1,0,2
1_17,1,0,2,0,0,3
1_21,-1,0,4,1,0,2
3_0,-3,0,5,1,0,1
3_3,2,0,0,0,0,2
3_7,-1,0,4,1,1,1
3_8,-1,0,4,0,1,2
3_9,1,0,4,1,1,3
3_10,-2,0,5,1,0,2
3_12,0,0,4,3,0,1
3_13,1,0,4,1,2,2
3_15,-2,0,5,1,0,2
3_18,1,0,5,1,1,4
3_19,-3,0,5,1,0,1
3_20,1,0,5,4,0,2
3_21,-2,0,5,1,0,2
3_22,-3,0,5,1,0,1
3_23,-1,0,4,1,1,1
3_24,6,0,3,6,1,2
8_0,1,0,4,2,1,2
8_3,-1,0,5,1,1,2
8_5,0,0,4,1,1,2
8_8,-1,0,3,0,1,1
8_9,2,0,4,4,0,2
8_10,0,0,4,1,1,2
8_11,0,0,4,1,2,1
8_13,-1,1,4,2,0,2
8_14,1,0,2,1,0,2
8_15,-1,0,4,1,1,1
8_23,-3,1,5,1,1,1
8_24,-1,0,5,1,1,2
9_0,-4,2,4,1,0,1
9_2,-3,0,5,1,0,1
9_4,1,0,1,0,0,2
9_7,-2,0,3,0,0,1
9_8,-4,0,6,1,0,1
9_11,0,0,1,0,0,1
9_12,-3,0,5,1,0,1
9_14,-3,1,4,0,0,2
9_17,-7,1,7,0,1,0
9_20,0,0,2,0,0,2
9_23,1,0,2,1,0,2
9_24,1,0,1,0,0,2
