id,heuristic,mutation,indexing,hof,for_hof,helpers
1_4,3,0,0,0,2,1
1_5,0,0,2,0,2,0
1_7,1,0,0,0,0,1
1_13,2,0,0,1,0,1
1_15,2,0,0,0,0,2
1_19,-1,0,2,0,0,1
3_1,0,0,2,0,2,0
3_2,-1,0,2,0,0,1
3_3,1,0,2,0,2,1
3_5,-1,0,2,0,1,0
3_8,0,0,2,0,2,0
3_9,3,0,2,4,0,1
3_11,0,0,2,2,0,0
3_23,2,0,0,0,1,1
4_4,0,0,2,0,2,0
4_14,-2,0,2,0,0,0
4_18,2,0,0,0,1,1
4_19,-2,0,2,0,0,0
8_4,-1,0,2,0,1,0
8_11,-2,0,2,0,0,0
9_1,0,0,2,0,2,0
9_7,2,0,0,0,0,2
9_9,2,0,0,1,0,1
9_10,0,0,2,0,2,0
9_11,2,0,0,0,2,0
9_16,2,0,0,0,2,0
9_17,1,0,1,0,2,0
9_18,-2,0,2,0,0,0
9_23,-2,0,2,0,0,0
