id,heuristic,mutation,indexing,hof,for_hof,helpers
0_1,1,0,0,0,0,1
0_2,1,0,0,0,0,1
0_3,1,0,0,0,0,1
0_4,1,0,0,0,0,1
0_6,1,0,0,0,0,1
0_7,1,0,0,0,0,1
0_8,1,0,0,0,0,1
0_9,1,0,0,0,0,1
0_10,1,0,0,0,0,1
0_11,1,0,0,0,0,1
0_12,1,0,0,0,0,1
0_13,1,0,0,0,0,1
0_15,1,0,0,0,0,1
0_16,1,0,0,0,0,1
0_17,1,0,0,0,0,1
0_18,1,0,0,0,0,1
0_19,1,0,0,0,0,1
0_21,1,0,0,0,0,1
0_22,1,0,0,0,0,1
1_0,1,0,0,0,0,1
1_1,1,0,0,0,0,1
1_2,1,0,0,0,0,1
1_3,1,0,0,0,0,1
1_4,1,0,0,0,0,1
1_5,1,0,0,0,0,1
1_6,1,0,0,0,0,1
1_7,1,0,0,0,0,1
1_9,2,0,0,0,1,1
1_11,1,0,0,0,0,1
1_13,1,0,0,0,0,1
1_16,1,0,0,0,0,1
1_19,1,0,0,0,0,1
1_20,1,0,0,0,0,1
1_21,1,0,0,0,0,1
1_22,1,0,0,0,0,1
1_23,1,0,0,0,0,1
