id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_3,-2,0,2,0,0,2,0,2
10_6,-5,0,2,0,0,1,0,4
10_7,0,0,2,0,2,2,0,2
10_9,-1,0,2,0,2,1,0,2
10_10,4,0,0,0,2,2,0,0
10_11,0,0,2,0,2,2,0,2
10_12,3,0,0,0,1,2,0,0
10_14,3,0,0,0,2,1,0,0
10_15,4,0,0,0,2,2,0,0
10_16,-2,0,2,0,0,2,0,2
10_17,0,0,2,0,2,2,0,2
10_18,-2,0,2,0,0,2,0,2
1_8,0,0,0,0,1,2,1,4
1_20,-3,0,4,1,2,0,0,2
1_22,0,0,2,0,2,1,0,1
1_23,-3,0,2,0,1,2,1,5
1_24,-3,0,2,0,0,1,0,2
3_2,-2,0,2,0,0,1,0,1
3_3,0,0,2,0,2,2,0,2
3_4,-3,0,2,0,0,1,0,2
3_5,-3,0,2,0,0,1,0,2
3_7,-2,0,2,0,1,1,0,2
3_9,-5,0,2,0,0,1,0,4
3_10,-4,0,2,0,0,1,0,3
3_11,-3,0,2,0,0,1,0,2
3_12,1,0,0,0,0,1,0,0
3_14,-2,0,0,0,0,1,0,3
3_16,-2,0,2,0,0,1,0,1
3_19,-5,0,2,0,0,1,0,4
3_21,-3,0,2,0,0,1,0,2
8_3,3,0,0,0,1,2,0,0
8_4,5,0,0,2,1,3,1,2
8_5,1,0,0,0,1,1,0,1
8_7,1,0,0,0,0,1,0,0
8_8,-2,0,2,2,0,1,0,3
8_10,-4,0,5,1,1,1,0,2
8_11,-2,0,2,0,0,2,0,2
8_13,0,0,2,0,1,3,0,2
8_15,-2,0,2,0,0,2,0,2
8_16,0,0,0,0,1,2,1,4
8_21,4,0,0,2,0,3,0,1
9_7,1,0,2,0,1,2,0,0
9_14,-2,0,2,0,1,1,0,2
9_15,-2,0,2,1,0,2,0,3
9_20,0,0,2,0,1,2,0,1
9_21,-2,0,2,0,0,2,0,2
