id,heuristic,mutation,indexing,hof,for_hof,helpers
0_0,4,0,0,1,1,2
0_2,9,0,0,5,0,4
0_3,5,0,0,1,0,4
0_4,4,0,0,1,0,3
0_5,8,0,0,4,1,3
0_6,9,0,0,5,0,4
0_7,4,0,0,1,0,3
0_9,4,0,0,1,0,3
0_10,7,0,0,5,0,2
0_13,3,0,0,1,1,1
0_14,3,0,1,2,0,2
0_15,7,0,0,1,2,4
0_16,4,0,0,1,0,3
0_20,4,0,0,2,0,2
0_21,8,0,0,1,1,6
0_24,3,0,0,1,0,2
1_1,4,0,0,1,2,1
1_2,4,0,1,1,0,4
1_4,6,0,0,3,0,3
1_5,1,0,1,1,1,0
1_6,3,0,0,1,1,1
1_9,4,0,1,1,0,4
1_10,5,0,0,1,0,4
1_11,3,0,0,1,0,2
1_14,4,0,0,1,0,3
1_15,4,0,1,1,0,4
1_16,9,0,0,4,0,5
1_17,2,0,0,1,0,1
1_18,4,0,0,1,0,3
1_20,9,0,0,6,1,2
1_24,6,0,0,1,1,4
2_5,7,0,0,2,2,3
2_6,3,0,1,1,0,3
2_11,5,0,0,3,1,1
2_12,4,0,0,1,1,2
2_16,5,0,0,1,0,4
2_19,4,0,0,1,1,2
2_20,4,0,0,1,0,3
2_22,3,0,0,1,0,2
2_24,1,0,1,1,0,1
