id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,1,0,0,0,0,0,1,0
10_2,-2,0,0,0,0,0,0,2
10_5,-2,0,0,0,0,0,0,2
10_7,-1,0,0,0,0,1,0,2
10_8,2,0,0,1,0,0,1,0
10_9,1,0,0,0,0,1,0,0
10_10,1,0,0,0,0,0,1,0
10_11,1,0,0,0,0,1,0,0
10_12,1,0,0,0,0,1,0,0
10_14,-2,0,0,0,0,0,0,2
10_15,0,0,0,0,0,0,0,0
10_16,-1,0,0,0,0,1,0,2
10_17,-2,0,0,0,0,0,0,2
10_18,1,0,0,0,0,1,0,0
10_19,1,0,0,0,0,1,0,0
10_20,1,0,0,0,0,0,1,0
10_21,-2,0,0,0,0,0,0,2
10_22,0,0,0,0,0,0,0,0
10_23,-2,0,0,0,0,0,0,2
10_24,-2,0,0,0,0,0,0,2
10_25,0,0,0,0,0,0,0,0
10_27,1,0,0,0,0,1,0,0
10_28,-2,0,0,0,0,0,0,2
10_29,-2,0,0,0,0,0,0,2
10_30,0,0,0,0,0,0,0,0
10_31,1,0,0,0,0,1,0,0
10_33,0,0,0,0,0,0,0,0
10_34,-2,0,0,0,0,0,0,2
10_35,0,0,0,0,0,0,0,0
10_36,-2,0,0,0,0,0,0,2
10_37,1,0,0,0,0,1,0,0
10_38,-2,0,0,0,0,0,0,2
10_39,1,0,0,0,0,1,0,0
10_43,-2,0,0,0,0,0,0,2
10_44,-1,0,0,0,0,1,0,2
10_45,1,0,0,0,0,1,0,0
10_46,0,0,0,0,0,0,0,0
10_48,-2,0,0,0,0,0,0,2
10_49,0,0,0,0,0,0,0,0
10_50,-2,0,0,0,0,0,0,2
10_51,1,0,0,0,0,1,0,0
10_52,1,0,0,0,0,1,0,0
10_53,-1,0,0,0,0,1,0,2
10_54,-2,0,0,0,0,0,0,2
10_57,0,0,0,0,0,0,0,0
10_58,1,0,0,0,0,0,1,0
10_59,1,0,0,0,0,1,0,0
10_61,-2,0,0,0,0,0,0,2
10_62,0,0,0,0,0,0,0,0
10_63,-2,0,0,0,0,0,0,2
10_64,1,0,0,0,0,1,0,0
10_65,1,0,0,0,0,0,1,0
10_66,0,0,0,0,0,0,0,0
10_68,-2,0,0,0,0,0,0,2
10_69,-2,0,0,0,0,0,0,2
10_71,1,0,0,0,0,1,0,0
10_72,-2,0,0,0,0,0,0,2
10_74,-1,0,0,0,0,1,0,2
10_75,1,0,0,0,0,1,0,0
10_77,-2,0,0,0,0,0,0,2
10_78,1,0,0,0,0,1,0,0
10_80,0,0,0,0,0,0,0,0
10_82,0,0,0,0,0,0,0,0
10_85,-2,0,0,0,0,0,0,2
10_86,1,0,0,0,0,1,0,0
10_87,-2,0,0,0,0,0,0,2
10_88,1,0,0,0,0,1,0,0
10_89,-2,0,0,0,0,0,0,2
10_90,0,0,0,0,0,0,0,0
10_91,-2,0,0,0,0,0,0,2
10_92,-2,0,0,0,0,0,0,2
10_93,0,0,0,0,0,0,0,0
10_94,-1,0,0,0,0,1,0,2
10_95,1,0,0,0,0,1,0,0
10_96,-2,0,0,0,0,0,0,2
10_97,0,0,0,0,0,0,0,0
10_98,0,0,0,0,0,0,0,0
10_99,1,0,0,0,0,1,0,0
1_1,1,0,0,0,0,0,1,0
1_2,-1,0,0,0,0,1,0,2
1_5,-2,0,0,0,0,0,0,2
1_6,1,0,0,0,0,1,0,0
1_8,3,0,0,0,0,1,2,0
1_10,-1,0,0,0,0,1,0,2
1_11,1,0,0,0,0,0,1,0
1_13,-2,0,0,0,0,0,0,2
1_14,-2,0,0,0,0,0,0,2
1_15,1,0,0,0,0,0,1,0
1_16,1,0,0,0,0,0,1,0
1_17,1,0,0,0,0,1,0,0
1_18,-2,0,0,0,0,0,0,2
1_19,1,0,0,0,0,1,0,0
1_21,1,0,0,0,0,1,0,0
1_24,-1,0,0,0,0,1,0,2
1_26,-2,0,0,0,0,0,0,2
1_28,1,0,0,0,0,0,1,0
1_29,1,0,0,0,0,0,1,0
1_30,-1,0,0,0,0,1,0,2
1_32,0,0,0,0,0,0,0,0
1_37,1,0,0,0,0,1,0,0
1_40,-2,0,0,0,0,0,0,2
1_42,1,0,0,0,0,1,0,0
1_43,1,0,0,0,0,1,0,0
1_44,-2,0,0,0,0,0,0,2
1_45,-2,0,0,0,0,0,0,2
1_46,-2,0,0,0,0,0,0,2
1_48,-1,0,0,0,0,0,1,2
1_49,2,0,0,1,0,0,1,0
1_50,1,0,0,0,0,1,0,0
1_51,1,0,0,0,0,1,0,0
1_53,1,0,0,0,0,0,1,0
1_55,1,0,0,0,0,1,0,0
1_57,0,0,0,0,0,0,0,0
1_59,-2,0,0,0,0,0,0,2
1_61,-2,0,0,0,0,0,0,2
1_62,1,0,0,0,0,0,1,0
1_63,-2,0,0,0,0,0,0,2
1_65,1,0,0,0,0,0,1,0
1_66,1,0,0,0,0,1,0,0
1_67,-2,0,0,0,0,0,0,2
1_68,0,0,0,0,0,0,0,0
1_69,1,0,0,0,0,1,0,0
1_71,-2,0,0,0,0,0,0,2
1_72,-2,0,0,0,0,0,0,2
1_73,1,0,0,0,0,0,1,0
1_74,1,0,0,0,0,0,1,0
1_76,-2,0,0,0,0,0,0,2
1_77,-2,0,0,0,0,0,0,2
1_79,1,0,0,0,0,0,1,0
1_81,-1,0,0,0,0,1,0,2
1_82,1,0,0,0,0,1,0,0
1_84,-2,0,0,0,0,0,0,2
1_85,-2,0,0,0,0,0,0,2
1_86,-2,0,0,0,0,0,0,2
1_87,0,0,0,0,0,0,0,0
1_88,1,0,0,0,0,1,0,0
1_89,-2,0,0,0,0,0,0,2
1_90,1,0,0,0,0,0,1,0
1_91,-2,0,0,0,0,0,0,2
1_92,1,0,0,0,0,1,0,0
1_93,-2,0,0,0,0,0,0,2
1_94,1,0,0,0,0,1,0,0
1_95,1,0,0,0,0,0,1,0
1_97,1,0,0,0,0,0,1,0
3_0,-1,0,0,0,0,1,0,2
3_1,0,0,0,0,0,0,0,0
3_2,1,0,0,0,0,0,1,0
3_3,0,0,0,0,0,0,0,0
3_4,1,0,0,0,0,1,0,0
3_10,-2,0,0,0,0,0,0,2
3_11,-2,0,0,0,0,0,0,2
3_12,2,0,0,0,0,1,1,0
3_13,-1,0,0,0,0,1,0,2
3_15,1,0,0,0,0,1,0,0
3_18,-1,0,0,1,0,0,0,2
3_19,-2,0,0,0,0,0,0,2
3_21,1,0,0,0,0,0,1,0
3_22,1,0,0,0,0,1,0,0
3_24,-2,0,0,0,0,0,0,2
3_25,1,0,0,0,0,0,1,0
3_26,-2,0,0,0,0,0,0,2
3_27,0,0,0,0,0,0,0,0
3_28,-2,0,0,0,0,0,0,2
3_30,-2,0,0,0,0,0,0,2
3_32,-2,0,0,0,0,0,0,2
3_33,2,0,0,0,0,1,1,0
3_34,0,0,0,0,0,0,0,0
3_36,-2,0,0,0,0,0,0,2
3_38,-2,0,0,0,0,0,0,2
3_39,-2,0,0,0,0,0,0,2
3_41,0,0,0,0,0,0,0,0
3_43,-2,0,0,0,0,0,0,2
3_44,1,0,0,0,0,1,0,0
3_45,-2,0,0,0,0,0,0,2
3_46,-2,0,0,0,0,0,0,2
3_47,1,0,0,0,0,0,1,0
3_48,-2,0,0,0,0,0,0,2
3_49,0,0,0,0,0,0,0,0
3_51,-2,0,0,0,0,0,0,2
3_53,-2,0,0,0,0,0,0,2
3_55,0,0,0,0,0,0,0,0
3_58,0,0,0,0,0,0,0,0
3_59,-2,0,0,0,0,0,0,2
3_60,0,0,0,0,0,0,0,0
3_61,-1,0,0,0,0,1,0,2
3_62,-2,0,0,0,0,0,0,2
3_63,0,0,0,0,0,0,0,0
3_64,-2,0,0,0,0,0,0,2
3_65,-2,0,0,0,0,0,0,2
3_67,1,0,0,0,0,1,0,0
3_69,-2,0,0,0,0,0,0,2
3_70,-2,0,0,0,0,0,0,2
3_71,-1,0,0,1,0,0,0,2
3_72,-2,0,0,0,0,0,0,2
3_73,0,0,0,0,0,0,0,0
3_74,0,0,0,0,0,0,0,0
3_75,-2,0,0,0,0,0,0,2
3_77,-2,0,0,0,0,0,0,2
3_80,-1,0,0,0,0,0,1,2
3_81,-2,0,0,0,0,0,0,2
3_82,-1,0,0,0,0,1,0,2
3_83,1,0,0,0,0,1,0,0
3_84,-2,0,0,0,0,0,0,2
3_85,1,0,0,0,0,0,1,0
3_89,-2,0,0,0,0,0,0,2
3_90,0,0,0,0,0,0,0,0
3_91,-2,0,0,0,0,0,0,2
3_92,-2,0,0,0,0,0,0,2
3_94,-2,0,0,0,0,0,0,2
3_97,1,0,0,0,0,0,1,0
3_98,-2,0,0,0,0,0,0,2
3_99,1,0,0,0,0,1,0,0
8_4,-2,0,0,0,0,0,0,2
8_6,0,0,0,0,0,0,0,0
8_7,1,0,0,0,0,1,0,0
8_9,1,0,0,0,0,1,0,0
8_10,1,0,0,0,0,0,1,0
8_12,-2,0,0,0,0,0,0,2
8_13,1,0,0,0,0,0,1,0
8_14,1,0,0,0,0,0,1,0
8_15,0,0,0,0,0,0,0,0
8_17,1,0,0,0,0,0,1,0
8_18,2,0,0,0,0,1,1,0
8_19,-2,0,0,0,0,0,0,2
8_20,1,0,0,1,0,0,0,0
8_22,-2,0,0,0,0,0,0,2
8_23,0,0,0,0,0,0,0,0
8_26,-1,0,0,0,0,1,0,2
8_32,-2,0,0,0,0,0,0,2
8_33,1,0,0,0,0,0,1,0
8_35,1,0,0,0,0,0,1,0
8_36,0,0,0,0,0,0,0,0
8_38,-2,0,0,0,0,0,0,2
8_39,-1,0,0,0,0,0,1,2
8_40,1,0,0,0,0,0,1,0
8_41,-2,0,0,0,0,0,0,2
8_42,1,0,0,0,0,1,0,0
8_43,0,0,0,0,0,0,0,0
8_45,1,0,0,0,0,0,1,0
8_48,1,0,0,0,0,0,1,0
8_50,-2,0,0,0,0,0,0,2
8_51,2,0,0,0,0,1,1,0
8_56,1,0,0,0,0,0,1,0
8_57,1,0,0,0,0,0,1,0
8_58,-2,0,0,0,0,0,0,2
8_59,-2,0,0,0,0,0,0,2
8_60,-2,0,0,0,0,0,0,2
8_61,1,0,0,0,0,0,1,0
8_63,1,0,0,0,0,0,1,0
8_64,-2,0,0,0,0,0,0,2
8_68,1,0,0,0,0,1,0,0
8_69,-2,0,0,0,0,0,0,2
8_72,-2,0,0,0,0,0,0,2
8_73,-2,0,0,0,0,0,0,2
8_75,-2,0,0,0,0,0,0,2
8_77,-1,0,0,0,0,0,1,2
8_78,1,0,0,0,0,0,1,0
8_79,1,0,0,0,0,0,1,0
8_81,0,0,0,0,0,0,0,0
8_82,-2,0,0,0,0,0,0,2
8_83,-2,0,0,0,0,0,0,2
8_84,1,0,0,0,0,0,1,0
8_86,-2,0,0,0,0,0,0,2
8_87,-1,0,0,0,0,0,1,2
8_88,2,0,0,0,0,1,1,0
8_89,-2,0,0,0,0,0,0,2
8_90,0,0,0,0,0,0,0,0
8_92,1,0,0,0,0,0,1,0
8_93,-2,0,0,0,0,0,0,2
8_94,0,0,0,0,0,0,0,0
8_95,-2,0,0,0,0,0,0,2
8_97,-2,0,0,0,0,0,0,2
8_99,-2,0,0,0,0,0,0,2
9_0,-2,0,0,0,0,0,0,2
9_1,-1,0,0,0,0,1,0,2
9_4,0,0,0,0,0,0,0,0
9_5,-2,0,0,0,0,0,0,2
9_6,0,0,0,0,0,0,0,0
9_7,2,0,0,0,0,1,1,0
9_8,-1,0,0,0,0,1,0,2
9_9,0,0,0,0,0,0,0,0
9_12,-2,0,0,0,0,0,0,2
9_15,1,0,0,0,0,1,0,0
9_16,0,0,0,0,0,0,0,0
9_19,-2,0,0,0,0,0,0,2
9_21,-2,0,0,0,0,0,0,2
9_24,1,0,0,0,0,1,0,0
9_26,0,0,0,0,0,0,0,0
9_27,-2,0,0,0,0,0,0,2
9_28,-2,0,0,0,0,0,0,2
9_29,-2,0,0,0,0,0,0,2
9_31,1,0,0,0,0,1,0,0
9_32,1,0,0,0,0,0,1,0
9_33,0,0,0,0,0,0,0,0
9_34,-2,0,0,0,0,0,0,2
9_35,1,0,0,0,0,1,0,0
9_37,2,0,0,0,0,1,1,0
9_41,1,0,0,0,0,1,0,0
9_42,-2,0,0,0,0,0,0,2
9_43,0,0,0,0,0,0,0,0
9_44,1,0,0,0,0,1,0,0
9_47,0,0,0,0,0,0,0,0
9_48,1,0,0,0,0,0,1,0
9_49,-2,0,0,0,0,0,0,2
9_50,-1,0,0,0,0,1,0,2
9_51,1,0,0,0,0,1,0,0
9_52,-2,0,0,0,0,0,0,2
9_53,-1,0,0,0,0,1,0,2
9_55,-2,0,0,0,0,0,0,2
9_56,0,0,0,0,0,0,0,0
9_57,-2,0,0,0,0,0,0,2
9_58,-3,0,0,0,0,1,0,4
9_59,-2,0,0,0,0,0,0,2
9_60,-2,0,0,0,0,0,0,2
9_61,1,0,0,0,0,0,1,0
9_62,0,0,0,0,0,0,0,0
9_63,1,0,0,0,0,1,0,0
9_64,1,0,0,0,0,1,0,0
9_65,-2,0,0,0,0,0,0,2
9_67,-2,0,0,0,0,0,0,2
9_68,-2,0,0,0,0,0,0,2
9_69,-1,0,0,0,0,1,0,2
9_72,0,0,0,0,0,0,0,0
9_73,-2,0,0,0,0,0,0,2
9_74,0,0,0,0,0,0,0,0
9_76,-2,0,0,0,0,0,0,2
9_80,0,0,0,0,0,0,0,0
9_81,0,0,0,0,0,0,0,0
9_82,-1,0,0,0,0,1,0,2
9_83,2,0,0,0,0,1,1,0
9_85,-2,0,0,0,0,0,0,2
9_86,0,0,0,0,0,0,0,0
9_87,0,0,0,0,0,0,0,0
9_88,-2,0,0,0,0,0,0,2
9_89,1,0,0,0,0,1,0,0
9_92,-2,0,0,0,0,0,0,2
9_93,-2,0,0,0,0,0,0,2
9_94,3,0,0,0,0,1,2,0
9_95,-2,0,0,0,0,0,0,2
9_99,-2,0,0,0,0,0,0,2
