id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_2,-18,3,8,1,0,1,0,9
0_8,-14,1,6,0,0,2,0,9
0_14,-15,3,8,1,0,2,0,7
0_17,-16,3,9,0,0,3,0,7
0_18,-11,2,6,0,0,3,0,6
0_31,-12,2,7,1,0,2,0,6
0_32,-12,2,6,3,0,2,0,9
0_45,-14,3,9,0,0,2,0,4
0_51,-18,3,8,1,0,1,0,9
0_61,-12,2,6,0,0,2,1,7
0_64,-15,3,7,0,0,2,0,7
0_72,-17,2,8,0,1,1,0,9
0_88,-18,3,9,1,0,1,0,8
0_92,-14,3,9,0,0,2,0,4
0_98,-12,2,7,0,0,4,0,7
1_0,-14,3,7,0,0,3,0,7
1_1,-19,3,9,0,0,3,0,10
1_3,-20,2,8,0,0,1,0,11
1_5,-16,3,8,1,0,3,0,9
1_6,-13,1,6,1,0,2,0,9
1_10,-18,3,9,0,0,1,0,7
1_13,-16,3,8,0,0,1,0,6
1_16,-20,3,9,0,0,1,0,9
1_18,-16,3,9,0,0,2,0,6
1_19,-20,3,9,0,0,1,0,9
1_20,-12,3,8,0,0,2,0,3
1_26,-20,3,9,0,0,1,0,9
1_28,-19,3,9,1,0,1,0,9
1_30,-22,3,8,0,0,2,0,13
1_32,-20,3,8,0,0,1,0,10
1_33,-13,3,8,0,0,5,0,7
1_41,-17,3,8,0,0,3,0,9
1_43,-14,3,8,3,0,1,0,7
1_44,-19,3,8,0,0,1,0,9
1_51,-18,3,8,0,0,2,0,9
1_52,-17,3,8,0,0,1,0,7
1_54,-19,3,7,0,0,1,0,10
1_55,-17,3,8,0,0,1,0,7
1_62,-13,1,7,1,0,2,0,8
1_63,-12,1,6,0,0,2,0,7
1_64,-13,3,8,0,0,2,0,4
1_65,-7,0,4,1,0,3,0,7
1_67,-16,3,9,1,0,1,0,6
1_68,-16,3,8,0,0,4,0,9
1_70,-12,2,8,1,0,1,0,4
1_74,-14,3,9,1,0,1,0,4
1_77,-19,3,9,1,0,1,0,9
1_79,-22,3,8,0,0,1,0,12
1_80,-18,3,8,0,0,3,0,10
1_82,-21,3,8,0,0,1,0,11
1_84,-20,3,9,0,0,1,0,9
1_86,-15,3,9,0,0,1,0,4
1_88,-19,3,8,0,0,1,0,9
1_89,-16,3,9,2,0,3,0,9
1_90,-18,3,8,0,0,1,0,8
1_91,-13,1,7,0,0,2,0,7
1_92,-9,1,6,0,0,3,0,5
1_93,-16,3,8,0,0,4,0,9
1_96,-18,3,9,0,0,2,0,8
1_97,-17,3,8,0,0,3,0,9
1_98,-11,0,4,0,0,2,0,9
1_99,-21,3,9,0,0,1,0,10
2_0,-15,3,8,0,0,2,0,6
2_2,-21,3,11,0,0,2,0,9
2_4,-23,2,11,0,0,2,0,12
2_6,-20,3,10,0,0,2,0,9
2_8,-15,1,6,0,0,2,0,10
2_13,-15,2,9,0,0,2,0,6
2_14,-15,1,7,0,0,2,0,9
2_20,-16,3,9,0,0,2,0,6
2_22,-21,2,10,0,0,2,0,11
2_34,-17,2,11,0,0,2,0,6
2_37,-12,2,6,0,1,3,0,8
2_40,-18,3,9,0,0,3,0,9
2_41,-17,2,7,0,0,2,0,10
2_45,-20,3,10,0,0,2,0,9
2_47,-18,3,9,0,0,3,0,9
2_56,-21,3,11,0,0,2,0,9
2_61,-10,1,4,0,0,3,0,8
2_65,-20,3,10,0,0,2,0,9
2_74,-9,0,5,0,0,2,0,6
2_76,-21,3,11,0,0,2,0,9
2_84,-20,3,10,0,0,2,0,9
2_87,-13,3,8,0,0,2,0,4
3_3,-16,2,8,1,1,3,0,11
3_6,-16,3,9,1,0,1,0,6
3_15,-21,3,9,0,0,1,0,10
3_16,-12,2,6,0,0,3,0,7
3_17,-18,3,11,0,0,2,0,6
3_21,-12,1,6,1,0,4,0,10
3_22,-13,2,6,0,0,2,0,7
3_27,-20,3,11,1,0,2,0,9
3_31,-19,3,9,0,0,2,0,9
3_32,-7,0,4,1,0,3,0,7
3_34,-12,2,6,1,0,2,0,7
3_35,-14,3,8,1,0,4,0,8
3_43,-12,1,6,0,0,2,0,7
3_45,-16,3,9,1,0,1,0,6
3_46,-19,3,9,1,0,1,0,9
3_48,-19,3,9,1,0,1,0,9
3_49,-15,3,8,1,0,1,0,6
3_50,-11,1,7,2,0,2,0,7
3_52,-17,3,9,0,0,1,0,6
3_54,-15,3,9,4,0,1,0,8
3_55,-17,3,8,0,0,1,0,7
3_57,-15,2,9,0,0,2,0,6
3_60,-17,3,9,1,0,3,0,9
3_66,-9,1,5,2,0,2,0,7
3_72,-12,2,6,1,0,2,0,7
3_73,-16,3,9,1,0,1,0,6
3_74,-18,3,7,1,0,2,0,11
3_80,-20,3,9,1,0,2,0,11
3_81,-13,1,5,0,0,2,0,9
3_82,-11,0,6,0,0,2,0,7
3_83,-17,3,8,1,0,1,0,8
3_84,-11,2,6,1,0,2,0,6
3_91,-16,2,6,0,0,1,0,9
3_95,-20,3,11,1,0,2,0,9
3_97,-17,2,9,1,0,2,0,9
3_98,-10,2,5,2,0,2,0,7
3_99,-19,3,9,1,0,1,0,9
