id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,2,0,0,0,2,2,0,2
0_5,2,0,0,1,1,3,0,3
0_6,2,0,0,0,2,2,0,2
0_8,2,0,0,0,2,2,0,2
0_9,3,0,0,2,1,2,0,2
0_11,7,0,0,5,0,3,0,1
0_12,2,0,0,0,2,2,0,2
0_13,2,0,0,0,2,2,0,2
0_21,4,0,0,0,2,2,0,0
0_23,2,0,0,3,1,3,0,5
0_25,-2,0,0,0,2,2,0,6
0_26,1,0,0,1,1,2,0,3
0_27,2,0,0,0,2,2,0,2
0_29,2,0,0,0,2,2,0,2
0_30,0,0,0,3,1,2,0,6
0_31,2,0,0,0,2,2,0,2
0_32,2,0,0,0,2,2,0,2
0_34,2,0,0,0,2,2,0,2
0_36,2,0,0,0,2,2,0,2
0_37,2,0,0,0,2,2,0,2
0_41,0,0,0,0,2,2,0,4
0_45,4,0,0,0,2,2,0,0
0_49,2,0,0,0,2,2,0,2
0_50,2,0,0,0,2,2,0,2
0_51,2,0,0,0,2,2,0,2
0_52,2,0,0,0,2,2,0,2
0_54,2,0,0,0,2,2,0,2
0_55,2,0,0,0,2,2,0,2
0_56,1,0,0,1,1,2,0,3
0_57,4,0,0,4,1,1,0,2
0_58,3,0,0,3,1,2,0,3
0_60,2,0,0,0,2,2,0,2
0_61,2,0,0,0,2,2,0,2
0_63,2,0,0,0,2,2,0,2
0_64,3,0,0,0,2,3,0,2
0_68,0,0,0,0,2,2,0,4
0_70,4,0,0,4,1,1,0,2
0_71,4,0,0,4,1,1,0,2
0_72,2,0,0,1,2,1,0,2
0_73,2,0,0,0,2,2,0,2
0_76,0,0,0,1,2,1,0,4
0_81,2,0,0,0,2,2,0,2
0_83,3,0,0,5,0,1,0,3
0_84,4,0,0,4,1,1,0,2
0_85,4,0,0,0,2,2,0,0
0_86,2,0,0,0,2,2,0,2
0_88,2,0,0,0,2,2,0,2
0_89,4,0,0,0,2,2,0,0
0_90,5,0,0,0,2,3,0,0
0_91,4,0,0,0,2,2,0,0
0_93,2,0,0,0,2,2,0,2
0_94,-1,0,0,0,2,2,0,5
