id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,-2,0,2,0,1,3,0,4
0_2,-1,0,2,2,0,2,0,3
0_3,-7,0,2,0,0,2,0,7
0_5,-3,1,2,0,0,1,0,1
0_9,-3,0,2,0,0,2,0,3
0_13,-5,0,2,0,0,1,0,4
0_14,-1,0,2,0,2,1,0,2
0_17,-6,0,2,0,0,2,0,6
0_21,-3,0,2,0,1,2,0,4
0_24,-5,0,2,0,0,2,0,5
0_26,-2,0,2,0,2,1,0,3
0_28,-5,0,2,0,0,2,0,5
0_30,-6,0,2,0,0,1,0,5
0_34,-6,0,2,0,0,1,0,5
0_37,-6,0,2,0,0,1,0,5
0_39,-7,0,2,0,0,1,0,6
0_40,-7,0,2,0,0,1,0,6
0_42,-2,0,1,0,2,3,0,6
0_45,-4,0,2,0,0,1,0,3
0_46,-1,0,2,0,2,1,0,2
0_50,-1,0,2,0,2,1,0,2
0_51,-4,0,2,0,1,1,0,4
0_52,-2,0,2,0,0,3,0,3
0_56,-5,0,2,0,0,2,0,5
0_61,-5,0,2,0,0,2,0,5
0_62,-5,0,2,0,0,2,0,5
0_69,-9,0,2,0,0,1,0,8
0_74,-3,0,2,0,0,3,0,4
0_77,0,0,2,0,2,2,0,2
0_79,-4,0,2,0,0,2,0,4
0_81,-5,0,2,0,1,1,0,5
0_85,-1,0,2,0,0,4,0,3
0_88,-1,0,2,0,2,1,0,2
0_91,0,0,2,0,1,4,0,3
0_92,-2,0,2,0,2,2,0,4
0_93,-1,0,2,0,0,2,0,1
0_94,-7,0,2,0,0,1,0,6
0_97,-4,0,2,0,0,1,0,3
0_98,-9,0,2,0,0,1,0,8
0_99,-4,0,1,0,1,1,0,5
1_2,-5,0,2,0,0,2,0,5
1_12,0,0,2,0,2,1,0,1
1_15,-6,0,2,0,0,1,0,5
1_23,-4,0,2,0,0,3,0,5
1_24,-3,0,2,0,2,1,0,4
1_27,-5,0,5,1,2,2,0,5
