id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,2,0,0,1,0,2,0,1
10_2,3,0,0,0,0,3,0,0
10_6,2,0,0,1,0,1,0,0
10_9,3,0,0,1,0,2,0,0
10_10,3,0,0,1,0,2,0,0
10_11,2,0,0,1,0,1,0,0
10_13,2,0,0,1,0,1,0,0
10_14,2,0,0,1,0,1,0,0
10_15,3,0,0,1,0,2,0,0
10_17,2,0,0,1,0,2,0,1
10_18,3,0,0,1,0,2,0,0
10_20,1,0,0,1,0,3,0,3
10_22,2,0,0,1,0,2,0,1
10_23,4,0,0,2,0,2,0,0
10_28,3,0,0,1,0,2,0,0
10_29,3,0,0,1,0,2,0,0
10_30,0,0,0,1,0,1,0,2
10_33,1,0,0,0,1,2,0,2
10_38,1,0,0,0,0,3,0,2
10_39,1,0,0,0,0,1,0,0
10_43,2,0,0,1,0,2,0,1
10_44,0,0,0,0,0,2,0,2
10_48,3,0,0,1,0,2,0,0
10_50,3,0,0,1,0,2,0,0
10_51,2,0,0,1,0,1,0,0
10_55,0,0,0,1,0,2,0,3
10_61,3,0,0,0,0,3,0,0
10_63,1,0,0,1,0,2,0,2
10_65,2,0,0,1,0,2,0,1
10_66,2,0,0,0,0,2,0,0
10_69,3,0,0,0,1,2,0,0
10_76,0,0,0,0,0,1,0,1
10_77,3,0,0,2,0,2,0,1
10_78,3,0,0,1,0,2,0,0
10_79,3,0,0,2,0,3,0,2
10_83,0,0,0,0,0,2,0,2
10_85,3,0,0,1,0,2,0,0
10_88,2,0,0,1,0,2,0,1
10_91,2,0,0,0,0,2,0,0
10_95,3,0,0,1,0,2,0,0
10_96,-1,0,0,0,0,1,0,2
1_0,3,0,0,2,0,2,0,1
1_1,2,0,0,0,0,2,0,0
1_3,2,0,0,2,0,1,0,1
1_4,3,0,0,1,0,2,0,0
1_5,1,0,0,1,0,2,0,2
1_6,3,0,0,2,0,1,0,0
1_7,2,0,0,1,0,1,0,0
1_8,1,0,0,0,0,2,0,1
1_11,2,0,0,2,0,1,0,1
1_14,2,0,0,0,0,2,0,0
1_16,1,0,0,1,0,1,0,1
1_18,1,0,0,1,0,1,0,1
1_21,1,0,0,1,0,1,0,1
1_25,3,0,0,2,0,2,0,1
1_26,1,0,0,1,0,1,0,1
1_28,0,0,0,1,0,1,0,2
1_31,3,0,0,1,0,2,0,0
1_33,3,0,0,2,0,2,0,1
1_34,2,0,0,1,0,1,0,0
1_35,4,0,0,2,0,2,0,0
1_36,4,0,0,2,0,2,0,0
1_37,2,0,0,1,0,2,0,1
1_38,3,0,0,1,0,2,0,0
1_40,4,0,0,1,0,3,0,0
1_42,3,0,0,1,0,2,0,0
1_43,1,0,0,0,0,1,0,0
1_44,2,0,0,1,0,1,0,0
1_46,2,0,0,1,0,1,0,0
1_48,3,0,0,2,0,2,0,1
1_49,4,0,0,2,0,2,0,0
1_51,1,0,0,1,0,1,0,1
1_53,3,0,0,2,0,1,0,0
1_54,2,0,0,1,0,1,0,0
1_55,1,0,0,0,0,1,0,0
1_56,0,0,0,1,0,1,0,2
1_58,3,0,0,2,0,1,0,0
1_59,2,0,0,1,0,1,0,0
1_64,2,0,0,1,0,1,0,0
1_68,2,0,0,1,0,1,0,0
1_69,0,0,0,1,0,2,0,3
1_70,1,0,0,2,0,1,0,2
1_71,1,0,0,0,0,1,0,0
1_72,4,0,0,1,0,3,0,0
1_73,0,0,0,1,0,1,0,2
