id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,-4,0,1,0,1,1,0,5
0_2,-1,0,1,0,1,2,0,3
0_3,0,0,1,1,1,2,0,3
0_4,-1,0,1,0,1,2,0,3
0_6,0,0,1,1,1,2,0,3
0_8,0,0,1,2,0,2,0,3
0_9,-1,0,1,0,1,2,0,3
0_12,0,0,1,2,0,2,0,3
0_14,0,0,1,1,1,2,0,3
0_15,0,0,1,2,0,2,0,3
0_17,0,0,1,1,1,2,0,3
0_19,0,0,1,2,0,2,0,3
0_21,0,0,1,1,1,2,0,3
0_22,0,0,1,1,1,2,0,3
0_23,-1,0,2,1,1,2,0,3
0_24,0,0,1,1,1,2,0,3
0_25,0,0,1,1,1,2,0,3
0_33,0,0,1,1,1,2,0,3
0_36,0,0,1,2,0,2,0,3
0_37,0,0,1,1,1,2,0,3
0_40,0,0,1,2,0,2,0,3
0_41,0,0,1,1,1,2,0,3
0_42,-1,0,1,0,1,2,0,3
0_44,0,0,1,2,0,2,0,3
0_45,0,0,1,2,0,2,0,3
0_47,-1,0,1,0,1,2,0,3
0_49,0,0,1,2,0,2,0,3
0_50,-3,0,1,2,0,1,0,5
0_52,0,0,1,1,1,2,0,3
0_54,0,0,1,1,1,2,0,3
0_55,0,0,1,2,0,2,0,3
0_56,-4,0,1,0,1,1,0,5
0_57,0,0,1,1,1,2,0,3
0_60,0,0,1,2,0,2,0,3
0_61,0,0,1,2,0,2,0,3
0_62,0,0,1,2,0,2,0,3
0_66,0,0,1,1,1,2,0,3
0_67,-1,0,1,0,1,2,0,3
0_68,0,0,1,2,0,2,0,3
0_69,0,0,1,2,0,2,0,3
0_70,-1,0,1,0,1,2,0,3
0_72,0,0,1,1,1,2,0,3
0_75,0,0,1,1,1,2,0,3
0_77,-1,0,1,0,1,2,0,3
0_78,0,0,1,1,1,2,0,3
0_79,-1,0,1,0,1,2,0,3
0_80,0,0,1,2,0,2,0,3
0_83,0,0,1,2,0,2,0,3
0_86,-1,0,1,0,1,2,0,3
0_90,0,0,1,2,0,2,0,3
0_91,0,0,1,2,0,2,0,3
0_92,0,0,1,1,1,2,0,3
0_97,0,0,1,1,1,2,0,3
0_98,0,0,1,2,0,2,0,3
0_99,0,0,1,1,1,2,0,3
