id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,2,0,0,0,1,1,0,0
0_1,3,0,0,1,1,1,0,0
0_2,3,0,0,1,1,1,0,0
0_3,3,0,0,1,1,1,0,0
0_5,3,0,0,0,2,1,0,0
0_8,4,0,0,1,2,1,0,0
0_10,3,0,0,1,2,0,0,0
0_12,4,0,0,3,0,1,0,0
0_13,2,0,0,0,1,1,0,0
0_14,3,0,0,0,2,1,0,0
0_15,4,0,0,3,0,1,0,0
0_16,2,0,0,0,2,0,0,0
0_17,3,0,0,1,1,1,0,0
0_18,2,0,0,0,1,1,0,0
0_20,3,0,0,0,2,1,0,0
0_21,3,0,0,0,2,1,0,0
0_23,4,0,0,0,2,1,1,0
0_24,4,0,0,2,1,1,0,0
0_29,1,0,0,0,0,1,0,0
0_32,3,0,0,0,2,1,0,0
0_33,3,0,0,1,0,1,1,0
0_34,2,0,0,0,2,0,0,0
0_39,3,0,0,0,2,1,0,0
0_41,3,0,0,0,2,1,0,0
0_43,3,0,0,1,1,1,0,0
0_44,3,0,0,0,2,1,0,0
0_45,3,0,0,0,2,1,0,0
0_46,4,0,0,0,2,0,2,0
0_47,0,0,0,0,0,0,0,0
0_48,2,0,0,0,1,1,0,0
0_49,3,0,0,0,2,1,0,0
0_52,1,0,0,0,0,1,0,0
0_53,3,0,0,1,1,1,0,0
0_54,0,0,0,0,0,0,0,0
0_55,2,0,0,0,1,1,0,0
0_56,4,0,0,3,0,1,0,0
0_57,3,0,0,1,1,1,0,0
0_58,2,0,0,0,2,0,0,0
0_59,3,0,0,1,1,1,0,0
0_60,3,0,0,0,2,1,0,0
0_61,3,0,0,1,1,1,0,0
0_62,0,0,0,0,0,0,0,0
0_64,3,0,0,0,2,1,0,0
0_65,3,0,0,1,1,1,0,0
0_66,3,0,0,0,2,1,0,0
0_68,2,0,0,0,1,1,0,0
0_69,5,0,0,4,0,1,0,0
0_70,3,0,0,1,1,1,0,0
0_71,2,0,0,0,1,1,0,0
0_75,2,0,0,0,1,1,0,0
0_76,2,0,0,0,1,1,0,0
0_77,4,0,0,1,0,2,1,0
0_79,2,0,0,0,1,1,0,0
0_83,4,0,0,3,0,1,0,0
0_84,4,0,0,1,2,1,0,0
0_85,3,0,0,0,2,1,0,0
0_88,3,0,0,1,1,1,0,0
0_90,3,0,0,0,2,1,0,0
0_91,3,0,0,1,1,1,0,0
0_92,3,0,0,1,1,1,0,0
0_93,4,0,0,0,2,0,2,0
0_95,2,0,0,0,2,0,0,0
0_96,3,0,0,0,2,1,0,0
0_97,3,0,0,1,1,1,0,0
1_0,0,0,0,0,0,0,0,0
1_1,0,0,0,0,0,0,0,0
1_2,0,0,0,0,0,0,0,0
1_3,0,0,0,0,0,0,0,0
1_4,0,0,0,0,0,0,0,0
1_5,0,0,0,0,0,0,0,0
1_6,0,0,0,0,0,0,0,0
1_7,2,0,0,0,1,0,1,0
1_8,0,0,0,0,0,0,0,0
1_9,0,0,0,0,0,0,0,0
1_10,0,0,0,0,0,0,0,0
1_11,0,0,0,0,0,0,0,0
1_12,0,0,0,0,0,0,0,0
1_13,2,0,0,0,2,0,0,0
1_14,1,0,0,0,1,0,0,0
1_15,0,0,0,0,0,0,0,0
1_16,0,0,0,0,0,0,0,0
1_17,0,0,0,0,0,0,0,0
1_18,0,0,0,0,0,0,0,0
1_20,0,0,0,0,0,0,0,0
1_22,2,0,0,0,2,0,0,0
1_23,0,0,0,0,0,0,0,0
1_24,0,0,0,0,0,0,0,0
1_25,0,0,0,0,0,0,0,0
