id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,-1,0,2,0,0,2,0,1
0_3,-1,0,2,0,0,2,0,1
0_4,-2,0,2,0,0,1,0,1
0_5,-1,0,2,0,0,2,0,1
0_8,-2,0,2,0,0,1,0,1
0_9,-1,0,2,0,0,2,0,1
0_10,-2,0,2,0,0,1,0,1
0_15,-6,0,2,0,0,1,0,5
0_17,-1,0,2,0,0,2,0,1
0_18,1,0,0,0,0,2,0,1
0_21,-1,0,2,0,0,2,0,1
0_22,0,0,2,1,0,2,0,1
0_24,-1,0,2,0,0,2,0,1
0_25,-1,0,2,0,0,2,0,1
0_26,-2,0,2,0,0,1,2,3
0_27,-2,0,2,0,0,1,0,1
0_28,-1,0,2,0,0,2,0,1
0_31,-1,0,2,0,0,2,0,1
0_32,-1,0,2,0,0,2,0,1
0_34,-1,0,2,0,0,2,0,1
0_35,-3,0,2,0,0,2,0,3
0_36,-1,0,2,0,0,2,0,1
0_37,-1,0,2,0,0,2,0,1
0_39,-4,0,2,0,0,1,0,3
0_40,-1,0,2,0,0,2,0,1
0_41,1,0,0,0,0,2,0,1
0_42,1,0,0,0,0,2,0,1
0_43,-1,0,2,0,0,2,0,1
0_44,0,0,2,0,0,3,0,1
0_46,-2,0,2,0,0,1,0,1
0_47,1,0,2,0,0,2,2,1
0_48,-1,0,2,0,0,2,0,1
0_49,-2,0,2,0,0,2,0,2
0_50,-2,0,2,0,0,1,0,1
0_53,-1,0,2,0,0,2,0,1
0_54,-3,0,2,0,0,2,0,3
0_55,1,0,0,0,0,2,0,1
0_58,1,0,0,0,0,2,0,1
0_59,1,0,0,0,0,2,0,1
0_60,-2,0,2,0,0,1,0,1
0_61,-2,0,2,0,0,1,0,1
0_63,0,0,0,1,0,3,0,4
0_64,-2,0,2,0,0,1,0,1
0_65,2,0,0,0,0,3,0,1
0_66,-2,0,2,0,0,1,0,1
0_67,-1,0,2,0,0,2,0,1
0_68,-2,0,2,0,0,1,0,1
0_69,1,0,0,0,0,2,0,1
0_71,-2,0,2,0,0,1,0,1
0_73,-1,0,2,0,0,2,0,1
0_75,-1,0,2,0,0,2,0,1
0_76,-1,0,2,0,0,2,0,1
0_77,-2,0,2,0,0,1,0,1
0_79,-1,0,2,0,0,2,0,1
0_82,-2,0,2,0,0,1,0,1
0_84,-2,0,2,0,0,1,0,1
0_85,-1,0,2,0,0,2,0,1
0_87,0,0,0,0,0,1,0,1
