id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,-2,0,8,2,2,4,0,2
0_2,-2,0,8,2,2,4,0,2
0_3,1,0,8,2,3,4,0,0
0_4,-2,0,8,2,2,4,0,2
0_7,-2,0,8,2,2,4,0,2
0_9,-4,0,8,2,2,4,0,4
0_10,-2,0,8,2,2,4,0,2
0_11,-2,0,8,1,3,4,0,2
0_14,-6,0,8,2,2,4,0,6
0_17,-6,0,8,2,2,4,0,6
0_20,-2,0,8,2,2,4,0,2
0_22,-2,0,8,2,2,4,0,2
0_23,-4,0,8,2,2,4,0,4
0_24,-2,0,8,2,2,4,0,2
0_25,-3,0,8,4,1,4,0,4
0_26,-2,0,8,2,2,4,0,2
0_27,-2,0,8,2,2,4,0,2
0_30,-5,0,8,4,2,3,0,6
0_31,-4,0,8,2,2,4,0,4
0_32,-5,0,8,2,3,2,0,4
0_35,0,0,6,2,2,4,0,2
0_36,-2,0,8,2,2,4,0,2
0_37,-2,0,8,2,2,4,0,2
0_41,-5,0,7,3,2,3,0,6
0_43,-2,0,8,2,2,4,0,2
0_47,-6,0,8,2,2,4,0,6
0_49,-2,0,8,2,2,4,0,2
0_51,-2,0,8,2,2,4,0,2
0_52,-2,0,8,2,2,4,0,2
0_58,-6,0,8,2,2,4,0,6
0_59,-6,0,8,2,2,4,0,6
0_60,-2,0,8,2,2,4,0,2
0_64,-4,0,6,3,2,3,0,6
0_65,-2,0,8,2,2,4,0,2
0_66,-3,0,8,2,2,3,0,2
0_67,-2,0,8,1,3,4,0,2
0_69,-2,0,8,2,2,4,0,2
0_71,-2,0,8,2,2,4,0,2
0_75,-4,0,8,2,2,4,0,4
0_77,-7,0,8,2,2,3,0,6
0_78,-2,0,8,2,2,4,0,2
0_79,-4,0,8,2,2,4,0,4
0_80,-4,0,8,2,2,4,0,4
0_83,-4,0,8,2,2,4,0,4
0_88,0,0,8,2,2,4,0,0
0_89,-2,0,8,2,2,4,0,2
0_91,-2,0,8,2,2,4,0,2
0_94,-2,0,8,2,2,4,0,2
0_95,-2,0,8,2,2,4,0,2
0_96,-1,0,7,3,2,3,0,2
0_99,-4,0,8,2,2,4,0,4
