id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,-10,3,4,2,0,1,0,6
0_9,-9,1,2,0,0,1,0,7
0_13,-6,2,1,2,0,1,0,6
0_14,-8,1,1,0,0,2,0,8
0_16,-7,1,3,0,0,2,0,5
0_20,-6,2,1,4,0,1,0,8
0_21,-3,0,3,1,2,1,0,4
0_23,-7,1,2,0,0,1,0,5
0_25,-5,2,1,0,0,2,0,4
0_27,-7,0,0,1,1,1,0,10
0_28,-12,1,2,1,0,1,0,11
0_33,-5,1,2,0,1,1,0,4
0_40,-7,2,5,5,0,1,0,6
0_44,-6,1,2,1,1,1,0,6
0_52,-9,2,3,2,0,0,0,6
0_54,-1,0,1,1,2,1,0,4
0_65,-6,2,1,2,0,1,0,6
0_73,-2,0,1,3,1,1,0,6
0_75,-6,2,3,2,0,1,0,4
0_82,-4,0,2,1,2,1,0,6
0_84,-5,1,0,0,0,2,0,6
0_85,-6,0,1,0,0,1,0,6
0_95,-7,1,0,0,0,2,0,8
