id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,-6,3,5,1,1,2,0,2
10_1,-3,3,5,1,3,4,0,3
10_5,-8,3,5,1,1,2,0,4
10_6,-6,3,5,1,1,2,0,2
10_7,-6,3,5,1,1,2,0,2
10_8,0,3,5,1,3,6,0,2
10_9,-1,3,3,1,1,4,0,1
10_12,-7,3,5,1,1,1,0,2
10_16,-7,3,5,1,1,1,0,2
10_17,-7,3,5,1,1,1,0,2
10_19,-6,3,5,1,1,1,0,1
10_23,-1,1,4,1,1,3,0,1
10_24,-7,3,5,1,1,1,0,2
10_27,-6,3,5,1,1,1,0,1
10_28,-7,3,5,1,1,1,0,2
10_34,0,1,4,1,1,4,0,1
10_36,-7,3,5,1,1,1,0,2
10_38,-6,3,5,1,1,1,0,1
10_39,-2,3,3,1,1,4,0,2
10_40,-3,2,5,1,3,2,0,2
10_41,-6,3,5,1,1,2,0,2
10_43,-6,3,5,1,1,1,0,1
10_44,-3,3,5,1,1,4,0,1
10_45,-6,3,5,1,1,1,0,1
10_46,-8,3,5,1,1,4,0,6
10_47,-6,3,5,1,1,1,0,1
10_49,-6,3,5,1,1,2,0,2
10_51,-6,3,5,1,1,2,0,2
10_53,-6,3,5,1,1,2,0,2
10_54,-6,3,5,1,1,1,0,1
10_56,-8,2,9,2,1,2,0,2
10_57,0,0,3,1,3,3,0,4
10_59,-7,3,5,1,1,1,0,2
10_60,-12,3,5,1,1,4,0,10
10_62,-2,3,3,1,1,3,0,1
10_66,-6,3,5,1,1,1,0,1
10_67,1,0,4,1,3,2,0,1
10_69,-6,3,5,1,1,2,0,2
10_70,-4,3,4,1,1,3,0,2
10_71,-6,3,5,1,1,1,0,1
10_74,-3,3,5,1,1,5,0,2
10_75,-9,3,5,1,1,1,0,4
10_77,-2,0,5,1,3,1,0,2
10_78,-6,3,5,1,1,2,0,2
10_83,-6,3,5,1,1,2,0,2
10_84,-2,1,5,1,1,3,0,1
10_85,-1,5,2,1,1,5,0,1
10_86,-6,3,5,1,1,1,0,1
10_90,-4,3,5,1,1,4,0,2
10_93,-6,3,5,1,1,2,0,2
10_94,-7,3,5,1,1,1,0,2
10_95,-6,3,5,1,1,1,0,1
