id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_7,3,0,0,1,0,1,1,0
10_8,2,0,0,0,0,1,1,0
10_16,2,0,0,0,1,1,0,0
10_17,3,0,0,0,0,2,1,0
10_18,-3,0,2,0,0,1,0,2
10_19,3,0,0,0,0,1,2,0
10_21,2,0,0,0,1,1,0,0
10_23,2,0,0,0,1,1,0,0
10_25,2,0,0,0,1,1,0,0
10_26,2,0,0,0,1,1,0,0
10_28,-3,0,2,0,0,1,0,2
10_29,2,0,0,0,1,1,0,0
10_30,4,0,0,1,0,2,1,0
10_31,4,0,0,0,0,2,2,0
10_32,1,0,0,0,0,1,0,0
10_33,5,0,0,3,1,1,0,0
10_34,0,0,2,0,0,1,1,0
10_37,3,0,0,0,0,1,2,0
10_38,2,0,0,0,1,1,0,0
10_40,2,0,0,0,1,1,0,0
10_42,2,0,0,0,1,1,0,0
10_43,2,0,0,0,1,1,0,0
10_44,3,0,0,1,0,1,1,0
10_45,-5,0,4,0,0,1,0,2
10_46,0,0,2,0,1,1,0,0
10_47,-3,0,2,0,0,1,0,2
10_50,3,0,0,0,0,1,2,0
10_51,2,0,0,0,1,1,0,0
10_53,-5,0,4,0,0,1,0,2
10_54,-3,0,4,0,0,1,0,0
10_55,-3,0,2,0,0,1,0,2
10_56,2,0,0,0,1,1,0,0
10_57,0,0,2,0,0,1,1,0
10_58,5,0,0,0,0,1,4,0
10_59,2,0,0,0,1,1,0,0
10_63,1,0,2,0,0,2,1,0
10_64,1,0,0,0,0,1,0,0
10_65,-5,0,4,0,0,2,0,3
10_66,2,0,0,0,1,1,0,0
10_69,2,0,0,0,0,1,1,0
10_70,0,0,0,0,1,1,0,2
10_71,1,0,0,0,1,0,0,0
10_72,-3,0,2,0,0,1,0,2
10_73,-3,0,2,0,0,1,0,2
10_74,1,0,0,0,1,0,0,0
10_77,0,0,2,0,0,1,1,0
10_79,2,0,0,0,0,2,0,0
10_81,2,0,2,2,1,1,0,0
10_83,3,0,0,0,0,1,2,0
10_84,2,0,0,0,0,1,1,0
10_85,0,0,2,0,1,1,0,0
10_86,2,0,0,0,1,1,0,0
10_87,-3,0,2,0,0,1,0,2
10_88,-3,0,2,0,0,1,0,2
10_92,2,0,0,0,1,1,0,0
10_94,-5,0,4,0,0,1,0,2
10_95,-3,0,2,0,0,1,0,2
10_96,0,0,2,0,0,1,1,0
10_98,2,0,0,0,1,1,0,0
