id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,3,0,0,0,2,2,0,1
0_3,0,1,1,0,2,2,0,2
0_6,3,0,0,0,1,2,1,1
0_7,-2,0,1,0,1,2,0,4
0_8,-5,0,1,0,1,1,0,6
0_9,-5,0,1,0,1,1,0,6
0_12,1,0,1,0,2,1,0,1
0_15,-2,0,1,0,1,2,0,4
0_16,-3,0,2,0,1,2,0,4
0_19,-5,0,1,0,1,1,0,6
0_25,0,0,0,0,1,2,0,3
0_26,-6,0,1,0,1,2,0,8
0_27,1,0,1,0,2,1,0,1
0_28,-2,0,2,0,1,2,0,3
0_29,-4,0,1,0,1,1,0,5
0_30,-1,0,1,0,1,2,0,3
0_31,-6,0,1,0,1,2,0,8
0_35,-2,0,1,0,1,2,0,4
0_36,-2,0,1,0,2,1,0,4
0_37,0,0,0,0,2,1,0,3
0_38,-4,0,1,0,1,2,0,6
0_41,-1,0,2,0,1,2,0,2
0_43,1,0,0,0,2,2,0,3
0_44,3,0,0,0,2,2,0,1
0_46,3,0,0,3,0,3,0,3
0_48,3,0,0,0,1,2,1,1
0_50,5,0,0,1,1,4,0,1
0_52,2,0,0,0,2,1,0,1
0_53,1,0,1,0,2,2,0,2
0_57,-2,0,1,0,1,2,0,4
0_58,-1,0,1,0,1,3,0,4
0_59,6,0,0,2,2,3,0,1
0_61,-5,0,2,0,1,1,0,5
0_63,-5,0,1,0,1,1,0,6
0_65,-2,0,1,0,1,2,0,4
0_68,5,0,0,0,2,3,1,1
0_69,-2,0,1,0,1,2,0,4
0_70,1,0,1,0,2,2,0,2
0_71,0,0,0,0,1,1,1,3
0_73,-2,0,1,0,1,2,0,4
0_74,-5,0,2,0,1,1,0,5
0_79,0,0,1,0,2,1,0,2
0_80,0,0,1,0,2,1,0,2
0_83,-1,0,1,0,1,3,0,4
0_85,4,1,0,0,2,3,0,0
0_86,-5,0,1,0,1,1,0,6
0_88,-4,0,1,0,2,1,0,6
0_89,3,0,0,0,2,4,0,3
0_90,7,1,0,0,3,5,0,0
0_91,-1,0,1,0,1,3,0,4
0_95,-3,0,0,0,1,1,0,5
0_96,1,1,0,0,2,1,0,1
0_97,-1,0,0,2,0,2,2,7
0_98,-3,0,1,0,1,2,0,5
0_99,3,0,0,0,2,2,0,1
1_1,-2,0,1,0,1,2,0,4
1_3,-4,0,1,0,1,1,0,5
1_5,-4,0,1,0,1,2,0,6
1_6,-2,0,1,0,1,2,0,4
1_8,-5,0,1,0,1,1,0,6
1_10,4,0,0,0,2,3,0,1
