id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_6,-2,0,2,0,0,1,0,1
0_9,-3,0,2,0,0,1,0,2
0_13,-3,0,2,0,0,1,0,2
0_15,-2,0,2,0,0,2,0,2
0_18,-3,0,2,0,0,1,0,2
0_19,0,0,2,0,0,3,0,1
0_20,-1,0,2,0,0,1,0,0
0_21,-1,0,2,0,0,1,0,0
0_22,-3,0,2,0,0,1,0,2
0_23,-3,0,2,0,0,1,0,2
0_24,-3,0,2,0,0,1,0,2
1_1,-2,0,2,0,0,1,0,1
1_5,-2,0,2,0,0,1,0,1
1_6,-2,0,2,0,0,1,0,1
1_7,-1,0,2,0,0,1,0,0
1_8,-2,0,2,0,0,1,0,1
1_11,-2,0,2,0,0,1,0,1
1_12,-2,0,2,0,0,1,0,1
1_13,-2,0,2,0,0,1,0,1
1_17,-2,0,2,0,0,1,0,1
1_19,-2,0,2,0,0,1,0,1
1_20,-2,0,2,0,0,1,0,1
