id,heuristic,mutation,indexing,hof,for_hof,helpers
0_0,7,0,1,6,0,2
0_1,3,0,1,0,3,1
0_3,5,0,1,3,1,2
0_4,3,0,1,3,0,1
0_5,-1,0,5,0,3,1
0_7,-1,0,3,0,2,0
0_8,1,0,1,0,2,0
0_9,1,0,3,2,2,0
0_11,3,0,1,2,1,1
0_12,-1,0,3,0,2,0
0_13,5,0,1,6,0,0
0_14,-1,0,3,0,2,0
0_15,5,0,1,4,0,2
0_16,4,0,1,3,0,2
0_17,-3,0,5,0,2,0
0_18,-1,0,3,0,2,0
0_19,1,1,1,1,0,2
0_20,4,0,1,3,0,2
0_21,3,0,1,2,0,2
0_23,4,0,1,3,0,2
0_24,3,0,1,0,2,2
1_1,1,0,3,2,1,1
1_2,-2,0,7,0,3,2
1_5,-2,0,7,0,3,2
1_6,-3,0,7,0,2,2
1_9,-3,0,5,0,2,0
1_11,-8,0,11,0,1,2
1_12,3,0,3,4,1,1
1_13,4,0,5,8,0,1
1_15,-1,0,7,4,0,2
1_17,-3,0,5,0,2,0
1_19,-1,1,2,0,1,1
1_21,-4,1,7,0,2,2
1_22,-3,0,5,0,2,0
1_23,0,0,7,4,3,0
