id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,1,0,0,2,0,2,0,3
0_1,3,0,0,2,0,4,0,3
0_2,-2,0,0,1,0,2,0,5
0_4,-5,0,3,1,0,2,0,5
0_5,-1,0,0,3,0,2,0,6
0_6,-1,0,2,2,1,2,0,4
0_8,1,0,0,1,0,3,0,3
0_13,-1,0,0,0,1,3,0,5
0_14,1,0,0,1,1,4,0,5
0_18,-1,0,3,1,3,2,0,4
0_21,-5,0,4,1,1,1,0,4
0_22,-2,0,0,3,0,1,0,6
0_23,-2,0,0,1,0,2,0,5
1_0,0,0,0,3,0,3,0,6
1_1,0,0,0,2,0,3,0,5
1_5,2,0,0,3,0,4,0,5
1_8,1,0,0,1,1,2,0,3
1_10,2,0,0,4,0,3,0,5
1_12,-1,0,2,3,0,2,0,4
1_13,0,0,0,2,0,3,0,5
1_14,1,0,0,3,0,3,0,5
1_21,2,0,0,3,0,2,0,3
1_23,1,0,0,2,0,4,0,5
2_5,-2,0,0,1,1,1,0,5
2_12,-2,0,1,0,0,2,0,3
2_13,3,0,0,3,0,3,0,3
2_16,-4,0,2,2,0,2,0,6
2_17,4,0,0,4,0,3,0,3
2_20,-2,0,0,1,0,2,0,5
