id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,1,0,0,0,1,2,0,2
0_1,3,0,0,0,1,2,0,0
0_2,4,0,0,0,2,2,0,0
0_4,2,0,0,0,1,1,0,0
0_5,1,0,0,0,1,2,0,2
0_6,4,0,0,0,2,2,0,0
0_7,2,0,0,2,0,3,0,3
0_8,1,0,0,2,0,2,0,3
0_9,1,0,0,0,1,2,0,2
0_10,1,0,0,0,1,2,0,2
0_12,3,0,0,0,2,1,0,0
0_13,1,0,0,1,0,3,0,3
0_14,3,0,0,0,2,1,0,0
0_15,4,0,0,1,1,2,0,0
0_16,5,0,0,0,2,3,0,0
0_17,1,0,0,0,1,2,0,2
0_18,3,0,0,1,1,2,0,1
0_19,4,0,0,2,1,1,0,0
0_20,0,0,0,1,0,2,0,3
0_21,0,0,0,1,0,2,0,3
0_22,1,0,0,0,1,2,0,2
0_23,3,0,0,0,1,2,0,0
0_25,1,0,0,0,1,2,0,2
0_26,0,0,0,0,0,2,0,2
0_30,1,0,0,0,1,2,0,2
0_31,1,0,0,1,0,3,0,3
0_32,4,0,0,0,2,2,0,0
0_33,1,0,0,0,1,2,0,2
0_34,1,0,0,0,1,2,0,2
0_35,0,0,0,1,0,2,0,3
0_36,1,0,0,0,1,2,0,2
0_37,0,0,0,0,0,2,0,2
0_38,1,0,0,0,1,2,0,2
0_39,0,0,0,1,0,2,0,3
0_40,3,0,0,1,1,2,0,1
0_41,1,0,0,0,1,2,0,2
0_43,0,0,0,0,0,2,0,2
0_44,0,0,0,1,0,2,0,3
0_45,1,0,0,0,1,2,0,2
0_46,4,0,0,0,1,3,0,0
0_48,0,0,0,1,0,2,0,3
0_50,2,0,0,1,1,1,0,1
0_51,1,0,0,0,1,2,0,2
0_52,6,0,0,2,1,3,0,0
0_54,1,0,0,0,1,2,0,2
0_55,1,0,0,0,1,2,0,2
0_56,3,0,0,0,2,1,0,0
0_57,4,0,0,0,2,2,0,0
0_58,2,0,0,0,1,3,0,2
0_59,3,0,0,0,2,1,0,0
0_60,3,0,1,1,2,1,0,0
0_62,5,0,0,3,0,2,0,0
0_63,1,0,0,0,1,2,0,2
0_65,2,0,0,0,1,3,0,2
0_67,2,0,0,2,0,3,0,3
0_68,3,0,0,1,1,2,0,1
0_69,1,0,0,0,1,2,0,2
0_70,4,0,0,0,1,3,0,0
0_71,2,0,0,0,1,1,0,0
0_72,0,0,0,0,0,2,0,2
0_73,1,0,0,0,1,2,0,2
0_74,3,0,0,0,2,1,0,0
0_76,3,0,0,2,1,1,0,1
0_77,1,0,0,2,0,2,0,3
0_78,0,0,0,1,0,2,0,3
0_81,1,0,0,0,1,2,0,2
0_82,3,0,0,0,1,4,0,2
0_85,1,0,0,1,0,2,0,2
0_86,1,0,0,0,1,2,0,2
0_87,2,0,0,1,0,3,0,2
0_88,1,0,0,0,1,2,0,2
0_89,1,0,0,0,1,2,0,2
0_90,2,0,0,0,1,3,0,2
0_91,1,0,0,0,1,2,0,2
0_92,0,0,0,0,0,2,0,2
0_93,2,0,0,0,1,3,0,2
0_94,1,0,0,0,1,2,0,2
0_96,2,0,0,0,1,3,0,2
0_97,4,0,0,0,2,2,0,0
0_98,1,0,0,0,1,2,0,2
0_99,1,0,0,0,1,2,0,2
1_0,5,0,0,0,2,3,0,0
1_1,7,0,0,2,1,4,0,0
1_2,6,0,0,0,2,4,0,0
1_4,5,0,0,0,2,3,0,0
1_5,7,0,0,3,0,4,0,0
1_6,6,0,0,0,2,4,0,0
1_7,4,0,0,1,1,2,0,0
1_8,5,0,0,0,2,3,0,0
1_9,7,0,0,3,0,4,0,0
1_10,4,0,0,0,2,2,0,0
1_11,5,0,0,0,2,3,0,0
1_12,5,0,0,0,2,3,0,0
1_13,6,0,0,0,2,4,0,0
1_14,3,0,0,2,1,1,0,1
1_15,6,0,0,0,2,4,0,0
1_16,4,0,0,0,2,2,0,0
