id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_23,1,0,2,0,1,3,0,1
0_28,-4,0,4,0,1,2,0,3
0_51,-2,0,4,0,1,2,0,1
1_5,-4,0,4,0,1,2,0,3
1_7,-1,0,2,0,1,3,0,3
1_18,-2,0,4,0,1,2,0,1
1_24,1,0,2,0,1,3,0,1
1_25,-4,0,4,0,1,2,0,3
1_26,1,0,2,0,1,3,0,1
1_31,-3,0,4,0,1,2,0,2
1_32,-4,0,4,0,1,2,0,3
1_33,-4,0,4,0,1,2,0,3
1_40,-2,0,4,0,1,2,0,1
1_41,-2,0,4,0,1,2,0,1
1_43,-4,0,4,0,1,2,0,3
1_45,-1,0,4,2,0,2,0,1
1_52,-2,0,4,0,1,2,0,1
1_54,-4,0,4,0,1,2,0,3
1_65,-3,0,4,0,1,3,0,3
1_72,-1,0,4,0,0,4,0,1
1_75,-4,0,4,0,1,2,0,3
1_83,-9,0,4,0,0,2,0,7
1_93,-1,0,2,0,1,3,0,3
3_1,-2,0,4,0,1,2,0,1
3_2,-4,0,4,0,1,2,0,3
3_7,-2,0,4,0,1,2,0,1
3_13,-3,0,4,0,1,1,0,1
3_20,-2,0,4,0,1,2,0,1
3_23,-5,0,4,0,1,2,0,4
3_31,-2,0,2,0,0,3,0,3
3_33,-1,0,2,0,1,3,0,3
3_35,-3,0,5,0,0,3,0,1
3_62,-4,0,4,0,1,2,0,3
3_64,-3,0,4,0,0,2,0,1
3_77,-1,0,2,0,1,3,0,3
3_78,-4,0,4,0,1,2,0,3
3_89,-4,0,4,0,1,2,0,3
3_92,-1,0,2,0,1,3,0,3
4_1,1,0,2,0,1,3,0,1
4_9,1,0,2,0,1,3,0,1
4_10,1,0,2,0,1,3,0,1
4_11,1,0,2,0,1,3,0,1
4_14,0,0,2,0,1,3,0,2
4_15,0,0,2,0,0,3,0,1
4_18,1,0,2,0,1,3,0,1
4_20,1,0,2,0,1,3,0,1
4_21,1,0,2,0,1,3,0,1
4_30,1,0,2,0,1,3,0,1
4_32,-2,0,2,0,1,3,0,4
4_35,1,0,2,0,1,3,0,1
4_38,1,0,2,0,1,3,0,1
4_39,1,0,2,0,1,3,0,1
4_48,1,0,2,0,1,3,0,1
4_49,1,0,2,0,1,3,0,1
4_50,1,0,2,0,1,3,0,1
4_58,0,0,2,0,1,2,0,1
4_64,0,0,2,0,1,3,0,2
4_67,1,0,2,0,1,3,0,1
4_71,1,0,2,0,1,3,0,1
4_72,-1,0,2,0,1,3,0,3
4_74,1,0,2,0,1,3,0,1
4_77,0,0,2,0,1,2,0,1
4_80,1,0,2,0,1,3,0,1
4_81,1,0,2,0,1,3,0,1
4_83,-1,0,2,0,0,3,1,3
4_85,1,0,2,0,1,3,0,1
4_89,1,0,2,0,1,3,0,1
4_91,4,0,2,4,0,3,0,1
4_92,-1,0,2,0,0,3,1,3
4_94,1,0,2,0,1,3,0,1
4_95,1,0,2,0,1,3,0,1
6_38,-2,0,4,0,1,2,0,1
6_80,-3,0,4,0,0,2,0,1
6_97,-3,0,4,0,0,2,0,1
