id,heuristic,mutation,indexing,hof,for_hof,helpers
0_1,1,0,1,1,1,0
0_2,-1,0,2,0,1,0
0_3,-1,0,2,0,1,0
0_4,-1,0,2,0,1,0
0_6,0,0,2,0,2,0
0_9,1,0,2,2,1,0
0_13,1,0,1,1,1,0
0_14,0,0,2,1,1,0
0_16,1,0,2,2,1,0
0_18,-1,0,2,0,1,0
0_19,1,0,1,1,1,0
0_20,0,0,2,0,2,0
0_21,0,0,2,0,2,0
0_22,-1,0,2,0,1,0
0_23,0,0,2,1,1,0
1_4,0,0,2,0,2,0
1_6,1,0,2,3,0,0
1_7,0,0,2,0,2,0
1_8,0,0,2,1,1,0
1_9,0,0,2,1,1,0
1_11,0,0,2,0,2,0
1_12,-1,0,3,0,2,0
1_14,0,0,2,1,1,0
1_16,0,0,2,0,2,0
1_17,3,0,1,3,1,0
1_18,-1,0,2,0,1,0
1_19,-1,0,3,0,2,0
1_21,-1,0,2,0,1,0
1_22,0,0,2,1,1,0
1_23,0,0,2,0,2,0
