id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,1,0,0,0,1,0,0,0
10_1,2,0,0,0,1,1,0,0
10_2,1,0,0,0,1,0,0,0
10_3,1,0,0,0,1,0,0,0
10_4,1,0,0,0,1,0,0,0
10_5,2,0,0,0,1,1,0,0
10_6,2,0,0,0,1,1,0,0
10_7,1,0,0,0,1,0,0,0
10_8,2,0,0,0,1,1,0,0
10_9,1,0,0,0,1,0,0,0
10_10,1,0,0,0,1,0,0,0
10_11,-1,0,0,0,1,0,0,2
10_12,3,0,0,0,1,2,0,0
10_13,2,0,0,0,1,1,0,0
10_14,1,0,0,0,1,0,0,0
10_15,1,0,0,0,1,0,0,0
10_16,1,0,0,0,1,0,0,0
10_17,2,0,0,0,1,1,0,0
10_18,2,0,0,0,1,1,0,0
10_19,2,0,0,0,1,1,0,0
10_20,2,0,0,0,1,1,0,0
10_21,1,0,0,1,0,2,0,2
10_22,1,0,0,0,1,0,0,0
10_23,2,0,0,0,1,1,0,0
17_0,1,0,0,0,1,0,0,0
17_1,1,0,0,0,1,0,0,0
17_2,1,0,0,0,1,0,0,0
17_3,2,0,0,0,1,1,0,0
17_4,1,0,0,0,1,0,0,0
17_5,2,0,0,0,1,1,0,0
17_6,1,0,0,0,1,0,0,0
17_7,-1,0,0,0,1,0,0,2
17_8,2,0,0,0,1,1,0,0
17_9,2,0,0,0,1,1,0,0
17_10,1,0,0,0,1,0,0,0
17_11,-1,0,0,0,1,0,0,2
17_12,1,0,0,0,1,0,0,0
17_13,1,0,0,0,1,0,0,0
17_14,2,0,0,0,1,1,0,0
17_15,1,0,0,0,1,0,0,0
17_16,-1,0,0,0,0,1,0,2
17_17,1,0,0,0,1,0,0,0
17_19,1,0,0,0,1,0,0,0
17_20,1,0,0,0,1,0,0,0
17_21,1,0,0,0,1,0,0,0
17_22,1,0,0,0,1,0,0,0
17_23,1,0,0,0,1,0,0,0
17_24,1,0,0,0,1,0,0,0
3_1,2,0,0,0,1,1,0,0
3_2,2,0,0,0,1,1,0,0
3_3,2,0,0,0,1,1,0,0
3_4,-1,0,0,0,1,0,0,2
3_5,1,0,0,0,1,0,0,0
3_7,-1,0,0,0,1,0,0,2
3_8,1,0,0,0,1,0,0,0
3_9,2,0,0,0,1,1,0,0
3_10,2,0,0,0,0,2,0,0
3_11,2,0,0,0,1,1,0,0
3_12,2,0,0,0,1,1,0,0
3_13,2,0,0,0,1,1,0,0
3_14,2,0,0,0,1,1,0,0
3_15,2,0,0,0,1,1,0,0
3_16,2,0,0,0,1,1,0,0
3_17,2,0,0,0,1,1,0,0
3_18,1,0,0,0,1,0,0,0
3_19,2,0,0,0,1,1,0,0
3_20,2,0,0,0,1,1,0,0
3_21,2,0,0,0,1,1,0,0
3_22,2,0,0,0,1,1,0,0
3_24,2,0,0,0,1,1,0,0
8_0,2,0,0,0,0,2,0,0
8_1,2,0,0,0,1,1,0,0
8_2,3,0,0,0,1,2,0,0
8_3,2,0,0,0,1,1,0,0
8_4,2,0,0,0,1,1,0,0
8_5,2,0,0,0,1,1,0,0
8_6,2,0,0,0,1,1,0,0
8_7,2,0,0,0,1,1,0,0
8_8,2,0,0,0,1,1,0,0
8_9,2,0,0,0,1,1,0,0
8_10,2,0,0,0,1,1,0,0
8_11,3,0,0,0,1,2,0,0
8_12,2,0,0,0,1,1,0,0
8_13,2,0,0,0,1,1,0,0
8_14,2,0,0,0,1,1,0,0
8_15,-1,0,0,0,1,0,0,2
8_16,2,0,0,0,1,1,0,0
8_17,2,0,0,0,1,1,0,0
8_18,2,0,0,0,1,1,0,0
8_19,2,0,0,0,1,1,0,0
8_20,2,0,0,0,1,1,0,0
8_21,2,0,0,0,1,1,0,0
8_22,-1,0,0,0,0,1,0,2
8_23,2,0,0,0,1,1,0,0
8_24,2,0,0,0,1,1,0,0
9_0,1,0,0,0,1,0,0,0
9_1,1,0,0,0,1,0,0,0
9_2,2,0,0,0,1,1,0,0
9_3,1,0,0,0,1,0,0,0
9_4,2,0,0,0,1,1,0,0
9_5,2,0,0,0,1,1,0,0
9_6,1,0,0,0,1,0,0,0
9_7,2,0,0,0,1,1,0,0
9_8,2,0,0,0,1,1,0,0
9_9,2,0,0,0,1,1,0,0
9_10,2,0,0,0,1,1,0,0
9_11,2,0,0,0,1,1,0,0
9_12,2,0,0,0,1,1,0,0
9_13,2,0,0,0,1,1,0,0
9_14,2,0,0,0,1,1,0,0
9_15,2,0,0,0,1,1,0,0
9_16,2,0,0,0,1,1,0,0
9_17,2,0,0,0,1,1,0,0
9_18,2,0,0,0,1,1,0,0
9_19,2,0,0,0,0,2,0,0
9_20,2,0,0,0,1,1,0,0
9_21,2,0,0,0,1,1,0,0
9_22,2,0,0,0,1,1,0,0
9_23,2,0,0,0,1,1,0,0
9_24,2,0,0,0,1,1,0,0
