id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,2,0,0,1,0,1,0,0
0_4,2,0,0,0,1,1,0,0
0_7,2,0,0,0,1,1,0,0
0_9,3,0,0,1,0,2,0,0
0_10,4,0,0,0,2,2,0,0
0_12,2,0,0,0,1,1,0,0
0_13,1,0,0,0,0,1,0,0
0_16,6,0,0,2,1,3,0,0
0_19,2,0,0,1,0,1,0,0
0_20,4,0,0,1,1,2,0,0
0_21,3,0,0,1,0,2,0,0
0_24,3,0,0,1,0,2,0,0
0_25,3,0,0,1,0,2,0,0
0_29,3,0,0,0,1,2,0,0
0_31,4,0,0,1,1,2,0,0
0_32,3,0,0,0,1,2,0,0
0_33,2,0,0,0,1,1,0,0
0_35,3,0,0,1,0,2,0,0
0_36,3,0,0,1,0,2,0,0
0_38,2,0,0,1,0,1,0,0
0_40,2,0,0,1,0,1,0,0
0_41,3,0,0,1,0,2,0,0
0_42,2,0,0,0,1,1,0,0
0_44,3,0,0,1,0,2,0,0
0_47,3,0,0,1,0,2,0,0
0_48,3,0,0,1,0,2,0,0
0_49,3,0,0,1,0,2,0,0
0_50,3,0,0,0,1,2,0,0
0_51,2,0,0,0,0,2,0,0
0_55,3,0,0,0,1,2,0,0
0_56,2,0,0,0,1,1,0,0
0_58,2,0,0,0,1,1,0,0
0_59,3,0,0,0,1,2,0,0
0_61,2,0,0,1,0,1,0,0
0_64,5,0,0,2,0,3,0,0
0_65,3,0,0,1,0,2,0,0
0_66,2,0,0,1,0,1,0,0
0_68,3,0,0,0,1,2,0,0
0_74,2,0,0,0,1,1,0,0
0_83,3,0,0,1,0,2,0,0
0_92,3,0,0,0,1,2,0,0
0_96,3,0,0,1,0,2,0,0
0_97,2,0,0,0,0,2,0,0
1_0,7,0,0,5,0,2,0,0
1_1,3,0,0,0,1,2,0,0
1_2,2,0,0,0,1,1,0,0
1_3,3,0,0,1,0,2,0,0
1_4,2,0,0,0,0,2,0,0
1_6,3,0,0,0,1,2,0,0
1_7,2,0,0,0,1,1,0,0
1_8,2,0,0,1,0,1,0,0
1_9,2,0,0,1,0,1,0,0
1_10,2,0,0,1,0,1,0,0
1_11,3,0,0,1,0,2,0,0
1_12,2,0,0,1,0,1,0,0
1_13,3,0,0,0,1,2,0,0
1_14,2,0,0,0,1,1,0,0
1_15,3,0,0,0,1,2,0,0
1_16,3,0,0,0,1,2,0,0
1_18,2,0,0,1,0,1,0,0
1_19,2,0,0,1,0,1,0,0
1_20,2,0,0,1,0,1,0,0
1_21,3,0,0,1,0,2,0,0
1_22,3,0,0,0,1,2,0,0
1_23,3,0,0,1,0,2,0,0
1_25,2,0,0,1,0,1,0,0
1_26,3,0,0,1,0,2,0,0
1_27,3,0,0,1,0,2,0,0
1_28,2,0,0,0,1,1,0,0
1_29,3,0,0,0,1,2,0,0
1_31,2,0,0,1,0,1,0,0
1_33,3,0,0,1,0,2,0,0
1_34,2,0,0,1,0,1,0,0
1_35,3,0,0,1,0,2,0,0
1_36,2,0,0,1,0,1,0,0
1_37,3,0,0,0,1,2,0,0
1_38,2,0,0,1,0,1,0,0
1_40,3,0,0,0,1,2,0,0
1_41,3,0,0,1,0,2,0,0
1_42,2,0,0,0,1,1,0,0
1_43,2,0,0,0,1,1,0,0
1_45,3,0,0,1,0,2,0,0
1_46,2,0,0,0,1,1,0,0
1_47,3,0,0,1,0,2,0,0
1_48,1,0,0,1,0,0,0,0
1_49,2,0,0,1,0,1,0,0
1_50,2,0,0,0,1,1,0,0
1_51,3,0,0,1,0,2,0,0
1_52,2,0,0,0,1,1,0,0
1_53,3,0,0,0,1,2,0,0
1_55,3,0,0,1,0,2,0,0
1_57,3,0,0,0,1,2,0,0
1_58,2,0,0,1,0,1,0,0
1_59,2,0,0,1,0,1,0,0
1_60,3,0,0,1,0,2,0,0
1_61,2,0,0,1,0,1,0,0
1_62,3,0,0,1,0,2,0,0
1_63,2,0,0,1,0,1,0,0
1_64,2,0,0,0,0,2,0,0
1_65,3,0,0,1,0,2,0,0
1_66,2,0,0,0,1,1,0,0
1_67,2,0,0,0,1,1,0,0
1_69,2,0,0,1,0,1,0,0
1_70,2,0,0,1,0,1,0,0
1_72,3,0,0,1,0,2,0,0
1_73,3,0,0,1,0,2,0,0
1_74,2,0,0,1,0,1,0,0
1_75,3,0,0,1,0,2,0,0
1_76,2,0,0,1,0,1,0,0
1_77,3,0,0,1,0,2,0,0
1_78,3,0,0,0,1,2,0,0
1_79,3,0,0,0,1,2,0,0
