id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,0,0,0,0,0,0,0,0
0_2,1,0,0,0,0,1,0,0
0_3,1,0,0,0,0,1,0,0
0_6,-1,0,0,0,0,0,0,1
0_7,1,0,0,0,0,1,0,0
0_8,2,0,0,0,1,1,0,0
0_9,0,0,0,0,0,1,0,1
0_10,1,0,0,0,0,1,0,0
0_11,0,0,0,0,0,1,0,1
0_12,1,0,0,0,0,1,0,0
0_13,1,0,0,0,0,1,0,0
0_14,1,0,0,0,0,3,0,2
0_16,1,0,0,0,0,1,0,0
0_17,2,0,0,1,1,1,0,1
0_18,0,0,0,0,0,2,0,2
0_19,1,0,0,0,0,1,0,0
0_20,1,0,0,0,0,1,0,0
0_21,1,0,0,0,2,1,0,2
0_22,1,0,0,0,0,1,0,0
0_23,3,0,0,0,2,1,0,0
0_24,0,0,0,0,0,1,0,1
1_12,2,0,0,0,0,2,0,0
1_19,2,0,0,0,0,2,0,0
1_20,5,0,0,0,2,3,0,0
1_23,2,0,0,0,0,2,0,0
3_0,1,0,0,0,0,1,0,0
3_1,1,0,0,0,0,1,0,0
3_2,1,0,0,0,0,1,0,0
3_3,1,0,0,0,0,1,0,0
3_7,-3,0,0,0,0,3,0,6
3_11,2,0,0,0,0,2,0,0
3_12,0,0,0,0,0,0,0,0
3_13,0,0,0,0,0,0,0,0
3_15,-1,0,0,0,0,0,0,1
3_17,0,0,0,0,0,0,0,0
3_24,1,0,0,0,0,1,0,0
4_0,1,0,0,0,0,1,0,0
4_1,1,0,0,0,0,1,0,0
4_3,3,0,0,0,2,1,0,0
4_4,1,0,0,0,0,1,0,0
4_5,1,0,0,0,0,1,0,0
4_9,1,0,0,0,0,1,0,0
4_10,1,0,0,0,0,1,0,0
4_12,2,0,0,0,0,2,0,0
4_13,-1,0,0,0,0,0,0,1
4_14,1,0,0,0,0,1,0,0
4_16,0,0,0,0,0,1,0,1
4_18,1,0,0,0,0,1,0,0
4_20,0,0,0,0,0,1,0,1
4_21,1,0,0,0,0,1,0,0
4_23,0,0,0,0,0,1,0,1
4_24,2,0,0,0,1,1,0,0
6_0,3,0,0,0,2,1,0,0
6_1,1,0,0,0,2,1,0,2
6_2,0,0,0,0,0,2,0,2
6_3,2,0,0,0,2,2,0,2
6_4,2,0,0,0,2,0,0,0
6_5,0,0,0,0,0,1,0,1
6_6,-1,0,0,0,0,1,0,2
6_7,1,0,0,0,2,1,0,2
6_11,2,0,0,0,2,0,0,0
6_12,2,0,0,0,1,1,0,0
6_14,2,0,0,0,2,2,0,2
6_16,1,0,0,0,0,1,0,0
6_18,1,0,0,0,2,1,0,2
6_19,1,0,0,0,2,1,0,2
6_21,2,0,0,0,2,2,0,2
6_22,2,0,0,0,1,1,0,0
6_23,2,0,0,0,1,1,0,0
