id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,0,0,0,0,0,0,0,0
0_1,2,0,0,0,1,1,0,0
0_2,2,0,0,0,1,1,0,0
0_3,2,0,0,2,0,0,0,0
0_5,2,0,0,0,1,1,0,0
0_6,2,0,0,0,1,1,0,0
0_7,2,0,0,0,1,1,0,0
0_8,2,0,0,0,1,1,0,0
0_9,2,0,0,0,1,1,0,0
0_10,2,0,0,0,1,1,0,0
0_11,2,0,0,0,1,1,0,0
0_12,2,0,0,0,1,1,0,0
0_13,2,0,0,1,1,0,0,0
0_14,2,0,0,0,2,0,0,0
0_15,1,0,0,0,1,0,0,0
0_16,2,0,0,1,0,1,0,0
0_18,2,0,0,0,1,1,0,0
0_19,2,0,0,1,1,0,0,0
0_20,2,0,0,0,1,1,0,0
0_21,2,0,0,2,0,1,0,1
0_22,0,0,0,0,0,0,0,0
0_23,2,0,0,2,0,1,0,1
0_24,2,0,0,0,1,1,0,0
0_25,2,0,0,0,1,1,0,0
0_27,2,0,0,1,1,0,0,0
0_28,2,0,0,1,1,0,0,0
0_29,2,0,0,0,2,0,0,0
0_30,0,0,0,0,0,0,0,0
0_31,2,0,0,1,1,0,0,0
0_32,2,0,0,0,1,1,0,0
0_33,2,0,0,2,0,0,0,0
0_34,0,0,0,0,0,0,0,0
0_35,2,0,0,0,1,1,0,0
0_36,2,0,0,0,1,1,0,0
0_37,2,0,0,0,1,1,0,0
0_38,2,0,0,0,1,1,0,0
0_40,2,0,0,0,1,1,0,0
0_41,2,0,0,0,1,1,0,0
0_42,0,0,0,0,0,0,0,0
0_43,2,0,0,1,1,0,0,0
0_44,2,0,0,2,0,1,0,1
0_45,0,0,0,0,0,0,0,0
0_46,2,0,0,0,1,1,0,0
0_47,2,0,0,0,2,0,0,0
0_48,2,0,0,0,2,0,0,0
0_49,0,0,0,0,0,0,0,0
0_50,2,0,0,1,1,0,0,0
0_51,2,0,0,2,0,0,0,0
0_52,2,0,0,0,1,1,0,0
0_53,2,0,0,1,1,0,0,0
0_54,0,0,0,0,0,0,0,0
0_57,0,0,0,0,0,0,0,0
0_58,2,0,0,0,1,1,0,0
0_59,2,0,0,0,2,0,0,0
0_60,2,0,0,2,0,0,0,0
0_62,2,0,0,0,1,1,0,0
0_63,2,0,0,1,1,0,0,0
0_64,4,0,0,0,2,2,0,0
0_65,2,0,0,0,1,1,0,0
0_67,2,0,0,0,1,1,0,0
0_68,0,0,0,0,0,0,0,0
0_69,2,0,0,0,1,1,0,0
0_70,2,0,0,0,1,1,0,0
0_71,2,0,0,0,1,1,0,0
0_72,2,0,0,1,1,0,0,0
0_73,3,0,0,0,1,2,0,0
0_74,2,0,0,0,1,1,0,0
0_75,2,0,0,0,1,1,0,0
0_76,2,0,0,0,1,1,0,0
0_78,2,0,0,0,1,1,0,0
0_79,1,0,0,1,0,1,0,1
0_80,2,0,0,0,1,1,0,0
0_81,2,0,0,0,2,0,0,0
0_82,2,0,0,0,1,1,0,0
0_83,0,0,0,0,0,0,0,0
0_84,2,0,0,1,1,0,0,0
0_85,0,0,0,0,0,0,0,0
0_86,2,0,0,0,2,0,0,0
0_87,0,0,0,0,0,0,0,0
0_89,2,0,0,0,2,0,0,0
0_90,2,0,0,1,1,0,0,0
0_91,2,0,0,1,1,0,0,0
0_92,2,0,0,0,1,1,0,0
0_93,2,0,0,0,2,0,0,0
0_94,0,0,0,0,0,0,0,0
0_95,2,0,0,0,1,1,0,0
0_96,2,0,0,2,0,0,0,0
0_97,0,0,0,0,0,0,0,0
0_98,2,0,0,1,1,0,0,0
0_99,0,0,0,0,0,0,0,0
1_0,2,0,0,0,2,0,0,0
1_1,0,0,0,2,0,0,0,2
1_3,2,0,0,4,0,0,0,2
1_5,2,0,0,0,2,0,0,0
1_7,2,0,0,0,2,0,0,0
1_8,2,0,0,0,2,0,0,0
1_10,2,0,0,0,2,0,0,0
1_11,2,0,0,0,1,1,0,0
1_12,2,0,0,0,2,0,0,0
1_13,2,0,0,0,1,1,0,0
1_14,2,0,0,0,2,0,0,0
1_15,2,0,0,0,1,1,0,0
1_17,1,0,0,0,1,0,0,0
1_19,1,0,0,0,0,1,0,0
1_20,2,0,0,0,1,1,0,0
1_21,2,0,0,0,2,0,0,0
1_22,6,0,0,2,2,2,0,0
1_23,2,0,0,0,1,1,0,0
