id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_5,-1,0,3,1,2,1,0,2
0_20,0,0,2,1,2,1,0,2
0_22,-6,0,3,1,1,1,0,6
0_35,1,0,2,1,2,2,0,2
0_37,-5,0,2,1,1,1,0,6
0_38,-7,0,2,1,1,1,0,8
0_43,1,0,1,1,2,1,0,2
0_52,2,0,1,1,2,1,0,1
0_57,-4,0,2,1,1,2,0,6
0_59,-1,0,0,1,1,1,1,5
0_73,-5,0,2,1,1,1,0,6
0_77,-2,0,2,4,0,2,0,6
0_78,-5,0,2,1,1,1,0,6
0_80,-5,0,2,1,1,1,0,6
0_92,-4,0,1,1,1,1,0,6
0_94,-4,0,2,1,1,1,0,5
0_99,-5,0,2,1,1,1,0,6
1_1,1,0,3,1,0,3,2,2
1_6,-5,0,2,1,1,1,0,6
1_8,-5,0,2,1,1,1,0,6
1_11,-2,0,1,1,1,1,0,4
1_15,2,0,1,1,2,1,0,1
1_20,0,0,2,1,2,1,0,2
1_23,-5,0,2,1,0,2,0,6
1_25,-1,0,2,1,0,4,0,4
1_26,-5,0,2,1,1,1,0,6
1_35,-3,0,2,1,1,1,0,4
1_37,-5,0,2,1,1,1,0,6
1_40,0,0,2,1,2,1,0,2
1_49,-6,0,1,1,0,2,0,8
1_54,-3,0,2,0,0,3,0,4
1_60,-5,0,2,1,1,1,0,6
1_62,-5,0,2,1,1,1,0,6
1_63,-5,0,2,1,1,1,0,6
1_78,-3,0,2,1,1,1,0,4
1_81,-4,0,2,1,1,1,0,5
1_82,-5,0,2,1,1,1,0,6
1_92,-1,0,2,2,1,2,0,4
1_97,0,0,2,1,0,3,0,2
2_0,-2,0,2,1,1,2,0,4
2_2,3,0,1,1,1,2,1,1
2_7,-1,0,3,1,1,2,0,2
2_14,-2,0,2,1,1,2,0,4
2_15,-2,0,2,1,1,2,0,4
2_19,0,0,2,1,1,2,0,2
2_20,1,0,1,0,2,1,0,1
2_23,-2,0,2,1,1,2,0,4
2_24,-2,0,2,1,1,2,0,4
2_25,2,0,1,1,2,1,0,1
2_31,-5,0,2,1,1,1,0,6
2_41,-2,0,2,1,1,2,0,4
2_48,-5,0,2,1,1,1,0,6
2_53,-3,0,3,1,1,2,0,4
2_56,-5,0,2,1,1,1,0,6
2_58,-3,0,3,1,1,2,0,4
2_64,-5,0,2,1,1,1,0,6
2_65,4,0,2,1,1,3,1,0
2_66,-2,0,2,1,1,2,0,4
2_68,0,0,2,1,1,2,0,2
2_72,-5,0,2,1,1,1,0,6
2_73,-5,0,2,1,1,1,0,6
2_75,-2,0,2,1,1,2,0,4
2_76,-1,0,2,1,1,2,1,4
2_85,-5,0,2,1,1,1,0,6
2_86,2,0,1,1,2,1,0,1
2_93,0,0,0,1,1,2,0,4
2_95,-2,0,2,1,1,2,0,4
3_11,-5,0,2,1,1,1,0,6
3_13,-9,0,2,1,1,1,0,10
3_18,-3,0,1,1,0,1,0,4
3_19,-9,0,2,1,1,1,0,10
3_22,-5,0,2,1,1,1,0,6
3_28,-5,0,2,1,1,1,0,6
3_30,-1,1,2,1,2,1,0,2
3_31,-5,0,2,1,1,1,0,6
3_33,-7,0,2,1,1,1,0,8
3_42,0,0,2,1,2,1,0,2
3_53,-5,1,2,1,1,2,0,6
3_63,-4,0,1,1,1,1,0,6
3_67,0,0,2,1,2,1,0,2
3_84,-5,0,2,1,1,1,0,6
3_86,-3,0,2,1,1,1,0,4
3_89,-1,2,1,1,2,1,0,2
3_91,-5,0,2,1,1,1,0,6
4_3,-6,0,3,1,1,1,0,6
4_5,-5,0,2,1,1,1,0,6
4_7,-2,0,1,3,1,1,0,6
4_26,-5,0,2,1,1,1,0,6
4_31,2,0,1,1,2,1,0,1
4_54,-1,1,2,1,2,1,0,2
4_66,1,0,0,1,1,1,1,3
4_69,0,1,2,1,2,2,0,2
4_75,-5,0,2,1,1,1,0,6
4_83,-7,0,2,1,1,1,0,8
4_87,-5,0,2,1,1,1,0,6
4_95,-3,2,2,1,1,1,0,2
