id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_33,1,0,0,0,1,2,0,2
0_64,3,0,0,0,1,3,0,1
0_77,2,0,0,0,1,2,0,1
0_81,1,0,0,0,1,2,0,2
0_84,1,0,0,0,1,1,0,1
1_1,-5,0,0,4,0,4,0,13
1_6,3,0,0,2,1,4,0,4
1_9,5,0,0,2,1,3,0,1
1_10,3,0,0,2,1,3,0,3
1_11,1,0,0,4,0,3,0,6
1_13,1,0,0,3,0,3,0,5
1_14,3,0,0,2,1,4,0,4
1_15,2,0,0,0,1,2,0,1
1_16,5,0,0,2,1,3,0,1
1_19,5,0,0,2,1,3,0,1
1_24,-1,0,0,0,1,1,0,3
1_25,2,0,0,4,0,3,0,5
1_26,3,0,0,4,0,3,0,4
1_28,5,0,0,2,1,3,0,1
1_32,3,0,0,2,1,4,0,4
1_37,4,0,0,3,0,3,0,2
1_39,2,0,0,0,1,2,0,1
1_40,2,0,0,0,1,2,0,1
1_42,5,0,0,4,0,3,0,2
1_43,4,0,0,5,0,4,0,5
1_47,5,0,0,4,0,3,0,2
1_48,5,0,0,4,0,3,0,2
1_51,-5,0,0,2,1,4,0,12
1_52,1,0,0,0,1,1,0,1
1_53,2,0,0,2,1,2,0,3
1_57,2,0,0,4,0,3,0,5
1_60,1,0,0,0,1,2,0,2
1_62,4,0,0,4,0,3,0,3
1_67,-1,0,0,4,0,4,0,9
1_68,5,0,0,2,1,3,0,1
1_70,1,0,0,0,1,1,0,1
1_71,5,0,0,2,1,3,0,1
1_72,4,0,0,3,0,3,0,2
1_76,0,0,0,0,1,3,0,4
1_80,0,0,0,3,0,3,0,6
1_81,5,0,0,2,1,3,0,1
1_85,-5,0,0,2,1,4,0,12
1_89,0,0,0,0,1,3,0,4
1_90,5,0,0,2,1,3,0,1
1_91,-1,0,0,0,1,2,0,4
1_92,5,0,0,2,1,3,0,1
1_95,5,0,0,4,0,3,0,2
1_99,-3,0,0,4,0,4,0,11
3_5,4,0,0,2,0,4,1,3
3_10,5,0,0,2,0,4,1,2
3_19,2,0,0,0,1,3,0,2
3_36,1,0,0,1,0,2,0,2
3_50,2,0,0,2,0,3,0,3
3_58,5,0,0,2,0,3,1,1
3_61,-1,0,0,0,1,2,0,4
3_65,4,0,0,0,1,4,0,1
3_83,2,0,0,0,1,2,0,1
3_95,3,0,0,0,1,4,0,2
3_97,0,0,0,0,1,2,0,3
3_99,-1,0,0,0,1,3,0,5
4_17,1,0,0,0,1,1,0,1
4_65,5,0,0,2,1,3,0,1
4_82,-1,0,0,0,1,3,0,5
4_95,2,0,0,0,1,2,0,1
4_99,1,0,0,0,1,1,0,1
5_5,0,0,0,0,1,3,0,4
5_20,2,0,0,0,1,2,0,1
5_21,2,0,0,0,1,3,0,2
5_55,1,0,0,1,0,2,0,2
5_92,-1,0,0,1,0,2,0,4
