id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,2,0,0,2,0,1,1,2
0_2,3,0,0,1,0,1,1,0
0_3,2,0,0,0,1,1,0,0
0_4,4,0,0,2,0,1,1,0
0_5,2,0,0,0,0,1,1,0
0_6,5,0,0,2,0,2,1,0
0_7,8,0,0,4,0,3,1,0
0_8,1,0,0,1,0,1,1,2
0_9,4,0,0,2,0,1,1,0
0_11,3,0,0,0,1,1,1,0
0_12,2,0,0,0,0,1,1,0
0_13,2,0,0,0,0,1,1,0
0_14,1,0,0,0,1,1,1,2
0_15,3,0,0,1,0,1,1,0
0_16,3,0,0,1,0,1,1,0
0_18,4,0,0,2,0,1,1,0
0_19,0,0,0,0,0,1,1,2
0_20,3,0,0,1,0,1,1,0
0_21,3,0,0,1,0,1,1,0
0_22,3,0,0,1,0,1,1,0
0_23,4,0,0,2,0,1,1,0
0_24,3,0,0,1,0,1,1,0
