id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,-4,0,3,0,1,1,0,3
0_1,-2,0,4,0,1,2,0,1
0_4,-2,0,3,0,1,1,0,1
0_6,-3,0,4,1,0,1,0,1
0_7,-3,0,4,0,1,1,0,1
0_10,-3,0,4,1,0,1,0,1
0_11,-1,0,4,2,0,2,0,1
0_12,-3,0,4,0,1,1,0,1
0_13,-2,0,3,0,1,1,0,1
0_14,-3,0,4,0,1,1,0,1
0_15,-4,0,4,0,1,0,0,1
0_16,-2,0,3,0,1,1,0,1
0_17,-2,0,3,0,1,1,0,1
0_18,-2,0,3,0,1,1,0,1
0_19,-2,0,3,0,1,1,0,1
0_20,-4,0,4,0,1,0,0,1
0_21,1,0,0,0,1,1,0,1
0_22,-3,0,4,0,1,1,0,1
0_24,-4,0,3,0,1,1,0,3
1_0,-2,0,3,0,1,1,0,1
1_1,-3,0,4,1,0,1,0,1
1_3,-4,0,4,0,1,0,0,1
1_4,-3,0,4,1,0,1,0,1
1_5,-4,0,3,0,1,1,0,3
1_6,-4,0,4,0,1,0,0,1
1_7,-2,0,4,2,0,1,0,1
1_9,-4,0,4,0,1,0,0,1
1_10,-4,0,4,0,1,0,0,1
1_11,-2,0,3,0,1,1,0,1
1_12,-4,0,4,0,1,0,0,1
1_14,-4,0,4,0,1,0,0,1
1_15,-2,0,4,2,0,1,0,1
1_16,-4,0,3,0,1,1,0,3
1_17,-3,0,4,1,0,1,0,1
1_18,-4,0,4,0,1,0,0,1
1_19,-2,0,3,0,1,1,0,1
1_21,-2,0,4,2,0,1,0,1
1_22,-2,0,4,2,0,1,0,1
1_23,-2,0,3,0,1,1,0,1
1_24,-2,0,3,0,1,1,0,1
3_0,-2,0,3,0,1,1,0,1
3_1,-3,0,4,0,1,1,0,1
3_2,-3,0,4,0,1,1,0,1
3_3,-3,0,4,0,1,2,0,2
3_4,-4,0,4,0,0,2,0,2
3_5,-3,0,4,1,0,1,0,1
3_6,-3,0,4,0,1,1,0,1
3_8,-2,0,4,2,0,1,0,1
3_9,-4,0,4,0,0,2,0,2
3_10,-4,0,4,0,0,2,0,2
3_11,-3,0,4,0,1,1,0,1
3_12,-3,0,4,0,1,1,0,1
3_13,2,0,0,0,0,2,1,1
3_14,-2,0,4,2,0,1,0,1
3_15,-5,0,4,0,1,0,0,2
3_16,-3,0,4,0,1,1,0,1
3_17,-2,0,4,2,0,1,0,1
3_18,-2,0,4,2,0,1,0,1
3_19,-1,0,4,3,0,2,0,2
3_20,-3,0,4,0,1,1,0,1
3_21,-3,0,4,0,1,1,0,1
3_22,-3,0,4,0,0,2,0,1
3_23,-3,0,4,0,1,1,0,1
3_24,-3,0,4,0,1,1,0,1
4_0,2,0,0,0,1,1,0,0
4_1,-4,0,3,0,1,1,0,3
4_2,-3,0,4,0,1,1,0,1
4_4,-3,0,4,0,1,1,0,1
4_5,-2,0,3,0,1,1,0,1
4_6,-2,0,3,0,1,1,0,1
4_7,-3,0,4,1,0,1,0,1
4_8,-3,0,4,0,1,1,0,1
4_9,-2,0,3,0,1,1,0,1
4_10,-2,0,3,0,1,1,0,1
4_11,-3,0,3,2,0,1,0,3
4_12,4,0,0,2,1,1,0,0
4_13,-4,0,3,1,0,1,0,3
4_14,-3,0,4,0,1,1,0,1
4_15,-3,0,4,0,1,1,0,1
4_16,-2,0,3,0,1,1,0,1
4_17,-2,0,3,0,1,1,0,1
4_18,-3,0,4,0,1,1,0,1
4_19,-2,0,3,0,1,1,0,1
4_20,-2,0,3,0,1,1,0,1
4_21,1,0,0,0,1,1,0,1
4_22,-2,0,3,0,1,1,0,1
4_23,-3,0,4,0,1,1,0,1
4_24,-4,0,3,1,0,1,0,3
8_0,-4,0,4,0,1,0,0,1
8_1,-4,0,4,0,1,1,0,2
8_2,-5,0,3,0,1,0,0,3
8_3,-3,0,4,0,1,1,0,1
8_4,-2,0,3,0,1,1,0,1
8_5,-4,0,4,0,1,1,0,2
8_6,-4,0,4,0,1,0,0,1
8_7,-3,0,3,2,0,1,0,3
8_8,-4,0,4,0,1,0,0,1
8_9,-4,0,4,2,0,0,0,2
8_10,-3,0,4,2,0,0,0,1
8_11,-4,0,4,1,0,1,0,2
8_12,-4,0,4,0,1,0,0,1
8_15,-2,0,3,0,1,1,0,1
8_16,-3,0,4,2,0,1,0,2
8_17,-4,0,4,0,1,1,0,2
8_18,-4,0,4,0,1,1,0,2
8_19,-4,0,4,0,1,0,0,1
8_20,-4,0,4,0,1,1,0,2
8_21,-4,0,4,0,1,1,0,2
8_22,-4,0,4,0,1,0,0,1
8_23,-2,0,3,0,1,1,0,1
