id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,2,0,0,0,0,1,1,0
10_1,-1,0,0,0,0,1,0,2
10_11,2,0,0,0,0,1,1,0
10_14,-3,0,0,0,0,1,0,4
10_15,2,0,0,0,0,1,1,0
10_16,2,0,0,0,0,1,1,0
10_18,-1,0,0,0,0,1,0,2
10_21,2,0,0,0,0,1,1,0
10_25,1,0,0,0,1,0,0,0
10_28,0,0,0,1,0,1,0,2
10_30,1,0,0,0,0,1,0,0
10_31,1,0,0,0,0,2,0,1
10_32,-1,0,0,0,0,1,0,2
10_40,2,0,0,0,0,1,1,0
10_42,0,0,0,0,0,1,1,2
10_43,-1,0,0,0,0,1,0,2
10_44,2,0,0,0,0,1,1,0
10_46,0,0,0,0,0,2,0,2
10_50,-1,0,0,0,0,1,0,2
10_53,2,0,0,0,0,1,1,0
10_55,2,0,0,0,0,1,1,0
10_57,2,0,0,0,0,1,1,0
10_59,2,0,0,0,0,1,1,0
10_63,2,0,0,0,0,1,1,0
10_64,1,0,0,0,0,1,0,0
10_73,2,0,0,0,1,1,0,0
10_82,-2,0,0,0,0,1,0,3
10_87,-1,0,2,0,2,1,0,2
10_88,2,0,0,0,0,1,1,0
10_91,0,0,0,0,0,1,1,2
10_92,2,0,0,0,0,1,1,0
10_93,2,0,0,0,0,1,1,0
10_98,-1,0,0,0,0,1,0,2
1_5,2,0,0,0,0,1,1,0
1_9,2,0,0,0,0,1,1,0
1_10,5,0,0,0,0,1,5,1
1_11,2,0,0,0,0,1,1,0
1_12,2,0,0,0,0,1,1,0
1_13,3,0,0,0,0,2,1,0
1_17,-1,0,0,0,0,1,0,2
1_18,3,0,0,1,0,2,0,0
1_19,-4,0,2,0,0,1,0,3
1_20,-1,0,0,0,0,1,0,2
1_21,1,0,0,0,0,2,1,2
1_22,-1,0,0,0,0,1,0,2
1_23,2,0,0,0,0,1,1,0
1_25,2,0,0,0,0,1,1,0
1_26,-1,0,2,0,1,1,0,1
1_28,2,0,0,0,0,1,1,0
1_29,5,0,0,3,0,2,0,0
1_30,2,0,0,0,0,1,1,0
1_31,3,0,0,0,1,2,0,0
1_32,1,0,0,0,1,1,0,1
1_33,2,0,0,0,0,1,1,0
1_35,1,0,0,0,1,0,0,0
1_37,2,0,0,0,0,1,1,0
1_38,1,0,0,0,0,1,0,0
1_40,-1,0,0,0,0,1,0,2
1_41,2,0,0,0,0,1,1,0
1_42,2,0,0,0,0,1,1,0
1_43,1,0,0,0,0,1,1,1
1_44,2,0,0,0,0,1,1,0
1_46,2,0,0,0,0,1,1,0
1_47,-1,0,0,0,0,1,0,2
1_54,2,0,0,0,0,1,1,0
1_55,2,0,0,0,0,1,1,0
1_56,2,0,0,0,0,1,1,0
1_57,2,0,0,0,0,1,1,0
1_58,-1,0,2,0,1,1,0,1
1_61,-1,0,0,0,0,1,0,2
1_66,3,0,0,0,0,2,1,0
1_69,-2,0,0,0,0,1,0,3
1_72,2,0,0,0,0,1,1,0
1_74,2,0,0,0,0,1,1,0
1_75,2,0,0,0,0,1,1,0
1_77,-2,0,0,0,0,1,0,3
1_84,2,0,0,0,0,1,1,0
1_88,2,0,0,0,1,1,0,0
1_89,2,0,0,0,0,1,1,0
1_93,-4,0,2,0,0,1,0,3
1_95,-4,0,2,0,0,1,0,3
3_2,2,0,0,0,0,1,1,0
3_3,2,0,0,0,1,1,0,0
3_4,1,0,0,0,0,1,1,1
3_6,2,0,0,0,0,1,1,0
3_7,-1,0,2,1,1,0,0,1
3_10,2,0,0,0,0,1,1,0
3_12,2,0,0,0,0,1,1,0
3_14,3,0,0,1,0,2,0,0
3_15,2,0,0,0,0,1,1,0
3_19,2,0,0,0,0,1,1,0
3_23,-1,0,2,0,1,1,0,1
3_28,2,0,0,0,0,1,1,0
3_29,2,0,0,0,0,1,1,0
3_30,3,0,0,1,0,2,0,0
3_31,2,0,0,0,0,1,1,0
3_32,-1,0,0,0,0,1,0,2
3_34,1,0,0,0,0,1,1,1
3_36,0,0,0,0,0,2,0,2
3_39,2,0,0,0,0,1,1,0
3_40,3,0,0,0,0,1,2,0
3_41,2,0,0,0,0,1,1,0
3_42,2,0,0,0,0,1,1,0
3_43,2,0,0,0,0,1,1,0
3_44,3,0,0,0,0,1,3,1
3_45,2,0,0,0,0,1,1,0
3_50,-1,0,0,0,0,1,0,2
3_52,2,0,0,0,0,1,1,0
3_53,-1,0,0,0,0,1,0,2
3_56,2,0,0,0,0,1,1,0
3_57,2,0,0,0,0,1,1,0
3_63,2,0,0,0,0,1,1,0
3_67,2,0,0,0,0,1,1,0
3_71,2,0,0,0,0,1,1,0
3_74,2,0,0,0,0,1,1,0
3_75,2,0,0,0,0,1,1,0
3_81,2,0,0,0,0,1,1,0
3_83,1,0,0,0,0,1,1,1
3_85,2,0,0,0,0,1,1,0
3_86,2,0,0,0,0,1,1,0
3_87,2,0,0,0,0,1,1,0
3_88,-1,0,0,0,0,1,0,2
3_89,2,0,0,0,0,1,1,0
3_91,2,0,0,0,0,1,1,0
3_96,-1,0,0,0,0,1,0,2
3_97,2,0,0,0,0,1,1,0
3_98,2,0,0,0,0,1,1,0
8_1,4,0,0,2,0,1,1,0
8_7,-1,0,0,0,0,1,0,2
8_8,0,0,0,0,0,2,0,2
8_9,2,0,0,0,0,1,1,0
8_13,2,0,0,2,0,2,0,2
8_21,2,0,0,0,0,1,1,0
8_22,4,0,0,1,0,2,1,0
8_23,4,0,0,1,0,2,1,0
8_24,4,0,0,1,0,2,1,0
8_26,7,0,0,5,0,2,0,0
8_27,-1,0,0,0,0,1,0,2
8_28,0,0,0,2,0,2,0,4
8_33,3,0,0,0,0,2,1,0
8_35,2,0,0,0,0,1,1,0
8_41,0,0,0,0,0,2,0,2
8_42,4,0,0,2,0,2,2,2
8_44,2,0,0,0,0,1,1,0
8_53,2,0,0,0,0,1,1,0
8_55,2,0,0,0,0,1,1,0
8_56,2,0,0,0,0,1,1,0
8_59,7,0,0,5,0,2,0,0
8_64,4,0,0,1,0,2,1,0
8_65,2,0,0,0,0,1,1,0
8_67,2,0,0,0,0,1,1,0
8_69,2,0,0,0,0,1,1,0
8_71,4,0,0,2,0,1,1,0
8_72,2,0,0,0,0,1,1,0
8_77,-2,0,2,0,0,1,0,1
8_79,2,0,0,0,0,1,1,0
8_80,6,0,0,0,2,3,1,0
8_82,-1,0,2,0,2,0,0,1
8_84,7,0,0,5,0,2,0,0
8_93,4,0,0,2,0,1,1,0
8_94,2,0,0,2,0,2,0,2
8_95,5,0,0,0,0,3,2,0
8_98,5,0,0,2,0,2,1,0
9_1,2,0,0,0,0,1,1,0
9_3,2,0,0,0,0,1,1,0
9_7,2,0,0,0,0,1,1,0
9_8,2,0,0,0,0,1,1,0
9_9,2,0,0,0,0,1,1,0
9_10,2,0,0,0,0,1,1,0
9_12,2,0,0,0,0,1,1,0
9_17,2,0,0,0,0,1,1,0
9_22,2,0,0,0,0,1,1,0
9_24,2,0,0,0,0,1,1,0
9_30,2,0,0,0,0,1,1,0
9_36,2,0,0,0,0,1,1,0
9_38,2,0,0,0,0,1,1,0
9_44,2,0,0,0,0,1,1,0
9_47,2,0,0,0,0,1,1,0
9_51,2,0,0,0,0,1,1,0
9_55,2,0,0,0,0,1,1,0
9_59,2,0,0,1,0,1,0,0
9_63,2,0,0,0,0,1,1,0
9_65,1,0,0,1,0,2,0,2
9_68,2,0,0,0,0,1,1,0
9_70,2,0,0,0,0,1,1,0
9_72,2,0,0,0,0,1,1,0
9_74,2,0,0,0,0,1,1,0
9_75,2,0,0,0,0,1,1,0
9_77,2,0,0,0,0,1,1,0
9_81,-1,0,0,0,0,1,0,2
9_82,2,0,0,0,0,1,1,0
9_84,2,0,0,0,0,1,1,0
9_86,2,0,0,0,0,1,1,0
9_87,2,0,0,0,0,2,0,0
9_88,2,0,0,0,0,1,1,0
9_89,2,0,0,0,0,1,1,0
9_94,-1,0,0,0,0,1,0,2
9_96,2,0,0,0,0,1,1,0
9_97,2,0,0,0,0,1,1,0
