id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_5,1,0,1,1,2,0,0,1
0_6,1,0,1,1,2,0,0,1
0_7,-2,0,1,1,0,1,0,3
0_9,2,0,1,1,2,0,1,1
0_10,1,0,1,1,1,1,0,1
0_16,1,0,1,1,1,1,0,1
0_17,1,0,1,1,2,0,0,1
0_21,1,0,1,1,2,0,0,1
0_28,0,0,1,0,2,0,0,1
0_29,1,0,1,1,2,0,0,1
0_30,1,0,1,1,2,0,0,1
0_38,0,0,1,1,1,0,0,1
0_42,2,0,1,1,2,1,0,1
0_44,1,0,1,1,2,0,0,1
0_46,1,0,1,1,2,0,0,1
0_47,1,0,1,1,1,1,0,1
0_48,1,0,1,1,2,0,0,1
0_50,1,0,1,1,2,0,0,1
0_51,-3,0,2,1,1,0,0,3
0_52,1,0,1,1,2,0,0,1
0_54,1,0,1,1,2,0,0,1
0_61,-2,0,3,1,1,0,0,1
0_62,1,0,1,1,1,0,1,1
0_63,0,0,2,1,1,0,1,1
0_67,2,0,1,1,2,0,1,1
0_72,1,0,1,1,2,0,0,1
0_75,1,0,1,2,1,0,0,1
0_76,0,0,2,1,1,0,1,1
0_83,2,0,1,1,2,0,1,1
0_84,0,0,2,1,2,0,0,1
0_90,0,0,1,0,2,0,0,1
0_93,1,0,1,1,2,0,0,1
0_94,-1,0,3,1,2,0,0,1
0_99,2,0,1,1,2,0,1,1
