id,heuristic,mutation,indexing,hof,for_hof,helpers
10_0,4,0,0,0,0,4
10_1,3,0,0,0,0,3
10_3,2,0,0,0,1,1
10_5,1,0,0,0,1,0
10_6,4,0,0,0,0,4
10_7,4,0,0,0,0,4
10_8,4,0,0,0,0,4
10_9,2,0,0,0,0,2
10_11,2,0,0,0,0,2
10_12,2,0,0,0,0,2
10_16,2,0,0,0,1,1
10_21,3,0,0,0,0,3
10_23,2,0,0,0,0,2
1_0,3,0,0,0,1,2
1_1,2,0,0,0,0,2
1_2,1,0,2,0,0,3
1_3,4,0,0,0,0,4
1_4,0,0,4,0,0,4
1_12,4,0,0,0,0,4
1_13,4,0,0,0,0,4
1_14,3,0,0,0,1,2
1_15,2,0,0,0,0,2
1_17,3,0,0,0,0,3
1_19,3,0,0,0,1,2
1_20,3,0,0,0,1,2
1_21,4,0,0,0,0,4
3_0,-1,0,3,0,0,2
3_1,3,0,0,0,0,3
3_2,2,0,0,0,0,2
3_3,2,0,0,0,0,2
3_4,2,0,0,0,0,2
3_6,3,0,0,0,0,3
3_7,2,0,0,0,0,2
3_9,4,0,0,1,0,3
3_10,3,0,0,0,0,3
3_12,3,0,0,0,0,3
3_14,3,0,0,0,0,3
3_15,5,0,0,2,0,3
3_16,3,0,0,0,0,3
3_17,0,0,3,0,1,2
3_19,2,0,0,0,0,2
3_20,3,0,0,0,0,3
3_21,2,0,0,0,0,2
3_22,0,0,3,0,1,2
3_23,2,0,0,0,0,2
3_24,3,0,0,0,0,3
8_0,3,0,0,0,0,3
8_3,2,0,0,0,0,2
8_5,2,0,0,0,0,2
8_6,5,0,0,1,1,3
8_7,2,0,0,0,0,2
8_10,2,0,0,0,0,2
8_14,2,0,0,0,0,2
8_15,4,0,0,1,0,3
8_17,4,0,0,0,0,4
8_18,3,0,0,0,1,2
8_19,4,0,0,0,0,4
8_21,2,0,0,0,0,2
8_23,4,0,0,1,0,3
9_0,4,0,0,0,0,4
9_3,5,0,0,1,0,4
9_4,6,0,0,1,0,5
9_5,4,0,0,1,0,3
9_9,2,0,0,0,0,2
9_12,4,0,0,0,0,4
9_13,6,0,0,1,0,5
9_14,1,0,0,0,0,1
9_15,6,0,0,2,1,3
9_17,3,0,0,0,1,2
9_18,2,0,0,0,0,2
9_22,2,0,0,0,0,2
9_24,4,0,0,0,0,4
