id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,-2,0,1,0,1,2,0,4
0_1,-2,0,1,0,1,2,0,4
0_2,0,0,1,0,1,2,0,2
0_6,0,0,1,0,1,2,0,2
0_7,-2,0,1,0,1,2,0,4
0_8,-4,0,0,0,0,2,0,6
0_10,0,0,1,0,1,2,0,2
0_11,0,0,1,0,1,2,0,2
0_12,0,0,1,0,1,2,0,2
0_15,0,0,1,0,1,2,0,2
0_16,0,0,1,0,1,2,0,2
0_18,-2,0,1,0,1,2,0,4
0_19,0,0,1,0,1,2,0,2
0_20,0,0,1,0,1,2,0,2
0_21,-2,0,1,0,1,2,0,4
0_23,0,0,1,0,1,2,0,2
0_24,0,0,1,0,1,2,0,2
1_1,0,0,1,0,1,2,0,2
1_2,-3,0,1,0,1,2,0,5
1_4,0,0,1,0,1,2,0,2
1_6,-2,0,0,0,0,2,0,4
1_8,-2,0,1,0,1,2,0,4
1_9,-2,0,0,0,0,2,0,4
1_10,-3,0,1,0,1,2,0,5
1_12,4,0,0,0,1,3,0,0
1_13,2,0,1,0,1,2,0,0
1_17,0,0,1,0,1,2,0,2
1_18,0,0,1,0,1,2,0,2
1_19,1,0,1,0,2,2,0,2
1_20,1,1,0,0,2,2,0,2
1_21,-1,0,0,0,1,2,0,4
1_22,2,0,1,0,1,2,0,0
1_23,-2,0,1,0,1,2,0,4
2_0,0,0,1,0,1,2,0,2
2_4,2,0,1,0,1,2,0,0
2_5,2,0,1,0,1,2,0,0
2_8,0,0,1,0,1,2,0,2
2_9,2,0,1,0,1,2,0,0
2_13,0,0,1,0,1,2,0,2
2_17,1,0,0,0,1,2,0,2
2_20,2,0,1,0,1,2,0,0
2_21,1,0,0,0,1,2,0,2
2_22,0,0,1,0,1,2,0,2
3_0,0,0,1,0,1,2,0,2
3_4,2,0,1,0,1,2,0,0
3_5,2,0,1,0,1,2,0,0
3_6,0,0,1,0,1,2,0,2
3_7,2,0,1,0,1,2,0,0
3_8,1,0,2,0,2,3,0,2
3_9,0,0,1,0,1,2,0,2
3_10,0,0,1,0,1,2,0,2
3_11,0,0,1,0,1,2,0,2
3_12,0,0,1,0,1,2,0,2
3_13,2,0,1,0,1,2,0,0
3_15,2,0,1,0,1,2,0,0
3_18,1,0,2,0,2,3,0,2
3_19,0,0,1,0,1,2,0,2
3_20,-2,0,1,0,1,2,0,4
3_21,0,0,1,0,1,2,0,2
3_22,2,0,1,0,1,2,0,0
3_23,2,0,1,0,1,2,0,0
3_24,2,0,1,0,1,2,0,0
4_3,1,0,0,0,1,2,0,2
4_5,0,0,1,0,1,2,0,2
4_6,2,1,0,0,1,2,0,0
4_7,-2,0,0,0,0,2,0,4
4_9,-3,0,1,0,1,1,0,4
4_12,-2,0,0,0,1,1,0,4
4_13,3,0,0,0,0,5,0,2
4_16,-2,0,1,0,1,2,0,4
4_17,3,0,0,0,1,2,0,0
4_19,2,0,1,0,1,2,0,0
4_21,-2,0,1,0,1,2,0,4
4_22,3,0,0,0,1,2,0,0
4_23,1,0,1,2,0,2,0,2
4_24,2,0,1,0,1,2,0,0
