id,heuristic,mutation,indexing,hof,for_hof,helpers
0_1,2,0,0,0,0,2
0_2,2,0,0,0,0,2
0_3,2,0,0,1,0,1
0_4,3,0,0,0,0,3
0_5,2,0,0,0,0,2
0_6,2,0,0,0,0,2
0_7,2,0,0,0,0,2
0_10,2,0,0,0,0,2
0_11,1,0,0,0,0,1
0_13,5,0,0,2,0,3
0_15,5,0,0,0,0,5
0_18,5,0,0,0,1,4
0_20,2,0,0,0,0,2
0_22,1,0,0,0,0,1
0_24,1,0,0,0,0,1
1_0,4,0,0,0,0,4
1_1,3,0,0,0,0,3
1_2,3,0,0,0,0,3
1_3,3,0,0,1,0,2
1_4,3,0,0,0,0,3
1_5,3,0,0,0,0,3
1_6,4,0,0,0,0,4
1_7,3,0,0,0,0,3
1_8,3,0,0,1,0,2
1_9,3,0,0,1,0,2
1_10,4,0,0,0,0,4
1_11,3,0,0,1,0,2
1_12,1,0,0,0,0,1
1_13,3,0,0,0,0,3
1_14,3,0,0,1,0,2
1_15,4,0,0,1,0,3
1_16,3,0,0,0,0,3
1_17,4,0,0,3,0,1
1_18,4,0,0,1,0,3
1_19,5,0,0,3,0,2
1_20,4,0,0,3,0,1
1_21,2,0,0,1,0,1
1_22,1,0,0,0,0,1
2_0,0,0,0,0,0,0
2_1,1,0,0,0,0,1
2_2,2,0,0,0,0,2
2_3,2,0,0,0,0,2
2_4,2,0,0,0,0,2
2_6,1,0,0,0,0,1
2_7,1,0,0,0,0,1
2_8,2,0,0,0,0,2
2_9,1,0,0,0,0,1
2_10,0,0,0,0,0,0
2_11,1,0,0,0,0,1
2_12,2,0,0,0,0,2
2_15,1,0,0,0,0,1
2_16,2,0,0,0,0,2
2_17,1,0,0,0,0,1
2_19,2,0,0,0,0,2
2_20,3,0,0,2,0,1
2_21,2,0,0,0,0,2
2_24,2,0,0,0,0,2
3_1,4,0,0,2,0,2
3_3,2,0,0,0,0,2
3_4,1,0,0,0,0,1
3_6,2,0,0,0,0,2
3_8,0,0,0,0,0,0
3_11,2,0,0,0,1,1
3_13,1,0,0,0,0,1
3_16,1,0,0,0,0,1
3_17,1,0,0,0,0,1
3_18,0,0,0,0,0,0
3_19,0,0,0,0,0,0
3_20,2,0,0,0,0,2
3_21,2,0,0,0,0,2
3_22,2,0,0,0,0,2
3_23,2,0,0,0,0,2
