id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_2,3,0,0,1,2,0,0,0
0_3,3,0,0,1,2,0,0,0
0_4,3,0,0,1,2,0,0,0
0_8,2,0,1,1,2,0,0,0
0_14,3,0,0,1,2,0,0,0
0_15,3,0,0,1,2,0,0,0
0_16,2,1,0,1,2,0,0,0
0_17,3,0,0,1,2,0,0,0
0_21,3,0,0,1,2,0,0,0
0_22,3,0,0,1,2,0,0,0
0_26,3,0,0,1,2,0,0,0
0_27,3,0,0,1,2,0,0,0
0_28,3,0,0,1,2,0,0,0
0_31,3,0,0,1,2,0,0,0
0_34,3,0,0,1,2,0,0,0
0_39,3,0,0,1,2,0,0,0
0_40,3,0,0,1,2,0,0,0
0_41,3,0,0,1,2,0,0,0
0_47,3,0,0,1,2,0,0,0
0_51,3,0,0,1,2,0,0,0
0_60,3,0,0,1,2,0,0,0
0_61,3,0,0,1,2,0,0,0
0_63,3,0,0,1,2,0,0,0
0_66,3,0,0,1,2,0,0,0
0_69,1,1,1,1,2,0,0,0
0_71,3,0,0,1,2,0,0,0
0_72,3,0,0,1,2,0,0,0
0_75,3,0,0,1,2,0,0,0
0_76,3,0,0,1,2,0,0,0
0_78,3,0,0,1,2,0,0,0
0_79,3,0,0,1,2,0,0,0
0_80,3,0,0,1,2,0,0,0
0_81,2,0,1,1,2,0,0,0
0_84,3,0,0,1,2,0,0,0
0_86,3,0,0,1,2,0,0,0
0_87,3,0,0,1,2,0,0,0
0_90,3,0,0,1,2,0,0,0
1_6,3,0,0,1,2,0,0,0
1_8,3,0,0,1,2,0,0,0
1_9,3,0,0,1,2,0,0,0
1_10,3,0,0,1,2,0,0,0
1_11,3,0,0,1,2,0,0,0
1_13,3,0,0,1,2,0,0,0
1_15,3,0,0,1,2,0,0,0
1_18,3,0,0,1,2,0,0,0
1_19,3,0,0,1,2,0,0,0
1_21,3,0,0,1,2,0,0,0
1_22,3,0,0,1,2,0,0,0
1_23,3,0,0,1,2,0,0,0
1_26,3,0,0,1,2,0,0,0
1_28,3,0,0,1,2,0,0,0
1_29,3,0,0,1,2,0,0,0
1_30,3,0,0,1,2,0,0,0
1_31,3,0,0,1,2,0,0,0
1_32,3,0,0,1,2,0,0,0
1_33,3,0,0,1,2,0,0,0
1_34,3,0,0,1,2,0,0,0
1_35,3,0,0,1,2,0,0,0
1_37,3,0,0,1,2,0,0,0
1_38,3,0,0,1,2,0,0,0
1_40,3,0,0,1,2,0,0,0
1_41,3,0,0,1,2,0,0,0
1_43,3,0,0,1,2,0,0,0
1_46,3,0,0,1,2,0,0,0
1_49,3,0,0,0,3,0,0,0
1_51,3,0,0,1,2,0,0,0
1_52,4,0,0,1,2,1,0,0
1_53,3,0,0,1,2,0,0,0
1_56,3,0,0,1,2,0,0,0
1_57,3,0,0,1,2,0,0,0
1_58,3,0,0,1,2,0,0,0
1_59,3,0,0,1,2,0,0,0
1_61,3,0,0,1,2,0,0,0
1_62,3,0,0,1,2,0,0,0
1_63,4,0,0,1,2,1,0,0
1_64,3,0,0,1,2,0,0,0
1_65,3,0,0,1,2,0,0,0
1_68,3,0,0,1,2,0,0,0
1_69,4,0,0,1,2,1,0,0
1_71,3,0,0,1,2,0,0,0
1_72,3,0,0,1,2,0,0,0
1_75,3,0,0,0,3,0,0,0
1_77,3,0,0,1,2,0,0,0
1_81,3,0,0,1,2,0,0,0
1_83,0,0,2,0,2,0,0,0
1_84,3,0,0,1,2,0,0,0
1_86,3,0,0,1,2,0,0,0
1_89,3,0,0,1,2,0,0,0
1_90,3,0,0,1,2,0,0,0
1_91,2,0,1,1,2,0,0,0
1_92,3,0,0,1,2,0,0,0
1_93,3,0,0,1,2,0,0,0
1_94,4,0,0,1,2,1,0,0
1_95,3,0,0,1,2,0,0,0
1_97,3,0,0,1,2,0,0,0
1_98,3,0,0,1,2,0,0,0
3_0,3,0,0,1,2,0,0,0
3_1,3,0,0,1,2,0,0,0
3_2,4,0,0,2,2,0,0,0
3_7,3,0,0,1,2,0,0,0
3_8,3,0,0,1,2,0,0,0
3_14,2,1,0,1,2,0,0,0
3_17,3,0,0,1,2,0,0,0
3_18,2,1,0,1,2,0,0,0
3_19,3,0,0,1,2,0,0,0
3_21,3,0,0,1,2,0,0,0
3_22,2,1,0,1,2,0,0,0
3_25,3,0,0,1,2,0,0,0
3_32,2,1,0,1,2,0,0,0
3_34,2,0,1,1,2,0,0,0
3_35,3,0,0,1,2,0,0,0
3_37,2,1,0,1,2,0,0,0
3_44,3,0,0,1,2,0,0,0
3_50,3,0,0,1,2,0,0,0
3_52,2,1,0,1,2,0,0,0
3_53,3,0,0,1,2,0,0,0
3_55,3,0,0,1,2,0,0,0
3_58,3,0,1,2,2,0,0,0
3_59,3,0,0,1,2,0,0,0
3_61,3,0,0,1,2,0,0,0
3_63,2,1,0,1,2,0,0,0
3_64,3,0,0,1,2,0,0,0
3_66,2,1,0,1,2,0,0,0
3_67,2,1,0,1,2,0,0,0
3_70,3,0,0,1,2,0,0,0
3_71,2,1,0,1,2,0,0,0
3_72,2,1,0,1,2,0,0,0
3_74,3,0,0,1,2,0,0,0
3_75,3,0,0,1,2,0,0,0
3_76,2,0,1,1,2,0,0,0
3_77,2,1,0,1,2,0,0,0
3_78,3,0,0,1,2,0,0,0
3_80,3,0,0,1,2,0,0,0
3_82,3,0,0,1,2,0,0,0
3_85,3,0,0,1,2,0,0,0
3_86,3,0,0,1,2,0,0,0
3_89,3,0,0,1,2,0,0,0
3_91,3,0,0,1,2,0,0,0
3_94,2,1,0,1,2,0,0,0
3_95,2,1,0,1,2,0,0,0
4_0,3,0,0,1,2,0,0,0
4_2,3,0,0,1,2,0,0,0
4_3,3,0,0,1,2,0,0,0
4_4,3,0,0,1,2,0,0,0
4_5,3,0,0,1,2,0,0,0
4_7,3,0,0,1,2,0,0,0
4_9,3,0,0,1,2,0,0,0
4_11,3,0,0,1,2,0,0,0
4_12,2,0,1,1,2,0,0,0
4_13,3,0,0,1,2,0,0,0
4_16,3,0,0,1,2,0,0,0
4_17,3,0,0,1,2,0,0,0
4_19,3,0,0,1,2,0,0,0
4_20,3,0,0,1,2,0,0,0
4_21,3,0,0,1,2,0,0,0
4_23,5,0,0,3,0,2,0,0
4_24,3,0,0,1,2,0,0,0
4_25,3,0,0,1,2,0,0,0
4_30,3,0,0,1,2,0,0,0
4_33,3,0,0,1,2,0,0,0
4_34,3,0,0,1,2,0,0,0
4_35,3,0,0,1,2,0,0,0
4_38,3,0,0,1,2,0,0,0
4_40,3,0,0,1,2,0,0,0
4_41,3,0,0,1,2,0,0,0
4_42,3,0,0,1,2,0,0,0
4_43,5,0,0,1,2,2,0,0
4_44,3,0,0,1,2,0,0,0
4_47,3,0,0,1,2,0,0,0
4_48,3,0,0,1,2,0,0,0
4_53,3,0,0,1,2,0,0,0
4_57,3,0,0,1,2,0,0,0
4_58,3,0,0,1,2,0,0,0
4_59,3,0,0,1,2,0,0,0
4_61,3,0,0,1,2,0,0,0
4_62,3,0,0,1,2,0,0,0
4_63,3,0,0,1,2,0,0,0
4_64,3,0,0,1,2,0,0,0
4_67,3,0,0,1,2,0,0,0
4_69,3,0,0,1,2,0,0,0
4_71,1,0,1,0,2,0,0,0
4_72,4,0,0,1,2,1,0,0
4_76,3,0,0,1,2,0,0,0
4_77,3,0,0,1,2,0,0,0
4_79,3,0,0,1,2,0,0,0
4_81,3,0,0,1,2,0,0,0
4_83,2,0,1,1,2,0,0,0
4_84,2,0,1,1,2,0,0,0
4_85,3,0,0,1,2,0,0,0
4_86,4,0,0,1,2,1,0,0
4_89,3,0,0,1,2,0,0,0
4_93,4,0,0,2,2,0,0,0
4_97,3,0,0,1,2,0,0,0
4_99,3,0,0,1,2,0,0,0
6_0,2,0,1,1,2,0,0,0
6_1,2,1,0,1,2,0,0,0
6_2,3,0,0,1,2,0,0,0
6_3,3,0,0,1,2,0,0,0
6_5,3,0,0,1,2,0,0,0
6_6,3,0,0,1,2,0,0,0
