id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_4,4,0,0,1,0,2,1,0
0_10,4,0,0,1,0,2,1,0
0_19,9,0,0,7,0,2,0,0
0_20,3,0,0,0,0,2,1,0
0_23,4,0,0,2,0,2,0,0
0_28,4,0,0,2,0,2,0,0
0_29,2,0,0,0,0,2,0,0
0_30,3,0,0,1,0,2,0,0
0_32,3,0,0,1,0,2,0,0
0_38,3,0,0,0,0,2,1,0
0_46,-5,0,2,0,0,0,0,3
0_49,2,0,0,0,0,2,0,0
0_53,4,0,0,3,0,4,0,3
0_54,3,0,0,1,0,2,0,0
0_58,8,0,0,6,0,2,0,0
0_60,4,0,0,2,0,2,0,0
0_63,4,0,0,2,0,2,0,0
0_67,4,0,0,2,0,2,0,0
0_70,3,0,0,1,0,2,0,0
0_72,4,0,0,2,0,2,0,0
0_73,2,0,0,1,0,2,0,1
0_79,4,0,0,1,0,2,1,0
0_84,4,0,0,1,0,3,0,0
0_85,4,0,0,1,0,2,1,0
0_94,4,0,0,2,0,2,0,0
0_97,3,0,0,1,0,2,0,0
1_3,2,0,0,0,0,2,0,0
1_5,2,0,0,0,0,2,0,0
1_8,3,0,0,0,0,2,1,0
1_14,-2,0,2,1,0,1,0,2
1_30,4,0,0,1,0,2,1,0
1_32,8,0,0,4,0,3,1,0
1_35,4,0,0,1,0,2,1,0
1_42,2,0,0,0,0,2,0,0
1_47,1,0,0,0,0,1,0,0
1_56,-1,0,2,0,0,2,0,1
1_60,2,0,0,0,0,2,0,0
1_65,3,0,0,0,1,2,0,0
1_74,2,0,0,0,0,2,0,0
1_78,4,0,0,1,0,2,1,0
1_79,2,0,0,0,0,2,0,0
1_81,1,0,0,0,0,1,0,0
1_82,-3,0,2,0,0,1,0,2
1_91,4,0,0,1,0,2,1,0
1_92,-2,0,2,0,0,2,0,2
3_3,1,0,0,2,0,1,1,3
3_4,3,0,0,2,0,1,0,0
3_5,-3,0,2,0,0,1,0,2
3_9,2,0,0,0,0,2,0,0
3_10,-2,0,2,0,0,2,0,2
3_11,3,0,0,1,0,2,0,0
3_18,0,0,0,1,0,0,0,1
3_25,-2,0,0,1,0,0,1,4
3_30,5,0,0,2,0,4,0,1
3_35,1,0,0,0,0,1,0,0
3_39,2,0,0,0,0,2,0,0
3_44,6,0,0,5,0,2,0,1
3_54,4,0,0,2,0,2,0,0
3_59,1,0,0,0,0,1,0,0
3_65,-3,0,2,0,0,1,0,2
3_80,2,0,0,3,0,3,0,4
3_83,-4,0,2,0,0,0,0,2
3_88,2,0,0,0,0,2,0,0
3_89,4,0,0,1,0,2,1,0
3_92,3,0,0,2,0,2,0,1
3_93,0,0,2,0,2,2,0,2
3_94,3,0,0,2,0,1,0,0
3_97,0,0,0,0,0,1,0,1
4_9,-3,0,2,0,0,1,0,2
4_10,1,0,0,1,0,1,0,1
4_12,1,0,0,1,0,1,0,1
4_13,-1,0,2,1,0,2,0,2
4_25,1,0,0,1,0,1,0,1
4_31,-3,0,2,0,0,1,0,2
4_32,3,0,0,0,1,2,0,0
4_36,2,0,0,1,0,2,0,1
4_37,2,0,0,1,0,2,0,1
4_39,3,0,0,0,1,2,0,0
4_46,-3,0,2,0,0,1,0,2
4_49,-3,0,2,0,0,1,0,2
4_51,1,0,0,1,0,1,0,1
4_53,1,0,0,1,0,1,0,1
4_55,-1,0,2,2,0,1,0,2
4_61,0,0,0,0,0,1,0,1
4_67,1,0,0,0,0,1,0,0
4_81,2,0,0,0,0,2,0,0
4_82,3,0,0,0,1,2,0,0
4_93,2,0,0,0,1,1,0,0
8_0,1,0,0,1,0,1,0,1
8_1,4,0,0,2,0,2,0,0
8_4,-4,0,0,1,0,0,0,5
8_5,2,0,0,0,0,2,0,0
8_9,4,0,0,1,0,2,1,0
8_15,3,0,0,1,0,2,0,0
8_19,2,0,0,0,0,2,0,0
8_23,0,0,0,0,0,2,0,2
8_24,2,0,0,0,0,2,0,0
8_25,1,0,0,1,0,1,0,1
8_35,0,0,2,2,0,2,0,2
8_45,3,0,0,0,0,2,1,0
8_46,2,0,0,0,0,2,0,0
8_50,2,0,0,0,1,1,0,0
8_55,0,0,2,2,0,2,0,2
8_58,4,0,0,1,0,2,1,0
8_59,1,0,0,1,0,2,0,2
8_61,2,0,0,0,0,2,0,0
8_62,2,0,0,0,0,2,0,0
8_70,2,0,0,0,0,2,0,0
8_74,-2,0,0,0,0,2,0,4
8_78,5,0,0,3,0,2,0,0
8_79,-1,0,2,2,0,1,0,2
8_93,2,0,0,0,1,1,0,0
8_94,2,0,0,0,1,1,0,0
8_95,3,0,0,0,0,2,1,0
