id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_0,4,0,0,1,0,3,0,0
10_2,4,0,0,1,0,3,0,0
10_3,2,0,0,1,0,1,0,0
10_4,4,0,0,1,1,2,0,0
10_5,2,0,0,1,0,1,0,0
10_6,3,0,0,1,0,2,0,0
10_7,4,0,0,1,0,3,0,0
10_8,4,0,0,1,1,2,0,0
10_9,4,0,0,1,0,3,0,0
10_10,4,0,0,1,0,3,0,0
10_12,4,0,0,1,0,3,0,0
10_13,3,0,0,1,0,2,0,0
10_14,3,0,0,1,0,2,0,0
10_15,4,0,0,0,1,3,0,0
10_16,3,0,0,0,2,1,0,0
10_17,4,0,0,1,0,3,0,0
10_18,4,0,0,1,0,3,0,0
10_19,3,0,0,1,0,2,0,0
10_20,4,0,0,1,0,3,0,0
10_21,4,0,0,1,0,3,0,0
10_22,4,0,0,1,0,3,0,0
10_23,3,0,0,1,0,2,0,0
10_25,1,0,0,1,0,2,0,2
10_26,4,0,0,1,0,3,0,0
10_27,4,0,0,1,0,3,0,0
10_28,4,0,0,0,2,2,0,0
10_29,3,0,0,1,0,2,0,0
10_30,3,0,0,1,0,2,0,0
10_31,4,0,0,1,0,3,0,0
10_32,4,0,0,0,2,2,0,0
10_33,3,0,0,1,0,2,0,0
10_34,2,0,0,1,0,1,0,0
10_37,3,0,0,0,2,1,0,0
10_39,4,0,0,1,0,3,0,0
10_40,2,0,0,1,0,1,0,0
10_42,3,0,0,0,2,1,0,0
10_43,3,0,0,0,2,1,0,0
10_44,2,0,0,1,0,1,0,0
10_45,3,0,0,0,1,2,0,0
10_48,4,0,0,1,0,3,0,0
10_49,4,0,0,1,0,3,0,0
10_50,3,0,0,1,0,2,0,0
10_51,2,0,0,1,0,1,0,0
10_52,3,0,0,1,0,2,0,0
10_54,3,0,0,1,0,2,0,0
10_55,4,0,0,1,0,3,0,0
10_57,4,0,0,0,1,3,0,0
10_58,3,0,0,1,0,2,0,0
10_59,3,0,0,1,1,1,0,0
10_64,3,0,0,0,1,2,0,0
10_65,4,0,0,1,0,3,0,0
10_66,4,0,0,1,0,3,0,0
10_69,4,0,0,1,0,3,0,0
10_70,3,0,0,0,1,2,0,0
10_71,4,0,0,1,0,3,0,0
10_72,2,1,0,1,1,1,0,0
10_73,3,0,0,1,0,2,0,0
10_74,3,0,0,1,0,2,0,0
10_75,3,0,0,1,0,2,0,0
10_76,4,0,0,0,2,2,0,0
10_77,3,0,0,1,0,2,0,0
10_78,3,1,0,1,1,2,0,0
10_80,4,0,0,1,0,3,0,0
10_81,3,0,0,1,0,2,0,0
10_82,4,0,0,1,0,3,0,0
10_84,4,0,0,0,2,2,0,0
10_85,3,0,0,1,0,2,0,0
10_87,4,0,0,1,0,3,0,0
10_88,4,0,0,1,0,3,0,0
10_90,4,0,0,1,0,3,0,0
10_91,2,0,0,1,0,1,0,0
10_92,3,0,0,1,0,2,0,0
10_93,1,1,0,1,1,2,0,2
10_94,4,0,0,0,1,3,0,0
10_95,4,0,0,1,0,3,0,0
10_96,3,0,0,0,2,1,0,0
10_99,3,0,0,0,1,2,0,0
17_0,3,0,0,0,1,2,0,0
17_1,3,0,0,0,1,2,0,0
17_4,3,0,0,1,0,2,0,0
17_5,3,0,0,1,0,2,0,0
17_7,2,0,0,1,0,1,0,0
17_8,3,0,0,1,0,2,0,0
17_9,3,0,0,1,0,2,0,0
17_11,3,0,0,1,0,2,0,0
17_12,2,0,0,1,0,1,0,0
17_13,3,0,0,1,0,2,0,0
17_14,3,0,0,1,1,1,0,0
17_16,3,0,0,1,0,2,0,0
17_17,2,1,0,1,1,1,0,0
17_19,3,0,0,1,0,2,0,0
17_20,3,0,0,1,0,2,0,0
17_23,3,0,0,1,1,1,0,0
17_24,3,0,0,1,0,2,0,0
17_25,3,0,0,1,0,2,0,0
17_26,3,0,0,1,0,2,0,0
17_27,3,0,0,1,1,1,0,0
17_28,2,1,0,1,1,1,0,0
17_31,3,0,0,1,0,2,0,0
17_32,2,0,0,1,0,1,0,0
17_33,2,1,0,1,1,1,0,0
17_34,4,0,0,1,0,3,0,0
17_37,2,0,0,1,0,1,0,0
17_38,2,0,0,1,0,1,0,0
17_39,3,0,0,1,0,2,0,0
17_40,2,0,0,1,0,1,0,0
17_41,3,0,0,1,0,2,0,0
17_42,3,0,0,1,1,1,0,0
17_43,3,0,0,1,0,2,0,0
17_46,3,0,0,1,0,2,0,0
17_48,3,0,0,1,0,2,0,0
17_50,3,0,0,1,0,2,0,0
17_51,3,0,0,1,0,2,0,0
17_52,3,0,0,1,0,2,0,0
17_54,3,0,0,1,0,2,0,0
17_57,3,0,0,1,0,2,0,0
17_58,5,0,0,1,1,3,0,0
17_59,3,0,0,1,0,2,0,0
17_60,2,0,0,1,0,1,0,0
17_61,2,0,0,1,0,1,0,0
17_62,3,0,0,1,0,2,0,0
17_64,3,0,0,1,0,2,0,0
17_65,3,0,0,1,0,2,0,0
17_66,2,0,0,0,1,1,0,0
17_67,3,0,0,1,1,1,0,0
17_68,3,0,0,0,1,2,0,0
17_69,3,0,0,1,0,2,0,0
17_70,4,0,0,1,1,2,0,0
17_71,3,0,0,1,0,2,0,0
17_73,2,0,0,1,0,1,0,0
17_74,3,0,0,1,0,2,0,0
17_75,3,0,0,1,1,1,0,0
17_81,4,0,0,1,1,2,0,0
17_82,3,0,0,1,0,2,0,0
17_83,3,0,0,1,0,2,0,0
17_84,3,0,0,1,0,2,0,0
17_85,3,0,0,1,1,1,0,0
17_86,3,0,0,1,0,2,0,0
17_87,3,0,0,1,0,2,0,0
17_88,3,0,0,1,0,2,0,0
17_89,3,0,0,1,0,2,0,0
17_90,4,0,0,2,0,2,0,0
17_91,3,0,0,1,0,2,0,0
17_92,3,0,0,1,0,2,0,0
17_93,3,0,0,1,0,2,0,0
17_94,2,0,0,1,0,1,0,0
17_95,2,0,0,1,0,1,0,0
17_96,4,0,0,1,1,2,0,0
17_97,3,0,0,1,0,2,0,0
17_99,2,1,0,1,1,1,0,0
18_0,2,0,0,1,0,1,0,0
18_1,3,0,0,1,0,2,0,0
18_2,2,0,0,1,0,1,0,0
18_3,2,0,0,0,1,1,0,0
18_4,3,0,0,1,0,2,0,0
18_5,2,1,0,1,1,1,0,0
18_6,3,0,0,0,2,1,0,0
18_7,3,0,0,1,0,2,0,0
18_8,3,0,0,1,0,2,0,0
18_10,3,0,0,1,0,2,0,0
18_11,2,0,0,1,0,1,0,0
18_13,2,0,0,1,0,1,0,0
18_14,2,1,0,1,1,1,0,0
18_15,2,0,0,1,0,1,0,0
18_16,2,0,0,1,0,1,0,0
18_17,3,0,0,1,1,1,0,0
18_18,2,0,0,1,0,1,0,0
18_19,2,0,0,1,0,1,0,0
18_21,2,1,0,0,2,1,0,0
18_22,2,0,0,1,0,1,0,0
18_23,2,0,0,1,0,1,0,0
18_24,2,1,0,1,1,1,0,0
18_25,2,0,0,1,0,1,0,0
18_26,3,0,0,1,1,1,0,0
18_27,2,0,0,1,0,1,0,0
18_28,3,0,0,0,1,2,0,0
18_29,3,0,0,1,0,2,0,0
18_30,2,0,0,1,0,1,0,0
18_33,2,0,0,1,0,1,0,0
18_34,3,0,0,1,0,2,0,0
18_35,2,0,0,0,1,1,0,0
18_36,3,0,0,1,0,2,0,0
18_37,2,0,0,1,0,1,0,0
18_38,2,1,0,1,1,1,0,0
18_39,2,0,0,1,0,1,0,0
18_41,3,0,0,1,1,1,0,0
18_42,3,0,0,0,1,2,0,0
18_43,5,0,0,1,1,3,0,0
18_44,2,0,0,0,1,1,0,0
18_45,2,0,0,0,1,1,0,0
18_46,3,0,0,0,2,1,0,0
18_47,0,1,0,1,1,1,0,2
18_49,2,0,0,1,0,1,0,0
18_50,2,0,0,1,0,1,0,0
18_51,3,0,0,1,0,2,0,0
18_52,2,0,0,1,0,1,0,0
18_54,2,0,0,1,0,1,0,0
18_55,2,0,0,1,0,1,0,0
18_57,2,0,0,1,0,1,0,0
18_58,3,0,0,0,1,2,0,0
18_59,2,0,0,1,0,1,0,0
18_60,3,0,0,1,0,2,0,0
18_61,2,0,0,1,0,1,0,0
18_62,2,0,0,1,0,1,0,0
18_63,3,0,0,1,0,2,0,0
18_64,4,0,0,2,1,1,0,0
18_65,3,0,0,1,0,2,0,0
18_66,3,0,0,1,0,2,0,0
18_68,2,0,0,1,0,1,0,0
18_69,3,0,0,1,1,1,0,0
18_70,3,1,0,2,1,1,0,0
18_71,3,0,0,1,0,2,0,0
18_72,2,1,0,1,1,1,0,0
18_73,3,0,0,1,0,2,0,0
18_74,2,0,0,1,0,1,0,0
18_76,3,0,0,1,0,2,0,0
18_78,2,0,0,1,0,1,0,0
18_79,2,0,0,1,0,1,0,0
18_80,3,0,0,1,0,2,0,0
18_81,2,0,0,1,0,1,0,0
18_82,2,0,0,1,0,1,0,0
18_83,2,0,0,1,0,1,0,0
18_84,2,0,0,1,0,1,0,0
18_85,2,0,0,1,0,1,0,0
18_86,3,0,0,1,0,2,0,0
18_88,3,0,0,1,0,2,0,0
18_89,3,0,0,1,0,2,0,0
18_91,2,1,0,1,1,1,0,0
18_92,3,0,0,1,0,2,0,0
18_93,3,0,0,1,0,2,0,0
18_94,2,0,0,1,0,1,0,0
18_95,2,0,0,1,0,1,0,0
18_96,2,1,0,1,1,1,0,0
18_97,2,0,0,1,0,1,0,0
18_98,2,0,0,1,0,1,0,0
8_0,5,0,0,1,1,3,0,0
8_1,2,0,0,1,0,1,0,0
8_2,3,0,0,1,0,2,0,0
8_3,3,0,0,1,0,2,0,0
8_4,3,0,0,1,0,2,0,0
8_5,2,0,0,1,1,2,0,2
8_6,3,0,0,1,0,2,0,0
8_7,1,2,0,1,1,1,0,0
8_8,3,0,0,1,0,2,0,0
8_9,3,0,0,0,2,1,0,0
8_10,3,0,0,1,0,2,0,0
8_11,2,1,0,1,1,1,0,0
8_13,5,0,0,1,1,3,0,0
8_16,3,0,0,1,0,2,0,0
8_18,3,0,0,1,0,2,0,0
8_19,3,0,0,1,0,2,0,0
8_20,3,0,0,1,0,2,0,0
8_21,4,0,0,2,0,2,0,0
8_23,3,0,0,1,0,2,0,0
8_24,3,0,0,1,0,2,0,0
8_25,3,0,0,1,0,2,0,0
8_26,2,0,0,1,0,1,0,0
8_27,3,0,0,1,0,2,0,0
8_28,3,0,0,1,0,2,0,0
8_30,3,0,0,1,0,2,0,0
8_31,3,0,0,1,0,2,0,0
8_32,3,0,0,0,1,2,0,0
8_33,3,0,0,1,0,2,0,0
8_34,2,1,0,1,1,1,0,0
8_35,3,0,0,1,0,2,0,0
8_36,3,0,0,1,0,2,0,0
8_37,3,0,0,1,0,2,0,0
8_39,3,0,0,1,0,2,0,0
8_40,2,0,0,1,0,1,0,0
8_41,2,1,0,1,1,1,0,0
8_42,4,0,0,1,0,3,0,0
8_43,3,0,0,1,0,2,0,0
8_44,2,0,0,0,1,1,0,0
8_45,3,0,0,1,1,1,0,0
8_46,3,0,0,1,0,2,0,0
8_47,2,0,0,1,0,1,0,0
8_48,3,0,0,1,0,2,0,0
8_49,3,0,0,1,1,1,0,0
8_50,3,0,0,1,0,2,0,0
8_51,3,0,0,1,0,2,0,0
8_52,3,0,0,1,0,2,0,0
8_53,3,0,0,1,0,2,0,0
8_54,3,0,0,1,0,2,0,0
8_56,3,0,0,1,0,2,0,0
8_57,3,0,0,1,0,2,0,0
8_58,3,0,0,1,0,2,0,0
8_59,3,0,0,1,0,2,0,0
8_60,5,0,0,1,1,3,0,0
8_61,3,0,0,1,0,2,0,0
8_63,3,0,0,1,0,2,0,0
8_64,3,0,0,1,0,2,0,0
8_66,3,0,0,1,0,2,0,0
