id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_0,3,0,0,0,1,2,0,0
0_3,3,0,0,0,1,2,0,0
0_4,3,0,0,0,1,2,0,0
0_5,2,0,0,1,0,3,0,2
0_6,3,0,0,0,1,2,0,0
0_9,3,0,0,0,1,2,0,0
0_10,2,0,0,1,0,3,0,2
0_11,3,0,0,0,1,2,0,0
0_12,3,0,0,0,1,2,0,0
0_13,3,0,0,0,1,2,0,0
0_17,5,0,0,0,1,2,2,0
0_19,3,0,0,0,1,2,0,0
0_22,2,0,0,0,1,3,0,2
0_23,3,0,0,0,1,2,0,0
0_24,3,0,0,0,1,2,0,0
0_26,3,0,0,0,1,2,0,0
0_27,3,0,0,0,1,2,0,0
0_28,1,0,0,0,1,2,0,2
0_29,3,0,0,0,1,2,0,0
0_31,1,0,0,1,0,3,0,3
0_32,0,0,0,1,0,3,0,4
0_33,3,0,0,0,1,2,0,0
0_35,11,0,0,1,0,4,6,0
0_36,3,0,0,0,1,2,0,0
0_39,1,0,0,1,0,3,0,3
0_40,1,0,0,1,0,3,0,3
0_41,3,0,0,0,1,2,0,0
0_44,3,0,0,0,1,2,0,0
0_45,3,0,0,0,1,2,0,0
0_47,8,0,0,1,0,3,4,0
0_48,3,0,0,0,1,2,0,0
0_49,3,0,0,0,1,2,0,0
0_51,7,0,0,2,0,3,4,2
0_52,3,0,0,0,1,2,0,0
0_56,3,0,0,0,1,2,0,0
0_59,3,0,0,0,1,2,0,0
0_60,8,0,0,1,0,3,4,0
0_63,0,0,0,1,0,3,0,4
0_68,2,0,0,0,1,2,0,1
0_69,4,0,0,1,0,3,0,0
0_75,3,0,0,0,1,2,0,0
0_76,3,0,0,0,1,2,0,0
0_79,3,0,0,2,0,3,0,2
0_80,3,0,0,0,1,2,0,0
0_81,3,0,0,0,1,2,0,0
0_82,1,0,0,2,0,3,0,4
0_83,3,0,0,0,1,2,0,0
0_87,3,0,0,0,1,2,0,0
0_91,3,0,0,0,1,2,0,0
0_92,5,0,0,0,1,2,2,0
0_93,3,0,0,0,1,2,0,0
0_95,2,0,0,3,0,3,0,4
0_96,3,0,0,0,1,2,0,0
0_97,3,0,0,0,1,2,0,0
0_99,8,0,0,1,0,3,6,2
1_0,5,0,0,0,1,2,2,0
1_1,5,0,0,0,1,2,2,0
1_2,8,0,0,1,0,3,6,2
1_5,10,0,0,1,0,3,6,0
1_7,7,0,0,1,0,2,4,0
1_8,4,0,0,0,1,1,2,0
1_10,5,0,0,0,1,2,2,0
1_11,8,0,0,1,0,3,4,0
1_12,7,0,0,1,0,2,4,0
1_13,5,0,0,0,1,2,2,0
1_15,5,0,0,2,1,2,2,2
1_16,8,0,0,1,0,3,4,0
1_17,4,0,0,0,1,1,2,0
1_23,7,0,0,1,0,2,4,0
1_26,5,0,0,0,1,2,2,0
1_28,4,0,0,0,1,1,2,0
1_30,4,0,0,0,1,1,2,0
1_31,7,0,0,1,0,2,4,0
1_32,7,0,0,1,0,2,4,0
1_33,4,0,0,0,1,1,2,0
1_34,7,0,0,1,0,2,4,0
1_38,4,0,0,0,1,1,2,0
1_39,5,0,0,0,1,2,2,0
1_41,2,0,0,0,1,1,0,0
1_42,3,0,0,0,1,2,0,0
1_44,8,0,0,1,0,3,4,0
1_45,5,0,0,0,1,2,2,0
1_46,4,0,0,0,1,1,2,0
1_47,10,0,0,1,0,3,6,0
1_50,4,0,0,0,1,1,2,0
1_52,4,0,0,0,1,1,2,0
1_54,3,0,0,1,1,2,0,1
1_56,5,0,0,0,1,2,2,0
1_58,5,0,0,0,1,2,2,0
1_59,4,0,0,0,1,1,2,0
1_60,3,0,0,0,1,2,0,0
1_61,5,0,0,0,1,2,2,0
1_63,8,0,0,1,0,3,4,0
1_64,7,0,0,1,0,2,4,0
1_66,5,0,0,0,1,2,2,0
1_67,5,0,0,1,0,2,4,2
1_69,5,0,0,0,1,2,2,0
1_72,4,0,0,0,1,1,2,0
1_73,5,0,0,0,1,2,2,0
1_74,6,0,0,0,1,3,2,0
1_77,5,0,0,0,1,2,2,0
1_78,5,0,0,0,1,2,2,0
1_79,5,0,0,0,1,2,2,0
1_80,8,0,0,1,0,3,4,0
1_81,7,0,0,1,0,2,4,0
1_82,5,0,0,0,1,2,2,0
1_83,5,0,0,0,1,2,2,0
1_84,7,0,0,1,0,2,6,2
1_88,7,0,0,1,0,2,4,0
1_89,7,0,0,1,0,2,4,0
1_91,4,0,0,0,1,1,2,0
1_92,4,0,0,0,1,1,2,0
1_94,5,0,0,0,1,2,2,0
1_97,5,0,0,0,1,2,2,0
1_98,8,0,0,1,0,3,4,0
1_99,5,0,0,0,1,2,2,0
2_0,4,0,0,0,1,1,2,0
2_2,2,0,0,0,1,1,0,0
2_6,3,0,0,0,1,2,0,0
2_7,3,0,0,0,1,2,0,0
2_8,8,0,0,1,0,3,4,0
2_11,8,0,0,2,0,2,4,0
2_12,5,0,0,1,0,2,4,2
2_13,8,0,0,1,0,3,4,0
2_16,6,0,0,1,0,3,4,2
2_20,3,0,0,0,1,2,0,0
2_22,10,0,0,1,0,3,6,0
2_23,3,0,0,0,1,2,0,0
2_25,11,0,0,1,0,4,6,0
2_28,3,0,0,0,1,2,0,0
2_30,3,0,0,0,1,2,0,0
2_31,2,0,0,0,1,1,0,0
2_35,3,0,0,0,1,2,0,0
2_37,1,0,0,1,0,3,0,3
2_39,5,0,0,0,1,2,2,0
2_44,8,0,0,1,0,3,4,0
2_46,2,0,0,0,1,1,0,0
2_47,10,0,0,1,0,3,6,0
2_49,7,0,0,1,0,2,4,0
2_50,2,0,0,0,1,1,0,0
2_52,2,0,0,0,1,1,0,0
2_53,5,0,0,0,1,2,2,0
2_57,7,0,0,1,0,2,4,0
2_59,2,0,0,2,0,2,0,2
