id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_41,2,0,0,0,0,2,1,1
0_43,3,0,0,0,2,2,0,1
0_48,3,0,0,0,0,3,2,2
0_62,-2,0,0,0,0,2,1,5
0_80,2,0,0,0,2,2,1,3
0_98,4,0,0,0,2,2,1,1
1_4,0,0,0,0,0,2,0,2
1_62,3,0,0,1,0,2,1,1
1_70,2,0,0,0,0,2,1,1
1_92,0,0,0,0,0,1,1,2
2_12,0,0,0,0,0,2,1,3
2_27,2,0,0,0,1,4,0,3
2_30,1,0,0,0,0,1,1,1
2_41,0,0,0,0,0,2,0,2
2_48,-3,0,0,0,0,2,1,6
2_61,0,0,0,0,0,2,0,2
2_62,1,0,0,0,0,1,1,1
2_67,-1,0,0,0,0,2,0,3
2_83,3,0,0,2,1,2,0,2
2_87,0,0,0,0,0,3,1,4
2_91,-2,0,0,0,0,1,0,3
2_93,-2,0,0,0,0,2,0,4
2_96,0,0,0,0,1,3,0,4
2_98,-1,0,0,0,0,2,0,3
