id,heuristic,mutation,indexing,hof,for_hof,helpers
10_0,-1,0,2,1,0,0
10_5,-1,0,2,1,0,0
10_7,0,0,2,1,0,1
10_8,-1,0,2,1,0,0
10_11,-1,0,2,1,0,0
10_14,0,0,2,1,0,1
10_19,-1,0,2,1,0,0
10_20,-1,0,2,1,0,0
10_21,-1,0,2,1,0,0
10_22,-1,0,2,0,0,1
10_23,-1,0,2,1,0,0
10_24,0,0,2,1,0,1
1_2,-1,0,2,1,0,0
1_4,0,0,3,1,0,2
1_5,2,0,3,1,2,2
1_6,2,0,3,3,0,2
1_9,0,0,3,1,0,2
1_10,0,0,2,1,0,1
1_14,1,0,2,1,0,2
1_15,-2,0,3,0,0,1
1_16,-1,0,2,1,0,0
1_17,0,0,2,1,0,1
1_20,1,0,3,1,1,2
1_22,0,0,3,1,0,2
1_24,1,0,2,2,0,1
3_0,1,0,2,1,2,0
3_1,0,0,3,1,2,0
3_2,-1,0,3,1,0,1
3_3,1,0,3,3,0,1
3_4,2,0,3,4,0,1
3_6,0,0,3,1,2,0
3_7,0,0,3,1,2,0
3_8,-2,0,3,1,0,0
3_9,0,0,3,1,2,0
3_11,1,0,2,1,2,0
3_12,1,0,2,1,2,0
3_14,4,0,3,5,0,2
3_15,9,0,0,5,0,4
3_17,3,0,3,0,3,3
3_18,2,0,2,1,2,1
3_24,1,0,3,3,0,1
8_0,-1,0,3,1,0,1
8_2,-1,0,2,1,0,0
8_3,-1,0,2,1,0,0
8_5,0,0,2,1,0,1
8_7,-1,0,2,1,0,0
8_8,-1,0,2,1,0,0
8_9,0,0,2,1,0,1
8_11,1,0,2,1,0,2
8_13,-1,0,2,1,0,0
8_14,-1,0,2,1,0,0
8_15,-1,0,2,1,0,0
8_17,-1,0,2,1,0,0
8_18,0,0,3,1,0,2
8_22,0,0,2,1,0,1
8_23,-1,0,2,1,0,0
8_24,1,0,2,2,0,1
9_1,2,0,2,3,0,1
9_2,1,0,0,0,1,0
9_3,-2,0,3,1,0,0
9_4,-2,0,3,1,0,0
9_11,0,0,2,1,0,1
9_12,-1,0,3,1,0,1
9_13,0,0,2,2,0,0
9_14,-1,0,2,1,0,0
9_18,1,0,3,0,2,2
9_19,0,0,2,1,1,0
9_21,-1,0,3,1,0,1
9_23,-2,0,3,0,0,1
9_24,-1,0,3,2,0,0
